municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
BOYUIBE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
CABEZAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,27,27
CAIROMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
CAJUATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
CALACOTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
CAMARGO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
CAMIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,28,28
CAPINOTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,47,47
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
CARACOLLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,30,30
CARANAVI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,59,59
CARAPARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
CARIPUYO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
CATACORA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,28,28
CHAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
CHARAGUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
CHARAÑA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
CHAYANTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
CHIMORE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,23,23
CHIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,30,30
CHUMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
CLIZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,17,17
COBIJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,70,70
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,994,994
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,47,47
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
COLLANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
COLOMI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,22,22
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
COLQUIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,16,16
COMANCHE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
COMARAPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,30,30
COMBAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
CONCEPCION,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
COPACABANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
CORIPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
CORO CORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
COROICO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,15,15
CORQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
COTAGAITA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,22,22
COTOCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,42,42
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
CUEVO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
CULPINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,32,32
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
CURVA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
EL ALTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1119,1119
EL CHORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,16,16
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
EL TORNO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,24,24
EL VILLAR,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
ENTRE RIOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
ENTRE RIOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,34,34
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
EXALTACION,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,37,37
FILADELFIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
GUANAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,17,17
GUAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,63,63
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
HUACARETA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,24,24
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
HUANUNI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,44,44
HUARACAJE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
ICHOCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
ICLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
INCAHUASI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,40,40
INQUISIVI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
IXIAMAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,26,26
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,55,55
LA PAZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,799,799
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
LAJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,83,83
LLICA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
LORETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
LURIBAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
MACHARETI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,26,26
MAGDALENA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,18,18
MAIRANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,22,22
MALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
MAPIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
MECAPACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
MINEROS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,41,41
MIZQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,19,19
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
MOJINETE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,40,40
MONTERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,262,262
MORO MORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
MOROCHATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
OCURI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,18,18
OKINAWA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,30,30
OMEREQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
ORURO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,508,508
PADCAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
PADILLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
PAILON,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,18,18
PALCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,44,44
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
PASORAPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
PAZÑA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
PELECHUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
POCOATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
POCONA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
POOPO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
PORCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,15,15
POROMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,16,16
PORONGO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,37,37
PORVENIR,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
POTOSI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,271,271
PRESTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
PUCARA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
PUCARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,28,28
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,29,29
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,45,45
PUNA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,34,34
PUNATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,51,51
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,194,194
QUIME,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
RAVELO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,17,17
REYES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
RIBERALTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,190,190
ROBORE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,26,26
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
SACABA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,130,130
SACABAMBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
SACACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,31,31
SAIPINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
SAN BENITO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
SAN BORJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,44,44
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,22,22
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,27,27
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,26,26
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,73,73
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,23,23
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,17,17
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,17,17
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,54,54
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,53,53
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
SAN PEDRO DE QUEMES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
SAN RAMON,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,20,20
SAN RAMON,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,29,29
SANTA ANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,34,34
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2815,2815
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,29,29
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SENA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
SICAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,33,33
SOPACHUY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,16,16
SORACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
SORATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
SUCRE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,367,367
TACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
TACACOMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,14,14
TACOPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,6,6
TAHUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
TAPACARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,31,31
TARABUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,25,25
TARACO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
TARATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
TARIJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,281,281
TARVITA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,22,22
TEOPONTE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
TIAWANACU,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
TIPUANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,21,21
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,51,51
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,47,47
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,2,2
TOCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
TOLEDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
TOMAVE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
TOMINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
TORO TORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,10,10
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,8,8
TRINIDAD,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,189,189
TUPIZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,54,54
TURCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
UNCIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,36,36
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,23,23
URUBICHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
UYUNI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,54,54
VACAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,15,15
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,32,32
VIACHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,41,41
VILA VILA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,3,3
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,53,53
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,11,11
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,57,57
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,12,12
VILLAZON,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,54,54
VINTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,60,60
VITICHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,15,15
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,1,1
WARNES,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,127,127
YACO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,4,4
YACUIBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,132,132
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,13,13
YAPACANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,63,63
YOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,7,7
YOTALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,9,9
YUNCHARA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,5,5
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-01-01,16,16
ACACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-02-01,7,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-02-01,34,34
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-02-01,13,13
AIQUILE,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-02-01,39,39
ALALAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2007-02-01,4,4
