,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,61,0,61,61
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
QUILLACOLLO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,173,0,173,173
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,12,0,12,12
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,20,0,20,20
SACABA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,194,0,194,194
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,13,0,13,13
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,65,0,65,65
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,5,0,5,5
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,10,0,10,10
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,8,0,8,8
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,234,0,234,234
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,3,0,3,3
SENA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,8,0,8,8
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,11,0,11,11
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,54,0,54,54
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,9,0,9,9
SORATA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,14,0,14,14
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,206,0,206,206
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,263,0,263,263
TIQUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,8,0,8,8
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,15,0,15,15
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,7,0,7,7
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,13,0,13,13
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,41,0,41,41
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,4,0,4,4
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,68,0,68,68
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,1,0,1,1
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,10,0,10,10
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,3,0,3,3
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,27,0,27,27
VINTO,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,2,0,2,2
WARNES,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,90,0,90,90
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,21,0,21,21
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,7,0,7,7
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,4,0,4,4
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2010-01-01,0,11,0,11,11
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,21,0,21,21
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,49,0,49,49
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,21,0,21,21
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,4,0,4,4
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,17,0,17,17
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,18,0,18,18
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,4,0,4,4
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,2,0,2,2
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,2,0,2,2
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,26,0,26,26
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,231,0,231,231
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,62,0,62,62
COROICO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,27,0,27,27
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,28,0,28,28
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,275,0,275,275
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,9,0,9,9
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,17,0,17,17
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,22,0,22,22
ENTRE RIOS CBBA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,9,0,9,9
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,92,0,92,92
GUTIERREZ,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,1,0,1,1
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,29,0,29,29
HUARACAJE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,1,0,1,1
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,8,0,8,8
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,5,0,5,5
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,19,0,19,19
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,96,0,96,96
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,70,0,70,70
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,7,0,7,7
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,1,0,1,1
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,23,0,23,23
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,78,0,78,78
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,78,0,78,78
OMEREQUE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,8,0,8,8
ORURO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,119,0,119,119
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,11,0,11,11
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,16,0,16,16
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,60,0,60,60
POROMA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,5,0,5,5
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,18,0,18,18
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,2,0,2,2
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,4,0,4,4
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,29,0,29,29
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,62,0,62,62
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,24,0,24,24
SACABA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,228,0,228,228
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,15,0,15,15
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,42,0,42,42
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,8,0,8,8
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,9,0,9,9
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,3,0,3,3
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,29,0,29,29
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,7,0,7,7
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,19,0,19,19
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,800,0,800,800
SENA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,13,0,13,13
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,16,0,16,16
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,34,0,34,34
SORATA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,16,0,16,16
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,380,0,380,380
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,19,0,19,19
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,285,0,285,285
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,2,0,2,2
TOTORA(ORR),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,1,0,1,1
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,5,0,5,5
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,11,0,11,11
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,17,0,17,17
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,7,0,7,7
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,33,0,33,33
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,58,0,58,58
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,77,0,77,77
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,22,0,22,22
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,185,0,185,185
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,22,0,22,22
VINTO,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,9,0,9,9
WARNES,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,106,0,106,106
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,19,0,19,19
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2010-02-01,0,1,0,1,1
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,41,0,41,41
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,17,0,17,17
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,45,0,45,45
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,8,0,8,8
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,1,0,1,1
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,26,0,26,26
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,1,0,1,1
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,8,0,8,8
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,33,0,33,33
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,28,0,28,28
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,2,0,2,2
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,9,0,9,9
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,28,0,28,28
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,279,0,279,279
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,342,0,342,342
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,11,0,11,11
COROICO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,46,0,46,46
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,704,0,704,704
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,22,0,22,22
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,54,0,54,54
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,25,0,25,25
ENTRE RIOS CBBA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,1,0,1,1
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,11,0,11,11
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,193,0,193,193
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,3,0,3,3
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,53,0,53,53
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,9,0,9,9
INGAVI (HUMAITA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,1,0,1,1
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,14,0,14,14
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,234,0,234,234
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,4,0,4,4
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,11,0,11,11
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,1,0,1,1
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,53,0,53,53
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,81,0,81,81
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,51,0,51,51
OMEREQUE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,2,0,2,2
ORURO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,488,0,488,488
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,17,0,17,17
POROMA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,12,0,12,12
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,26,0,26,26
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,23,0,23,23
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,105,0,105,105
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,4,0,4,4
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,3,0,3,3
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,6,0,6,6
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,46,0,46,46
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,62,0,62,62
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,45,0,45,45
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,9,0,9,9
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,27,0,27,27
SACABA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,231,0,231,231
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,19,0,19,19
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,9,0,9,9
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,87,0,87,87
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,5,0,5,5
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,14,0,14,14
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,44,0,44,44
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,5,0,5,5
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,30,0,30,30
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,3,0,3,3
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,33,0,33,33
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,925,0,925,925
SANTA ROSA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,7,0,7,7
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,8,0,8,8
SENA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,17,0,17,17
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,19,0,19,19
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,373,0,373,373
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,36,0,36,36
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,395,0,395,395
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,3,0,3,3
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,4,0,4,4
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,4,0,4,4
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,5,0,5,5
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,10,0,10,10
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,12,0,12,12
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,54,0,54,54
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,2,0,2,2
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,74,0,74,74
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,3,0,3,3
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,31,0,31,31
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,239,0,239,239
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,15,0,15,15
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,14,0,14,14
WARNES,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,148,0,148,148
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,25,0,25,25
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2010-03-01,0,2,0,2,2
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,35,0,35,35
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,27,0,27,27
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,5,0,5,5
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,9,0,9,9
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,20,0,20,20
BELLA FLOR,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,3,0,3,3
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,74,0,74,74
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,16,0,16,16
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,6,0,6,6
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,3,0,3,3
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,28,0,28,28
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,34,0,34,34
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,54,0,54,54
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,3,0,3,3
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,26,0,26,26
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,317,0,317,317
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,275,0,275,275
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,11,0,11,11
COROICO,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,20,0,20,20
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,103,0,103,103
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,8,0,8,8
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,668,0,668,668
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,15,0,15,15
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,44,0,44,44
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,1,0,1,1
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2010-04-01,0,7,0,7,7
