,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,2,0,2,2
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,3,19,3,19,22
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,8,14,8,14,22
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,7,10,7,10,17
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,10,93,10,93,103
QUILLACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,173,1,173,174
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,18,0,18,18
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,5,30,5,30,35
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,3,0,3,3
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,7,1,7,8
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,9,84,9,84,93
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,5,0,5,5
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,51,351,51,351,402
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,8,0,8,8
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,11,1,11,12
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,54,0,54,54
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,21,0,21,21
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,4,4,4,4,8
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,51,54,51,54,105
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,2,0,2,2
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,17,0,17,17
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,8,2,8,10
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,7,0,7,7
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,2,0,2,2
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,23,20,23,20,43
UYUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,55,0,55,55
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,45,2,45,47
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,3,0,3,3
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,10,0,10,10
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,7,2,7,9
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,37,0,37,37
VINTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,2,0,2,2
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,51,0,51,51
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,11,42,11,42,53
YANACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,3,0,3,3
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,2,28,2,28,30
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,1,12,1,12,13
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-01-01,0,11,0,11,11
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,23,1,23,24
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,60,0,60,60
BOYUIBE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,0,4,0,4
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,15,0,15,15
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,5,13,5,13,18
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,17,2,17,19
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,18,0,18,18
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,4,0,4,4
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,2,0,2,2
CHARAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,15,2,15,17
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,27,4,27,31
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,44,120,44,120,164
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,10,21,10,21,31
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,27,2,27,29
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,503,470,503,470,973
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,4,0,4,4
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,5,31,5,31,36
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,2,0,2,2
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,23,0,23,23
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,21,3,21,24
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,3,0,3,3
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,48,36,48,36,84
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,3,0,3,3
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,32,0,32,32
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,8,0,8,8
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,5,0,5,5
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,23,3,23,26
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,0,1,0,1
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,27,81,27,81,108
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,5,7,5,7,12
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,91,0,91,91
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,2,0,2,2
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,20,23,20,23,43
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,76,4,76,80
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,10,0,10,10
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,226,174,226,174,400
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,1,3,1,4
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,60,0,60,60
POCONA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,2,1,2,3
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,19,1,19,20
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,6,1,6,7
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,4,1,4,5
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,93,3,93,96
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,4,2,4,6
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,3,0,3,3
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,3,4,3,7
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,23,1,23,24
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,52,1,52,53
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,12,4,12,16
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,10,50,10,50,60
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,8,3,8,11
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,9,1,9,10
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,29,1,29,30
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,4,0,4,4
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,19,0,19,19
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,18,426,18,426,444
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,3,14,3,14,17
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,16,2,16,18
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,34,0,34,34
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,16,0,16,16
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,12,1,12,13
TACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,2,21,2,21,23
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,169,54,169,54,223
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,21,16,21,16,37
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,14,29,14,29,43
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,34,5,34,5,39
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,11,0,11,11
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,17,33,17,33,50
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,4,61,4,61,65
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,1,0,1,1
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,22,1,22,23
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,1,10,1,10,11
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,30,0,30,30
VINTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,39,0,39,39
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,15,30,15,30,45
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,0,20,0,20,20
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-02-01,10,22,10,22,32
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,6,22,6,22,28
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,14,0,14,14
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,60,0,60,60
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,3,0,3,3
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,2,0,2,2
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,7,0,7,0,7
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,3,0,3,3
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,1,0,1,1
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,5,5,5,5,10
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,33,0,33,33
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,6,0,6,0,6
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,5,34,5,34,39
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,4,1,4,5
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,11,0,11,11
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,2,30,2,30,32
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,41,129,41,129,170
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,116,222,116,222,338
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,13,1,13,14
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,14,39,14,39,53
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,352,865,352,865,1217
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,8,0,8,8
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,5,76,5,76,81
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,7,16,7,16,23
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,23,1,23,24
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,10,0,10,10
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,673,136,673,136,809
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,117,66,117,66,183
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,2,2,2,2,4
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,26,204,26,204,230
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,4,0,4,4
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,5,13,5,13,18
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,9,0,9,9
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,3,119,3,119,122
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,11,1,11,12
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,8,44,8,44,52
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,5,0,5,5
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,104,261,104,261,365
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,18,1,18,19
PAMPA AULLAGAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,2,0,2,0,2
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,3,30,3,30,33
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,25,0,25,25
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,33,0,33,33
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,40,40,40,40,80
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,6,1,6,7
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,6,1,6,7
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,57,118,57,118,175
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,7,43,7,43,50
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,9,1,9,10
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,3,31,3,31,34
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,340,0,340,340
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,13,0,13,13
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,12,113,12,113,125
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,2,15,2,15,17
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,47,1,47,48
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,4,0,4,4
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,34,1,34,35
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,33,1,33,34
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,28,273,28,273,301
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,8,0,8,8
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,7,23,7,23,30
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,19,1,19,20
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,43,175,43,175,218
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,3,9,3,9,12
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,3,0,3,3
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,172,1,172,173
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,7,19,7,19,26
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,4,0,4,4
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,68,15,68,15,83
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,12,0,12,12
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,26,11,26,11,37
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,10,0,10,10
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,3,59,3,59,62
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,2,1,2,3
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,31,0,31,31
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,12,0,12,12
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,0,15,0,15,15
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,23,1,23,24
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,145,50,145,50,195
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-03-01,1,2,1,2,3
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,37,2,37,39
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,28,2,28,30
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,2,0,2,2
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,20,0,20,20
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,3,1,3,4
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,92,2,92,2,94
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,6,0,6,6
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,16,0,16,16
