,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
TAPACARI,vih,n de personas con prueba rapida,2010-01-01,4,4,4,4,8
TARIJA,vih,n de personas con prueba rapida,2010-01-01,53,61,53,61,114
TOLEDO,vih,n de personas con prueba rapida,2010-01-01,4,19,4,19,23
TURCO,vih,n de personas con prueba rapida,2010-01-01,2,8,2,8,10
URUBICHA,vih,n de personas con prueba rapida,2010-01-01,23,20,23,20,43
UYUNI,vih,n de personas con prueba rapida,2010-01-01,1,14,1,14,15
VIACHA,vih,n de personas con prueba rapida,2010-01-01,2,2,2,2,4
VILLA MONTES,vih,n de personas con prueba rapida,2010-01-01,11,13,11,13,24
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-01-01,0,4,0,4,4
VILLA SERRANO,vih,n de personas con prueba rapida,2010-01-01,0,10,0,10,10
VILLA TUNARI,vih,n de personas con prueba rapida,2010-01-01,2,6,2,6,8
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2010-01-01,0,1,0,1,1
VILLAZON,vih,n de personas con prueba rapida,2010-01-01,0,15,0,15,15
WARNES,vih,n de personas con prueba rapida,2010-01-01,1,53,1,53,54
YACUIBA,vih,n de personas con prueba rapida,2010-01-01,10,12,10,12,22
YAMPARAEZ,vih,n de personas con prueba rapida,2010-01-01,1,7,1,7,8
YAPACANI,vih,n de personas con prueba rapida,2010-01-01,2,28,2,28,30
YUNCHARA,vih,n de personas con prueba rapida,2010-01-01,1,12,1,12,13
ZUDAÑEZ,vih,n de personas con prueba rapida,2010-01-01,0,11,0,11,11
AIQUILE,vih,n de personas con prueba rapida,2010-02-01,2,1,2,1,3
BERMEJO,vih,n de personas con prueba rapida,2010-02-01,0,48,0,48,48
BETANZOS,vih,n de personas con prueba rapida,2010-02-01,0,7,0,7,7
CAMARGO,vih,n de personas con prueba rapida,2010-02-01,43,72,43,72,115
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2010-02-01,5,9,5,9,14
CAMIRI,vih,n de personas con prueba rapida,2010-02-01,2,17,2,17,19
CHARAGUA,vih,n de personas con prueba rapida,2010-02-01,0,1,0,1,1
CHIMORE,vih,n de personas con prueba rapida,2010-02-01,2,15,2,15,17
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-02-01,4,1,4,1,5
COBIJA,vih,n de personas con prueba rapida,2010-02-01,70,250,70,250,320
COCHABAMBA,vih,n de personas con prueba rapida,2010-02-01,10,21,10,21,31
COROICO,vih,n de personas con prueba rapida,2010-02-01,5,2,5,2,7
CULPINA,vih,n de personas con prueba rapida,2010-02-01,3,4,3,4,7
EL ALTO,vih,n de personas con prueba rapida,2010-02-01,494,146,494,146,640
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-02-01,3,0,3,0,3
EL TORNO,vih,n de personas con prueba rapida,2010-02-01,5,14,5,14,19
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-02-01,2,23,2,23,25
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-02-01,0,14,0,14,14
EUCALIPTUS,vih,n de personas con prueba rapida,2010-02-01,3,18,3,18,21
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-02-01,0,3,0,3,3
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-02-01,65,134,65,134,199
HUANUNI,vih,n de personas con prueba rapida,2010-02-01,0,31,0,31,31
INCAHUASI,vih,n de personas con prueba rapida,2010-02-01,0,8,0,8,8
LA ASUNTA,vih,n de personas con prueba rapida,2010-02-01,3,23,3,23,26
LA GUARDIA,vih,n de personas con prueba rapida,2010-02-01,1,0,1,0,1
LA PAZ,vih,n de personas con prueba rapida,2010-02-01,25,46,25,46,71
LLALLAGUA,vih,n de personas con prueba rapida,2010-02-01,3,0,3,0,3
MACHARETI,vih,n de personas con prueba rapida,2010-02-01,5,0,5,0,5
MIZQUE,vih,n de personas con prueba rapida,2010-02-01,0,68,0,68,68
MONTEAGUDO,vih,n de personas con prueba rapida,2010-02-01,37,52,37,52,89
MONTERO,vih,n de personas con prueba rapida,2010-02-01,6,21,6,21,27
ORURO,vih,n de personas con prueba rapida,2010-02-01,228,104,228,104,332
PADCAYA,vih,n de personas con prueba rapida,2010-02-01,1,12,1,12,13
PADILLA,vih,n de personas con prueba rapida,2010-02-01,1,0,1,0,1
PORTACHUELO,vih,n de personas con prueba rapida,2010-02-01,1,1,1,1,2
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-02-01,1,6,1,6,7
PUERTO RICO,vih,n de personas con prueba rapida,2010-02-01,1,4,1,4,5
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-02-01,0,30,0,30,30
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-02-01,3,31,3,31,34
QUILLACOLLO,vih,n de personas con prueba rapida,2010-02-01,50,57,50,57,107
RIBERALTA,vih,n de personas con prueba rapida,2010-02-01,0,3,0,3,3
ROBORE,vih,n de personas con prueba rapida,2010-02-01,4,3,4,3,7
RURRENABAQUE,vih,n de personas con prueba rapida,2010-02-01,1,23,1,23,24
SACABA,vih,n de personas con prueba rapida,2010-02-01,1,6,1,6,7
SAN BENITO,vih,n de personas con prueba rapida,2010-02-01,4,11,4,11,15
SAN IGNACIO,vih,n de personas con prueba rapida,2010-02-01,4,5,4,5,9
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-02-01,9,34,9,34,43
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-02-01,3,8,3,8,11
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-02-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-02-01,1,0,1,0,1
SAN PEDRO,vih,n de personas con prueba rapida,2010-02-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-02-01,87,720,87,720,807
SENA,vih,n de personas con prueba rapida,2010-02-01,3,14,3,14,17
SHINAOTA,vih,n de personas con prueba rapida,2010-02-01,2,0,2,0,2
SUCRE,vih,n de personas con prueba rapida,2010-02-01,7,84,7,84,91
TARABUCO,vih,n de personas con prueba rapida,2010-02-01,2,2,2,2,4
TARIJA,vih,n de personas con prueba rapida,2010-02-01,169,54,169,54,223
TOLEDO,vih,n de personas con prueba rapida,2010-02-01,21,14,21,14,35
TRINIDAD,vih,n de personas con prueba rapida,2010-02-01,14,33,14,33,47
TURCO,vih,n de personas con prueba rapida,2010-02-01,34,5,34,5,39
URUBICHA,vih,n de personas con prueba rapida,2010-02-01,17,36,17,36,53
UYUNI,vih,n de personas con prueba rapida,2010-02-01,0,9,0,9,9
VIACHA,vih,n de personas con prueba rapida,2010-02-01,4,3,4,3,7
VILLA MONTES,vih,n de personas con prueba rapida,2010-02-01,10,8,10,8,18
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-02-01,0,2,0,2,2
VILLA SERRANO,vih,n de personas con prueba rapida,2010-02-01,0,21,0,21,21
VILLA TUNARI,vih,n de personas con prueba rapida,2010-02-01,6,10,6,10,16
VILLAZON,vih,n de personas con prueba rapida,2010-02-01,0,8,0,8,8
WARNES,vih,n de personas con prueba rapida,2010-02-01,5,55,5,55,60
YACUIBA,vih,n de personas con prueba rapida,2010-02-01,15,24,15,24,39
YUNCHARA,vih,n de personas con prueba rapida,2010-02-01,0,11,0,11,11
AIQUILE,vih,n de personas con prueba rapida,2010-03-01,6,63,6,63,69
BERMEJO,vih,n de personas con prueba rapida,2010-03-01,0,1,0,1,1
BUENA VISTA,vih,n de personas con prueba rapida,2010-03-01,0,1,0,1,1
CAMIRI,vih,n de personas con prueba rapida,2010-03-01,5,5,5,5,10
CAPINOTA,vih,n de personas con prueba rapida,2010-03-01,1,0,1,0,1
CARACOLLO,vih,n de personas con prueba rapida,2010-03-01,6,0,6,0,6
CARANAVI,vih,n de personas con prueba rapida,2010-03-01,5,6,5,6,11
CHALLAPATA,vih,n de personas con prueba rapida,2010-03-01,0,2,0,2,2
CHIMORE,vih,n de personas con prueba rapida,2010-03-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-03-01,1,0,1,0,1
COBIJA,vih,n de personas con prueba rapida,2010-03-01,63,240,63,240,303
COCHABAMBA,vih,n de personas con prueba rapida,2010-03-01,111,100,111,100,211
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-03-01,1,2,1,2,3
COROICO,vih,n de personas con prueba rapida,2010-03-01,14,2,14,2,16
EL ALTO,vih,n de personas con prueba rapida,2010-03-01,330,246,330,246,576
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-03-01,5,3,5,3,8
EL TORNO,vih,n de personas con prueba rapida,2010-03-01,5,22,5,22,27
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-03-01,3,25,3,25,28
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-03-01,7,15,7,15,22
EUCALIPTUS,vih,n de personas con prueba rapida,2010-03-01,1,12,1,12,13
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-03-01,0,10,0,10,10
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-03-01,176,187,176,187,363
HUANUNI,vih,n de personas con prueba rapida,2010-03-01,117,66,117,66,183
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-03-01,2,3,2,3,5
LA ASUNTA,vih,n de personas con prueba rapida,2010-03-01,4,0,4,0,4
LA PAZ,vih,n de personas con prueba rapida,2010-03-01,27,173,27,173,200
LAS CARRERAS,vih,n de personas con prueba rapida,2010-03-01,0,4,0,4,4
MACHARETI,vih,n de personas con prueba rapida,2010-03-01,5,2,5,2,7
MIZQUE,vih,n de personas con prueba rapida,2010-03-01,2,65,2,65,67
MONTEAGUDO,vih,n de personas con prueba rapida,2010-03-01,6,13,6,13,19
MONTERO,vih,n de personas con prueba rapida,2010-03-01,18,14,18,14,32
ORURO,vih,n de personas con prueba rapida,2010-03-01,14,685,14,685,699
PADCAYA,vih,n de personas con prueba rapida,2010-03-01,1,17,1,17,18
PORONGO,vih,n de personas con prueba rapida,2010-03-01,6,6,6,6,12
PORTACHUELO,vih,n de personas con prueba rapida,2010-03-01,3,4,3,4,7
PORVENIR,vih,n de personas con prueba rapida,2010-03-01,0,2,0,2,2
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-03-01,40,40,40,40,80
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-03-01,1,9,1,9,10
PUERTO RICO,vih,n de personas con prueba rapida,2010-03-01,1,6,1,6,7
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-03-01,57,56,57,56,113
PUNATA,vih,n de personas con prueba rapida,2010-03-01,7,0,7,0,7
RIBERALTA,vih,n de personas con prueba rapida,2010-03-01,1,9,1,9,10
ROBORE,vih,n de personas con prueba rapida,2010-03-01,0,1,0,1,1
RURRENABAQUE,vih,n de personas con prueba rapida,2010-03-01,3,31,3,31,34
SACABA,vih,n de personas con prueba rapida,2010-03-01,1,0,1,0,1
SAN CARLOS,vih,n de personas con prueba rapida,2010-03-01,1,0,1,0,1
SAN IGNACIO,vih,n de personas con prueba rapida,2010-03-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-03-01,12,89,12,89,101
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-03-01,2,8,2,8,10
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-03-01,0,17,0,17,17
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-03-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-03-01,1,4,1,4,5
SAN PEDRO,vih,n de personas con prueba rapida,2010-03-01,0,3,0,3,3
SANTA ANA,vih,n de personas con prueba rapida,2010-03-01,1,33,1,33,34
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-03-01,72,99,72,99,171
SENA,vih,n de personas con prueba rapida,2010-03-01,7,23,7,23,30
SHINAOTA,vih,n de personas con prueba rapida,2010-03-01,1,19,1,19,20
SUCRE,vih,n de personas con prueba rapida,2010-03-01,1,28,1,28,29
TAPACARI,vih,n de personas con prueba rapida,2010-03-01,3,9,3,9,12
TARABUCO,vih,n de personas con prueba rapida,2010-03-01,0,10,0,10,10
TARIJA,vih,n de personas con prueba rapida,2010-03-01,138,90,138,90,228
TOLEDO,vih,n de personas con prueba rapida,2010-03-01,7,15,7,15,22
TRINIDAD,vih,n de personas con prueba rapida,2010-03-01,64,16,64,16,80
TURCO,vih,n de personas con prueba rapida,2010-03-01,9,10,9,10,19
UNCIA,vih,n de personas con prueba rapida,2010-03-01,0,1,0,1,1
VIACHA,vih,n de personas con prueba rapida,2010-03-01,3,5,3,5,8
VILLA MONTES,vih,n de personas con prueba rapida,2010-03-01,12,5,12,5,17
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-03-01,5,0,5,0,5
VILLA SERRANO,vih,n de personas con prueba rapida,2010-03-01,0,31,0,31,31
VILLA TUNARI,vih,n de personas con prueba rapida,2010-03-01,8,17,8,17,25
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2010-03-01,0,15,0,15,15
VILLAZON,vih,n de personas con prueba rapida,2010-03-01,1,9,1,9,10
WARNES,vih,n de personas con prueba rapida,2010-03-01,6,8,6,8,14
YACUIBA,vih,n de personas con prueba rapida,2010-03-01,146,34,146,34,180
YUNCHARA,vih,n de personas con prueba rapida,2010-03-01,1,0,1,0,1
ACHACACHI,vih,n de personas con prueba rapida,2010-04-01,2,2,2,2,4
AIQUILE,vih,n de personas con prueba rapida,2010-04-01,2,1,2,1,3
ALCALA,vih,n de personas con prueba rapida,2010-04-01,0,1,0,1,1
AZURDUY,vih,n de personas con prueba rapida,2010-04-01,0,2,0,2,2
BELLA FLOR,vih,n de personas con prueba rapida,2010-04-01,1,3,1,3,4
BERMEJO,vih,n de personas con prueba rapida,2010-04-01,11,1,11,1,12
CAMIRI,vih,n de personas con prueba rapida,2010-04-01,5,30,5,30,35
CAPINOTA,vih,n de personas con prueba rapida,2010-04-01,0,1,0,1,1
CARANAVI,vih,n de personas con prueba rapida,2010-04-01,6,33,6,33,39
CHALLAPATA,vih,n de personas con prueba rapida,2010-04-01,0,4,0,4,4
CHIMORE,vih,n de personas con prueba rapida,2010-04-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-04-01,2,29,2,29,31
COBIJA,vih,n de personas con prueba rapida,2010-04-01,52,319,52,319,371
COCHABAMBA,vih,n de personas con prueba rapida,2010-04-01,7,163,7,163,170
COROICO,vih,n de personas con prueba rapida,2010-04-01,13,21,13,21,34
COTOCA,vih,n de personas con prueba rapida,2010-04-01,0,103,0,103,103
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2010-04-01,0,46,0,46,46
EL ALTO,vih,n de personas con prueba rapida,2010-04-01,257,362,257,362,619
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-04-01,1,1,1,1,2
EL TORNO,vih,n de personas con prueba rapida,2010-04-01,4,4,4,4,8
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-04-01,2,6,2,6,8
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-04-01,8,4,8,4,12
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-04-01,2,5,2,5,7
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-04-01,165,310,165,310,475
HUANUNI,vih,n de personas con prueba rapida,2010-04-01,2,26,2,26,28
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-04-01,100,67,100,67,167
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-04-01,1,0,1,0,1
LA ASUNTA,vih,n de personas con prueba rapida,2010-04-01,4,7,4,7,11
LA GUARDIA,vih,n de personas con prueba rapida,2010-04-01,1,2,1,2,3
LA PAZ,vih,n de personas con prueba rapida,2010-04-01,78,334,78,334,412
MACHACAMARCA,vih,n de personas con prueba rapida,2010-04-01,0,11,0,11,11
MACHARETI,vih,n de personas con prueba rapida,2010-04-01,6,11,6,11,17
MAIRANA,vih,n de personas con prueba rapida,2010-04-01,0,1,0,1,1
MIZQUE,vih,n de personas con prueba rapida,2010-04-01,6,26,6,26,32
MONTEAGUDO,vih,n de personas con prueba rapida,2010-04-01,4,12,4,12,16
MONTERO,vih,n de personas con prueba rapida,2010-04-01,21,40,21,40,61
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-04-01,15,5,15,5,20
ORURO,vih,n de personas con prueba rapida,2010-04-01,59,594,59,594,653
PADCAYA,vih,n de personas con prueba rapida,2010-04-01,0,13,0,13,13
PAILON,vih,n de personas con prueba rapida,2010-04-01,3,4,3,4,7
PORONGO,vih,n de personas con prueba rapida,2010-04-01,0,3,0,3,3
PORTACHUELO,vih,n de personas con prueba rapida,2010-04-01,1,1,1,1,2
POTOSI,vih,n de personas con prueba rapida,2010-04-01,6,13,6,13,19
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-04-01,24,23,24,23,47
PUERTO RICO,vih,n de personas con prueba rapida,2010-04-01,0,7,0,7,7
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-04-01,1,2,1,2,3
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-04-01,7,24,7,24,31
PUNATA,vih,n de personas con prueba rapida,2010-04-01,10,0,10,0,10
RIBERALTA,vih,n de personas con prueba rapida,2010-04-01,1,19,1,19,20
ROBORE,vih,n de personas con prueba rapida,2010-04-01,8,0,8,0,8
RURRENABAQUE,vih,n de personas con prueba rapida,2010-04-01,0,14,0,14,14
SACABA,vih,n de personas con prueba rapida,2010-04-01,0,259,0,259,259
SAN BENITO,vih,n de personas con prueba rapida,2010-04-01,1,0,1,0,1
SAN IGNACIO,vih,n de personas con prueba rapida,2010-04-01,8,2,8,2,10
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-04-01,7,8,7,8,15
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-04-01,18,60,18,60,78
SAN JULIAN,vih,n de personas con prueba rapida,2010-04-01,7,11,7,11,18
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-04-01,0,9,0,9,9
SAN PEDRO,vih,n de personas con prueba rapida,2010-04-01,6,6,6,6,12
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-04-01,50,211,50,211,261
SENA,vih,n de personas con prueba rapida,2010-04-01,0,1,0,1,1
SHINAOTA,vih,n de personas con prueba rapida,2010-04-01,11,4,11,4,15
SUCRE,vih,n de personas con prueba rapida,2010-04-01,38,67,38,67,105
TAPACARI,vih,n de personas con prueba rapida,2010-04-01,0,1,0,1,1
TARABUCO,vih,n de personas con prueba rapida,2010-04-01,4,25,4,25,29
TARIJA,vih,n de personas con prueba rapida,2010-04-01,12,41,12,41,53
TOLEDO,vih,n de personas con prueba rapida,2010-04-01,2,18,2,18,20
TOMINA,vih,n de personas con prueba rapida,2010-04-01,0,9,0,9,9
TRINIDAD,vih,n de personas con prueba rapida,2010-04-01,10,91,10,91,101
UNCIA,vih,n de personas con prueba rapida,2010-04-01,3,0,3,0,3
VIACHA,vih,n de personas con prueba rapida,2010-04-01,4,58,4,58,62
VILLA MONTES,vih,n de personas con prueba rapida,2010-04-01,4,2,4,2,6
VILLA SERRANO,vih,n de personas con prueba rapida,2010-04-01,0,14,0,14,14
VILLA TUNARI,vih,n de personas con prueba rapida,2010-04-01,15,17,15,17,32
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2010-04-01,3,29,3,29,32
VILLAZON,vih,n de personas con prueba rapida,2010-04-01,0,14,0,14,14
WARNES,vih,n de personas con prueba rapida,2010-04-01,5,53,5,53,58
YACUIBA,vih,n de personas con prueba rapida,2010-04-01,25,46,25,46,71
YUNCHARA,vih,n de personas con prueba rapida,2010-04-01,1,1,1,1,2
ACHACACHI,vih,n de personas con prueba rapida,2010-05-01,0,1,0,1,1
AIQUILE,vih,n de personas con prueba rapida,2010-05-01,0,39,0,39,39
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-05-01,1,6,1,6,7
BELLA FLOR,vih,n de personas con prueba rapida,2010-05-01,0,10,0,10,10
BERMEJO,vih,n de personas con prueba rapida,2010-05-01,0,32,0,32,32
BOLPEBRA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2010-05-01,0,2,0,2,2
CAMIRI,vih,n de personas con prueba rapida,2010-05-01,1,1,1,1,2
CAPINOTA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
CHALLAPATA,vih,n de personas con prueba rapida,2010-05-01,3,1,3,1,4
CHIMORE,vih,n de personas con prueba rapida,2010-05-01,4,3,4,3,7
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-05-01,4,2,4,2,6
COBIJA,vih,n de personas con prueba rapida,2010-05-01,64,258,64,258,322
COCHABAMBA,vih,n de personas con prueba rapida,2010-05-01,21,143,21,143,164
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
COLOMI,vih,n de personas con prueba rapida,2010-05-01,3,6,3,6,9
COROICO,vih,n de personas con prueba rapida,2010-05-01,7,30,7,30,37
COTAGAITA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
EL ALTO,vih,n de personas con prueba rapida,2010-05-01,204,683,204,683,887
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-05-01,6,13,6,13,19
EL TORNO,vih,n de personas con prueba rapida,2010-05-01,17,22,17,22,39
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-05-01,0,1,0,1,1
EUCALIPTUS,vih,n de personas con prueba rapida,2010-05-01,1,8,1,8,9
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-05-01,0,8,0,8,8
FILADELFIA,vih,n de personas con prueba rapida,2010-05-01,0,4,0,4,4
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-05-01,140,464,140,464,604
HUANUNI,vih,n de personas con prueba rapida,2010-05-01,2,26,2,26,28
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-05-01,7,14,7,14,21
LA ASUNTA,vih,n de personas con prueba rapida,2010-05-01,3,19,3,19,22
LA GUARDIA,vih,n de personas con prueba rapida,2010-05-01,7,33,7,33,40
LA PAZ,vih,n de personas con prueba rapida,2010-05-01,14,149,14,149,163
LAS CARRERAS,vih,n de personas con prueba rapida,2010-05-01,0,1,0,1,1
MACHACAMARCA,vih,n de personas con prueba rapida,2010-05-01,0,11,0,11,11
MAIRANA,vih,n de personas con prueba rapida,2010-05-01,0,2,0,2,2
MINEROS,vih,n de personas con prueba rapida,2010-05-01,14,15,14,15,29
MIZQUE,vih,n de personas con prueba rapida,2010-05-01,0,50,0,50,50
MOJOCOYA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
MONTEAGUDO,vih,n de personas con prueba rapida,2010-05-01,4,6,4,6,10
MONTERO,vih,n de personas con prueba rapida,2010-05-01,40,9,40,9,49
