,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,7,5,0,1,7,6,13
SACACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,2,0,0,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,1,1,0,0,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,25,26,0,0,25,26,51
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,1,1,0,0,1,1,2
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,0,0,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-04-01,7,6,0,0,7,6,13
ACACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,11,14,16,29,27,56
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,41,50,21,30,62,80,142
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,17,22,5,8,22,30,52
AIQUILE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,22,21,69,70,91,91,182
ALALAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,6,4,8,5,14,19
ALCALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,1,11,9,15,10,25
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,23,20,18,20,41,40,81
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,26,29,4,4,30,33,63
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,3,9,9,13,12,25
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,14,0,1,4,15,19
ANZALDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,8,25,32,33,40,73
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,16,21,15,23,31,44,75
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,4,23,18,31,22,53
ARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,13,17,16,26,29,55
ARBIETO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,59,63,23,22,82,85,167
ARQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,41,31,41,38,82,69,151
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,7,0,0,3,7,10
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,28,26,23,33,51,59,110
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,15,6,14,14,29,43
AYATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,10,21,16,13,26,34,60
AYO AYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,0,7,4,9,4,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,57,60,86,74,143,134,277
AZURDUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,24,18,24,28,48,46,94
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,34,30,5,6,39,36,75
BAURES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,10,10,6,6,16,16,32
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,3,2,1,3,4,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,2,2,2,2,4,6
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,8,12,6,16,14,30
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,39,42,41,45,80,87,167
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,105,117,62,58,167,175,342
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,25,16,10,18,35,34,69
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,3,1,0,2,3,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,6,30,22,32,28,60
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,28,10,23,31,51,41,92
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,19,25,1,2,20,27,47
CAIROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,27,29,7,4,34,33,67
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,13,39,30,51,43,94
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,7,0,0,7,7,14
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,3,0,4,3,7,10
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,18,14,2,1,20,15,35
CAMARGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,23,33,41,40,64,73,137
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,8,9,10,17,18,35
CAMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,31,40,23,29,54,69,123
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,53,52,45,52,98,104,202
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,13,0,0,12,13,25
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,32,37,26,20,58,57,115
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,112,110,20,29,132,139,271
CARAPARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,2,8,13,8,15,23
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,17,18,24,28,41,46,87
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,3,12,8,20,11,31
CATACORA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,1,2,2,3,3,6
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,6,2,5,1,11,3,14
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,54,44,16,17,70,61,131
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,27,34,13,13,40,47,87
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,34,28,50,43,84,71,155
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,3,0,2,3,5,8
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,33,45,48,39,81,84,165
CHIMORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,40,40,10,12,50,52,102
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,4,0,2,1,6,7
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,1,2,2,3,3,6
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,8,1,1,4,9,13
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,7,22,14,29,21,50
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,11,11,20,21,31,32,63
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,13,29,17,37,30,67
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,33,33,49,42,82,75,157
CLIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,39,30,46,56,85,86,171
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,63,50,33,31,96,81,177
COCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,31,30,76,71,107,101,208
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,790,849,65,75,855,924,1779
COIPASA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,1,1,1,3,2,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,24,23,0,0,24,23,47
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,41,31,41,26,82,57,139
COLLANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,3,33,13,36,16,52
COLOMI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,40,43,12,8,52,51,103
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,1,1,1,2,2,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,119,122,105,84,224,206,430
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,20,0,0,9,20,29
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,20,34,31,36,51,70,121
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,4,0,1,5,5,10
COMARAPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,43,34,6,3,49,37,86
COMBAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,1,1,1,2,2,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,31,31,16,32,47,63,110
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,5,11,10,15,15,30
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,22,3,2,12,24,36
CORO CORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,0,0,2,0,2,2
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,4,12,6,24,10,34
CORQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,7,7,4,16,11,27
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,78,68,68,47,146,115,261
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,76,88,8,10,84,98,182
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,23,9,13,16,36,25,61
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,3,4,6,8,9,17
CUEVO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,11,13,16,28,27,55
CULPINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,43,38,48,47,91,85,176
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,7,2,1,5,8,13
CURVA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,2,2,2,14,4,18
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,14,3,3,18,17,35
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,743,797,791,814,1534,1611,3145
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,2,1,6,6,8,14
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,12,6,5,21,17,38
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,10,35,38,43,48,91
EL TORNO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,84,98,20,16,104,114,218
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,11,10,5,4,16,14,30
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,17,29,55,58,72,87,159
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,53,39,8,6,61,45,106
ESCARA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,1,0,0,0,1,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,2,0,0,3,2,5
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,0,3,1,3,1,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,8,2,5,7,13,20
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,2,33,30,36,32,68
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,17,15,21,27,38,65
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,23,13,6,5,29,18,47
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,22,24,1,12,23,36,59
GUANAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,5,7,10,16,15,31
GUAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,10,8,2,4,12,12,24
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,9,4,4,12,13,25
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,27,29,54,36,81,65,146
HUACARETA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,12,9,19,8,31,17,48
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,0,18,13,19,13,32
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,1,0,0,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,19,17,34,26,53,43,96
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,9,0,0,7,9,16
HUARINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,3,3,6,6,9,15
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,4,1,1,1,5,2,7
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,3,2,2,9,5,14
HUMANATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,4,4,7,4,11,15
ICHOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,5,7,6,15,11,26
ICLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,28,15,22,19,50,34,84
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,30,35,12,9,42,44,86
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,5,0,0,3,5,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,10,9,29,17,39,26,65
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,6,17,11,24,17,41
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,8,7,16,6,24,13,37
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,32,14,9,4,41,18,59
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,54,38,4,7,58,45,103
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,74,70,62,42,136,112,248
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,445,379,123,133,568,512,1080
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,0,0,1,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,7,12,15,15,22,37
LAJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,29,20,8,5,37,25,62
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,0,12,8,14,8,22
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,5,0,0,2,5,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,96,124,72,87,168,211,379
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,8,5,3,12,11,23
LORETO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,0,32,38,32,38,70
LURIBAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,22,20,13,9,35,29,64
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,1,4,0,6,1,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,2,5,5,7,7,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,3,46,79,48,82,130
MAIRANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,2,10,5,15,7,22
MALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,2,6,4,6,6,12
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,17,30,5,3,22,33,55
MECAPACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,9,9,5,4,14,13,27
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,2,1,0,2,2,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,48,43,34,14,82,57,139
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,25,24,17,18,42,42,84
MOJINETE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,1,4,0,4,1,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,19,18,6,7,25,25,50
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,94,100,9,12,103,112,215
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,43,50,35,32,78,82,160
MORO MORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,1,1,4,1,5,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,12,37,30,52,42,94
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,6,18,14,21,20,41
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,7,0,0,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,0,0,3,4,3,4,7
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,7,8,5,11,12,23
OKINAWA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,2,4,20,20,22,24,46
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,4,44,38,47,42,89
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,174,160,93,90,267,250,517
PADCAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,18,9,21,20,39,29,68
PADILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,20,22,35,38,55,60,115
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,17,24,41,35,58,59,117
PALCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,8,16,10,31,18,49
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,36,34,37,29,73,63,136
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,0,3,2,8,2,10
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,7,2,5,5,12,7,19
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,21,13,2,2,23,15,38
PASORAPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,1,0,11,5,12,5,17
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,14,7,13,13,27,20,47
PAZÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,11,8,3,5,14,13,27
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,15,5,3,2,18,7,25
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,44,38,88,95,132,133,265
POCONA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,21,20,49,34,70,54,124
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,33,38,21,26,54,64,118
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,19,7,2,5,21,12,33
PORCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,13,15,10,11,23,26,49
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,44,35,33,43,77,78,155
PORONGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,20,23,20,13,40,36,76
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,11,19,0,0,11,19,30
PORVENIR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,3,0,24,8,27,8,35
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,3,0,0,5,3,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,425,405,118,100,543,505,1048
PRESTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,14,17,21,23,35,40,75
PUCARA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2020-05-01,5,7,1,1,6,8,14
