,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,5,6,4,10,9,19
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,3,1,5,6,8,14
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,6,1,0,9,6,15
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,4,0,0,3,4,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,0,0,2,1,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,12,18,1,1,13,19,32
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,4,3,5,11,9,20
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,1,1,2,3,5
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,9,1,0,4,9,13
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,13,12,0,0,13,12,25
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,1,2,2,4,6
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,1,0,1,6,2,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,0,0,0,3,0,3
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,1,1,1,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,0,0,1,2,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,4,2,6,6,10,16
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,16,15,0,0,16,15,31
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,6,0,0,6,6,12
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,1,3,1,8,2,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,7,1,1,7,8,15
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,37,18,4,0,41,18,59
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,7,3,0,14,7,21
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,3,0,1,4,4,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,2,0,0,0,2,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,2,0,0,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,9,2,2,7,11,18
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,7,0,2,7,9,16
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,3,4,7,6,10,16
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,0,2,1,4,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,14,12,0,1,14,13,27
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,1,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,3,2,0,8,3,11
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,1,1,6,5,7,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,3,1,4,1,5
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,0,1,3,4,7
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,9,1,2,6,11,17
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,25,36,2,0,27,36,63
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,2,1,4,7,6,13
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,349,338,4,12,353,350,703
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,0,0,2,1,3
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,3,0,0,4,3,7
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,15,15,0,1,15,16,31
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,0,0,2,1,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,14,6,6,3,20,9,29
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,6,0,0,7,6,13
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,4,2,0,4,4,8
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,17,0,0,10,17,27
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,1,0,1,1,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,22,16,5,9,27,25,52
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,1,2,1,6,2,8
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,4,0,0,1,4,5
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,5,0,2,4,7,11
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,13,3,2,1,15,4,19
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,42,51,4,1,46,52,98
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,14,10,0,0,14,10,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,0,0,2,1,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,3,1,6,4,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,7,2,0,10,7,17
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,0,0,1,1,2
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,1,2,3,3,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,1,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,360,390,98,116,458,506,964
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,2,0,0,0,2,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,6,2,0,8,6,14
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,7,2,1,5,8,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,42,55,1,0,43,55,98
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,16,2,4,13,20,33
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,12,27,1,0,13,27,40
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,2,4,2,6,4,10
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,4,2,1,10,5,15
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,2,0,0,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,7,0,1,1,8,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,8,2,0,9,8,17
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,3,4,3,4,7
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,19,16,1,1,20,17,37
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,4,0,0,3,4,7
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,0,2,1,4,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,2,2,4,4,6,10
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,0,0,1,3,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,0,0,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,2,0,3,0,3
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,2,0,0,1,2,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,2,1,2,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,0,0,3,3,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,2,1,3,1,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,0,2,1,5,6
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,3,0,0,4,3,7
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,2,2,0,7,2,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,22,20,4,3,26,23,49
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,56,66,31,30,87,96,183
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,288,291,7,9,295,300,595
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,1,2,3,5,4,9
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,14,3,0,2,14,5,19
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,13,7,15,12,28,19,47
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,1,0,0,1,1,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,1,0,1,3,2,5
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,4,0,0,1,4,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,1,1,3,2,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,1,2,2,7,3,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,3,0,2,4,5,9
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,10,0,0,4,10,14
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,9,2,3,13,12,25
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,17,20,3,0,20,20,40
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,8,2,4,8,12,20
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,4,2,2,7,6,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,15,14,1,1,16,15,31
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,74,76,5,8,79,84,163
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,4,0,2,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,2,0,0,3,2,5
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,7,2,1,5,8,13
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,8,1,3,4,11,15
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,122,119,3,5,125,124,249
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,3,0,0,8,3,11
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,7,1,0,11,7,18
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,6,7,9,16,15,31
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,12,6,5,10,17,27
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,17,10,0,2,17,12,29
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,0,0,3,3,6
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,0,0,2,2,2,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,2,1,2,1,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,17,7,3,18,20,38
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,5,2,2,7,7,14
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,2,4,2,4,6
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,0,0,1,3,4
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,2,3,3,5,5,10
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,4,0,0,6,4,10
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,5,0,0,0,5,5
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,0,1,0,6,0,6
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,7,7,0,17,7,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,11,0,0,10,11,21
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,4,0,0,4,4,8
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,2,0,0,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,145,138,28,24,173,162,335
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,3,0,0,0,3,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,15,6,4,17,19,36
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,5,2,0,3,5,8
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,2,3,2,6,4,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,1,0,2,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,2,2,1,9,3,12
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,0,0,2,1,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,11,7,12,15,23,38
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,24,24,3,3,27,27,54
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,2,4,5,12,7,19
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,15,12,6,2,21,14,35
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,2,4,0,8,2,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,24,19,12,12,36,31,67
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,5,0,0,8,5,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,0,0,0,2,0,2
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,0,1,0,3,0,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,5,4,7,8,12,20
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,3,0,0,3,3,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,8,0,0,10,8,18
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,15,15,1,1,16,16,32
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,11,15,3,0,14,15,29
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,99,85,26,30,125,115,240
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,1,1,2,3,3,6
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,3,5,3,9,6,15
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,2,0,0,4,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,2,0,2,0,2
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,7,2,2,11,9,20
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,4,5,0,0,4,5,9
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,0,0,2,2,2,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,2,1,3,3,5,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,3,0,0,1,3,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,36,35,6,2,42,37,79
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,2,0,0,2,2,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,7,6,13,6,20,12,32
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,12,6,0,0,12,6,18
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,41,17,3,1,44,18,62
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,13,10,0,0,13,10,23
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,8,8,0,0,8,8,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,17,9,0,0,17,9,26
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,3,2,2,7,5,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,31,24,5,8,36,32,68
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,13,14,0,0,13,14,27
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,2,3,2,2,4,5,9
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,10,0,0,10,10,20
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,9,2,6,2,15,4,19
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,5,1,0,0,5,1,6
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,7,4,4,10,11,21
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,3,2,0,1,3,3,6
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,1,0,0,0,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,0,1,3,1,3,2,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,10,0,0,10,10,20
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,3,2,2,8,5,13
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,6,8,0,0,6,8,14
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,10,8,0,0,10,8,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2020-01-01,652,554,5,1,657,555,1212
