,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,2,1,3,2,5
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,3,2,1,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,6,2,7,2,9
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,11,5,7,3,18,8,26
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,4,1,1,2,5,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,1,0,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,1,3,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,26,28,3,1,29,29,58
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,17,9,7,9,24,18,42
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,4,3,4,5,8,13
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,7,9,4,16,11,27
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,12,20,4,4,16,24,40
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,5,0,0,4,5,9
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,4,6,4,6,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,8,7,0,0,8,7,15
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,1,0,2,0,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,4,0,0,4,4,8
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,7,0,2,7,9,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,3,0,0,2,3,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,37,23,2,6,39,29,68
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,8,7,2,1,10,8,18
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,1,1,0,3,1,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,10,2,0,6,10,16
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,41,43,7,6,48,49,97
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,8,2,8,12,16,14,30
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,2,0,0,1,2,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,4,4,7,6,11,17
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,20,19,11,6,31,25,56
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,4,0,3,7,7,14
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,10,16,13,25,23,48
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,8,3,4,8,12,20
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,10,10,6,2,16,12,28
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,0,2,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,1,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,7,2,1,8,8,16
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,3,5,1,9,4,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,0,3,2,5,2,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,8,2,1,5,9,14
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,11,10,3,3,14,13,27
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,44,30,10,9,54,39,93
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,1,3,4,5,5,10
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,562,562,17,24,579,586,1165
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,30,22,0,0,30,22,52
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,4,0,0,4,4,8
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,1,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,10,5,3,11,13,24
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,4,7,3,9,7,16
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,16,20,14,7,30,27,57
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,2,0,2,7,4,11
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,2,5,5,10,7,17
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,13,15,1,1,14,16,30
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,28,14,9,5,37,19,56
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,2,3,2,10,4,14
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,3,0,0,3,3,6
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,3,3,4,3,7
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,4,3,1,9,5,14
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,1,2,3,6,4,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,7,1,0,7,7,14
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,88,77,3,7,91,84,175
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,11,14,3,2,14,16,30
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,2,0,3,2,5,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,4,1,3,5,7,12
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,1,1,2,2,4
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,2,1,3,1,4
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,3,0,0,6,3,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,608,541,148,129,756,670,1426
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,6,4,3,13,9,22
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,2,4,2,6,4,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,50,54,0,0,50,54,104
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,2,1,0,1,2,3
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,12,12,4,8,16,20,36
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,15,12,9,5,24,17,41
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,3,1,3,5,6,11
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,3,0,0,4,3,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,3,1,3,2,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,2,0,0,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,4,3,5,4,9
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,4,1,9,4,13,17
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,13,0,0,5,13,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,5,1,2,4,7,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,7,1,2,6,9,15
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,3,2,1,3,4,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,34,44,1,0,35,44,79
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,4,4,0,10,4,14
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,4,1,0,3,4,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,1,0,1,0,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,3,0,0,2,3,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,13,11,3,1,16,12,28
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,5,0,0,2,5,7
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,1,1,0,5,1,6
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,3,0,0,4,3,7
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,0,0,0,2,0,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,2,2,2,2,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,2,0,2,1,3
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,2,0,3,0,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,2,1,3,2,5,7
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,4,0,0,3,4,7
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,1,3,4,5,5,10
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,3,1,1,3,4,7
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,4,3,2,8,6,14
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,4,0,1,4,5,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,26,31,1,3,27,34,61
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,129,111,4,5,133,116,249
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,557,464,19,23,576,487,1063
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,3,4,4,4,7,11
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,10,0,0,6,10,16
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,1,1,1,1,2
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,2,0,0,3,2,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,19,17,27,11,46,28,74
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,2,1,0,3,2,5
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,2,0,0,9,2,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,2,0,3,4,5,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,2,0,0,1,2,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,4,4,4,6,8,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,2,7,7,7,9,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,8,9,0,0,8,9,17
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,3,2,3,2,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,15,10,0,0,15,10,25
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,2,0,1,9,3,12
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,14,21,0,0,14,21,35
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,5,7,7,16,12,28
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,1,5,3,7,4,11
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,1,0,0,6,1,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,14,20,2,2,16,22,38
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,111,95,6,5,117,100,217
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,2,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,3,2,1,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,1,3,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,8,4,5,5,13,18
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,4,5,4,11,8,19
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,260,210,10,11,270,221,491
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,14,8,0,0,14,8,22
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,6,1,1,2,7,9
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,16,14,19,22,35,36,71
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,6,5,7,12,13,25
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,13,16,3,9,16,25,41
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,2,0,3,1,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,2,1,0,4,2,6
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,1,1,2,2,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,13,12,6,1,19,13,32
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,0,0,1,2,1,3
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,3,2,2,7,5,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,1,12,14,15,15,30
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,6,3,3,5,9,14
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,4,3,7,9,11,20
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,3,0,2,3,5,8
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,10,6,6,4,16,10,26
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,2,2,6,3,8,11
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,6,7,6,12,12,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,19,13,4,5,23,18,41
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,166,169,42,49,208,218,426
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,1,1,2,2,4
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,1,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,13,8,10,8,23,16,39
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,2,0,3,2,5,7
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,2,8,8,8,10,18
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,3,4,7,4,10,14
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,0,0,4,2,4,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,14,8,10,5,24,13,37
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,10,6,14,12,24,36
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,36,30,8,1,44,31,75
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,6,5,8,8,14,22
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,17,1,12,8,29,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,0,1,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,70,52,17,19,87,71,158
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,2,3,2,4,6
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,0,2,2,7,2,9
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,5,6,3,13,8,21
REYES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,7,5,0,0,7,5,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,1,0,1,0,2,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,9,13,10,9,19,22,41
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,16,4,8,0,24,4,28
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,107,81,31,41,138,122,260
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,1,0,1,2,2,4
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,2,6,5,11,7,18
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,6,4,6,4,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,4,2,5,3,9,12
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,10,2,1,5,11,16
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,0,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,6,6,1,4,7,10,17
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,2,0,0,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,2,3,3,5,5,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,5,3,1,0,6,3,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,39,28,4,2,43,30,73
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,4,10,3,1,7,11,18
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,11,16,13,10,24,26,50
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,15,22,3,2,18,24,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,44,49,9,12,53,61,114
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,0,0,1,1,1,1,2
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,15,10,0,0,15,10,25
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,2,6,4,4,6,10,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,19,23,4,1,23,24,47
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2020-01-01,3,4,1,1,4,5,9
