,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,23,26,0,0,23,26,49
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,4,1,2,4,6,10
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,0,0,1,1,2
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,2,0,3,1,4
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,2,0,1,6,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,7,6,6,9,13,22
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,4,1,6,7,10,17
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,7,1,0,9,7,16
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,3,0,0,5,3,8
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,0,0,1,4,1,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,14,22,1,1,15,23,38
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,6,5,5,11,11,22
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,0,1,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,1,1,2,3,5
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,14,8,2,0,16,8,24
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,15,19,0,0,15,19,34
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,5,2,3,4,8,12
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,2,0,0,8,2,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,2,0,0,11,2,13
CALACOTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,1,3,2,3,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,3,0,0,4,3,7
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,6,0,3,4,9,13
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,0,4,1,6,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,26,18,5,5,31,23,54
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,10,8,0,0,10,8,18
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,1,3,1,9,2,11
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,8,0,2,3,10,13
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,37,25,4,3,41,28,69
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,6,3,0,14,6,20
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,5,0,2,5,7,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,2,0,0,0,2,2
CATACORA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,1,0,0,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,11,2,4,14,15,29
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,7,0,2,8,9,17
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,14,7,4,18,18,36
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,7,0,1,6,8,14
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,19,15,1,4,20,19,39
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,1,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,6,2,0,14,6,20
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,1,1,6,5,7,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,3,3,2,7,5,12
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,5,2,0,5,5,10
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,8,2,2,8,10,18
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,26,34,2,0,28,34,62
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,5,5,6,11,11,22
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,494,464,7,12,501,476,977
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,37,20,1,0,38,20,58
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,1,0,0,3,1,4
COLLANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,0,0,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,11,0,1,12,12,24
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,0,0,3,2,5
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,13,10,8,7,21,17,38
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,6,0,0,8,6,14
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,8,3,2,7,10,17
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,8,2,0,13,8,21
COMBAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,1,1,1,2,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,20,18,5,9,25,27,52
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,1,1,4,3,7
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,6,0,0,3,6,9
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,3,3,4,4,8
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,6,2,4,8,10,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,3,3,4,3,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,14,6,5,1,19,7,26
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,49,56,3,1,52,57,109
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,12,0,0,11,12,23
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,1,1,0,4,1,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,3,3,1,6,4,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,9,4,2,2,11,6,17
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
CURVA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,1,1,2,3,3,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,1,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,439,438,107,126,546,564,1110
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,0,0,3,2,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,7,2,2,8,9,17
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,7,2,1,5,8,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,32,54,1,0,33,54,87
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,0,0,3,2,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,10,19,7,8,17,27,44
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,16,19,0,1,16,20,36
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,4,2,7,4,11
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,1,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,9,6,2,2,11,8,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,3,2,0,3,3,6
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,10,0,0,5,10,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,8,2,0,8,8,16
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,4,3,6,7,10,17
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,1,0,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,30,28,3,1,33,29,62
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,3,1,3,9,6,15
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,3,0,1,2,4,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,2,2,0,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,5,2,3,13,8,21
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,0,0,1,2,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,0,0,1,1,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,1,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,2,0,3,0,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,3,0,4,0,4
ICLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,1,0,2,2,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,4,1,1,4,5,9
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,4,0,0,4,4,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,1,2,4,5,5,10
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,7,1,3,5,10,15
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,3,0,0,5,3,8
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,2,2,0,7,2,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,20,23,5,2,25,25,50
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,93,98,5,3,98,101,199
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,408,407,6,1,414,408,822
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,1,0,2,7,3,10
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,13,3,0,2,13,5,18
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,1,0,2,2,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,15,16,18,17,33,33,66
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,2,0,1,6,3,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,0,1,1,8,1,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,8,1,1,8,9,17
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,3,0,2,4,5,9
MALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,2,3,3,4,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,13,0,0,5,13,18
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,10,1,3,13,13,26
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,20,19,1,0,21,19,40
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,11,3,3,15,14,29
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,4,2,2,6,6,12
MOJINETE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,0,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,2,0,0,1,2,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,15,15,1,1,16,16,32
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,71,83,6,9,77,92,169
MORO MORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,4,0,2,1,6,7
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,1,1,0,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,2,0,0,3,2,5
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,2,4,5,8,7,15
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,9,2,1,4,10,14
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,7,2,4,4,11,15
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,169,179,9,9,178,188,366
PADCAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,9,4,0,0,9,4,13
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,9,0,1,8,10,18
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,14,9,6,10,20,19,39
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,12,4,5,10,17,27
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,20,19,1,2,21,21,42
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,0,0,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,5,0,0,3,5,8
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,1,0,2,2,3,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,2,2,2,3,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,17,7,3,18,20,38
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,4,0,0,3,4,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,5,2,2,7,7,14
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,6,2,9,9,15,24
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,1,4,2,7,3,10
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,3,4,3,7,6,13
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,4,0,0,4,4,8
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,12,1,1,7,13,20
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,0,3,3,7,3,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,10,7,7,0,17,7,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,13,11,0,0,13,11,24
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,4,0,1,3,5,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,146,139,28,24,174,163,337
PRESTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,1,0,1,3,2,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,12,17,5,3,17,20,37
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,5,2,0,5,5,10
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,4,3,1,7,5,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,1,1,2,1,3,4
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,10,14,2,1,12,15,27
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,3,0,0,4,3,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,11,10,14,21,25,46
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,25,35,5,8,30,43,73
PUNA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,6,6,7,5,13,11,24
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,23,14,7,4,30,18,48
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,2,3,1,7,3,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,53,50,26,26,79,76,155
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,6,0,0,5,6,11
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,5,7,2,0,7,7,14
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,5,4,7,8,12,20
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,3,6,0,0,3,6,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,48,47,0,0,48,47,95
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,11,11,3,1,14,12,26
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,18,9,3,0,21,9,30
SABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,2,0,0,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,72,75,48,27,120,102,222
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,0,2,1,1,1,3,4
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,5,3,4,4,9,13
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,4,3,0,0,4,3,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,0,2,0,4,0,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,8,8,1,2,9,10,19
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,7,4,1,1,8,5,13
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,2,0,0,2,2,2,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2020-01-01,1,1,0,0,1,1,2
