,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,1,0,0,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,2,2,1,0,3,2,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,5,9,0,0,5,9,14
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,2,1,0,2,2,4
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,4,1,0,0,4,1,5
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,2,2,2,2,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,3,3,1,1,4,4,8
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,2,4,0,3,2,7,9
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,2,0,0,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,1,0,1,1,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,2,1,3,2,5,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,2,1,3,1,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,22,21,0,0,22,21,43
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,2,2,0,3,2,5,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,3,1,0,0,3,1,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,2,0,0,0,2,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,2,0,0,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,2,1,1,2,3,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,2,0,0,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,3,2,0,0,3,2,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-01-01,0,0,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,0,1,0,1,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,3,2,4,2,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,2,1,2,1,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,7,2,0,3,7,5,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,1,0,2,2
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,6,3,5,6,11,9,20
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,3,0,0,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,1,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,3,2,0,0,3,2,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,4,1,0,0,4,1,5
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,2,2,0,0,2,2,4
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,3,6,0,0,3,6,9
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,5,1,0,2,5,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,4,0,0,0,4,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,2,1,2,2,4,3,7
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,2,0,3,3
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,1,0,2,1,3,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,1,1,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,2,0,0,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,5,12,5,13,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,13,17,3,1,16,18,34
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,1,0,0,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,6,3,0,0,6,3,9
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,3,0,0,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,3,4,0,0,3,4,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,1,0,1,1,2
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,3,0,0,1,3,4
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,1,1,0,0,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,2,0,2,0,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-02-01,0,0,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,1,1,2,1,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,3,2,1,1,4,3,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,0,0,0,2,0,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,1,0,1,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,3,5,1,4,4,9,13
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,2,1,2,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,2,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,0,1,0,1,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,2,2,1,3,3,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,3,1,0,0,3,1,4
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,6,0,0,1,6,7
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,19,8,19,8,27
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,5,5,0,1,5,6,11
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,3,0,1,0,4,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,2,3,0,3,2,5
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,1,0,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,2,1,0,1,2,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,2,3,2,3,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,1,0,1,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,10,12,0,1,10,13,23
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,1,1,2,1,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,0,0,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,0,0,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,2,1,0,2,2,4
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,0,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,1,0,2,1,3,1,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,2,3,1,1,3,4,7
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,1,0,2,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-03-01,0,0,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,1,0,0,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,1,0,0,0,1,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,2,0,0,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,2,0,2,0,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,6,6,2,3,8,9,17
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,2,0,3,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,3,1,0,0,3,1,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,2,0,0,0,2,0,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,1,0,0,0,1,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,2,1,0,1,2,2,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2020-04-01,1,0,0,0,1,0,1
