,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,1,2
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,6,2,8
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,10,10,20
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,2,0,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,26,30,56
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,2,7
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,239,213,452
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,11,7,18
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,2,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,34,18,52
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,1,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,19,18,37
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,4,7
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,16,16,32
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,8,8,16
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,0,3,3
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,9,6,15
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,1,0,1
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,4,5,9
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,5,4,9
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,7,14,21
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2011-01-01,3,4,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,11,15,26
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,6,4,10
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,3,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,8,5,13
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,4,1,5
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,1,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,5,9,14
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,35,46,81
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,0,3
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,2,2
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,4,4,8
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,35,20,55
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,3,4
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,5,1,6
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,42,33,75
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,7,4,11
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,2,2
HUARACAJE,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,3,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,2,5
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,26,22,48
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,1,4
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,1,3
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,2,3
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,1,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,32,22,54
OMEREQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,16,12,28
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,19,7,26
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,12,10,22
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,0,3
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,6,0,6
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,1,2
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,5,0,5
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,2,5
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,0,2
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,11,11,22
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,2,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,21,19,40
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,19,12,31
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,1,3
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,2,3
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,2,3
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,183,120,303
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,4,3,7
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,13,14,27
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,1,0,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,8,9,17
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,2,4,6
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,18,21,39
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,11,8,19
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,6,5,11
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,8,8,16
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,11,5,16
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,4,3,7
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,19,20,39
YAMPARAEZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,0,1,1
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2011-02-01,3,5,8
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,1,1
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,10,9,19
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,2,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,10,14
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,2,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,6,6,12
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,1,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,0,2
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,1,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,7,11
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,69,61,130
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,1,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,4,6
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,4,8
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,18,15,33
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,8,2,10
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,3,7
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,19,26,45
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,6,2,8
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
ICHOCA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,1,2
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,19,33,52
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,3,0,3
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,0,2
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,1,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,3,3,6
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,26,22,48
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,14,11,25
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,15,11,26
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,14,14,28
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,2,3
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,3,5
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,1,3
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,7,7,14
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,2,6
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,6,1,7
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,2,3
SAIPINA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,2,3
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,6,6,12
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,17,13,30
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,1,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,9,2,11
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,5,9,14
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,5,3,8
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,0,2
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,3,4,7
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,1,3
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,267,154,421
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,9,2,11
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,10,8,18
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,12,6,18
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,3,6,9
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,19,20,39
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,0,5,5
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,3,3,6
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,9,13
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,3,7
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,1,3
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,4,6,10
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,25,18,43
YANACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,1,0,1
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2011-03-01,2,1,3
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,1,2
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,20,8,28
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,0,1
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,0,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,1,3
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,2,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,6,6,12
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,4,0,4
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,0,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,7,10
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,1,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,8,6,14
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,66,58,124
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,2,3
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,1,3
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,4,1,5
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,2,4
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,7,9
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,13,15,28
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,0,1
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,23,19,42
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,6,4,10
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,4,1,5
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,4,0,4
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,1,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,47,49,96
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,39,30,69
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,1,3
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,2,4
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,2,2
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,2,4
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,2,3
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,24,16,40
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,17,8,25
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,0,1
PASORAPA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,4,0,4
POCONA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,9,8,17
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,9,3,12
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,3,6
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,5,3,8
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,1,4
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,2,4
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,9,0,9
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,7,5,12
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,1,4
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,6,0,6
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,4,6
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,6,9,15
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,1,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,10,10,20
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,2,2
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,3,3,6
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,1,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,2,2,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,169,105,274
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,14,3,17
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,2,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,20,11,31
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,3,4
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,1,0,1
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,7,0,7
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,15,11,26
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,2,2
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2011-04-01,0,2,2
