,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,1,1,2,7
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,2,2,4
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,3,0,2,10
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,10,10,0,1,21
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,26,13,5,1,45
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,10,5,4,4,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,4,0,2,11
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,7,0,1,21
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,1,4,5
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,2,1,1,10
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,7,2,0,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,4,0,0,9
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,42,34,5,1,82
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,21,13,1,0,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,3,0,0,8
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,15,10,3,4,32
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,47,34,3,0,84
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,9,14,1,1,25
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,1,2,7
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,3,2,2,8
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,1,0,0,2
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,1,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,20,17,5,6,48
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,2,2,2,10
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,15,6,10,6,37
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,0,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,5,3,1,15
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,19,21,2,3,45
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,13,2,0,23
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,3,6,5,17
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,8,3,0,14
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,6,4,2,17
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,14,7,1,1,23
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,65,51,3,4,123
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,6,6,5,22
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,667,664,0,2,1333
COIPASA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,47,42,0,0,89
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,12,0,3,21
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,2,0,0,5
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,24,18,0,0,42
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,6,0,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,16,21,8,8,53
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,9,5,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,12,16,7,5,40
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,10,12,0,1,23
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,31,13,4,3,51
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,5,3,3,15
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,15,16,0,0,31
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,4,1,0,7
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,8,1,2,24
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,0,2,6
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,16,12,1,1,30
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,83,86,0,2,171
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,11,4,3,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,0,1,1
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,2,2,1,6
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,5,5,0,14
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,1,1,0,6
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,1,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,5,0,0,6
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,724,717,129,103,1673
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,1,1,1,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,16,6,3,0,25
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,6,1,2,14
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,43,41,8,6,98
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,4,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,17,5,6,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,34,35,0,0,69
ESCARA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,0,0,4
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,2,0,1,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,1,0,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,4,2,1,13
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,9,1,0,3,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,16,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,4,4,0,13
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,5,6,8,23
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,3,2,4,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,44,48,2,3,97
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,9,7,6,35
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,7,2,4,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,2,1,0,3
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,19,0,0,36
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,0,0,4
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,6,0,1,9
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,2,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,0,0,5
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,2,2,8
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,0,1,1,4
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,2,1,1,9
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,4,5,14
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,2,0,1,4
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,2,6,8,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,10,5,4,32
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,7,3,1,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,1,1,7
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,34,42,8,5,89
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,108,84,4,1,197
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,658,620,8,5,1291
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,5,2,1,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,9,1,0,23
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,0,1,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,3,1,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,22,18,19,20,79
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,1,0,0,2
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,2,1,0,4
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,3,2,0,9
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,1,0,5
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,7,1,0,9
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,10,12,3,6,31
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,18,0,1,36
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,3,0,3,6
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,14,8,0,1,23
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,10,12,0,0,22
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,18,17,0,1,36
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,21,21,12,5,59
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,6,6,7,25
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,1,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,2,1,7
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,15,23,0,2,40
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,132,127,5,3,267
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,2,0,1,3
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,2,4,3,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,3,2,1,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,2,0,0,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,9,5,6,24
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,11,13,0,1,25
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,7,3,3,0,13
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,300,301,7,5,613
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,8,1,1,18
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,4,0,0,12
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,35,26,14,13,88
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,12,16,4,2,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,22,3,2,44
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,0,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,4,0,0,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,6,0,0,6
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,22,25,0,4,51
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,3,2,2,7
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,7,2,1,6,16
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,4,5,9,24
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,4,2,4,15
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,11,3,2,3,19
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,4,0,0,9
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,7,13,2,1,23
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,3,5,5,19
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,7,6,17
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,19,16,0,0,35
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,1,1,7
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,1,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,217,193,24,22,456
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,3,0,2,9
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,19,25,6,8,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,3,2,4,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,7,9,8,3,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,3,9,3,18
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,3,2,1,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,9,0,0,17
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,11,8,2,0,21
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,24,1,1,34
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,52,40,2,2,96
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,8,8,6,26
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,26,26,4,4,60
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,2,2,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,97,90,48,64,299
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,4,1,3,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,3,0,0,3
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,4,4,4,14
REYES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,14,14,0,0,28
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,102,92,2,1,197
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,20,10,0,0,30
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,19,16,1,1,37
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,3,0,2,7
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,132,138,4,6,280
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,1,4,6,15
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,7,5,5,21
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,8,0,0,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,4,5,3,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,6,0,1,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,9,5,0,2,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,0,0,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,3,0,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,1,0,0,3
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,8,0,1,15
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,56,52,3,5,116
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,8,6,1,1,16
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,16,22,2,0,40
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,27,19,1,1,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,56,47,7,6,116
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,0,2,6,5,13
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,12,16,0,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,3,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,17,13,9,5,44
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,5,7,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,43,32,10,10,95
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,5,0,2,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,21,15,2,3,41
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,16,5,15,7,43
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,15,11,1,2,29
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,9,10,1,0,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,0,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,13,7,0,0,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,12,11,6,6,35
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,3,3,0,1,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,2,4,0,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,1,0,0,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,2,1,1,1,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,5,3,0,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,6,11,0,1,18
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2017-01-01,14,13,3,4,34
