,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,18,7,9,43
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,1,1,2,7
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,2,2,4
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,3,0,2,10
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,10,0,1,21
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,25,15,2,1,43
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,5,4,4,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,4,0,2,11
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,13,7,0,1,21
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,1,4,5
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,2,1,1,10
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,7,3,0,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,4,0,0,9
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,41,34,5,1,81
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,19,13,1,0,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,3,0,0,8
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,15,10,3,4,32
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,44,33,3,0,80
CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,0,1
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,15,1,1,25
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,1,2,7
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,3,2,2,8
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,1,0,0,2
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,1,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,19,16,5,6,46
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,2,2,2,10
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,14,7,8,5,34
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,0,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,5,3,1,15
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,20,22,2,3,47
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,12,2,0,22
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,3,5,5,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,8,3,0,14
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,6,4,2,17
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,14,7,1,0,22
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,62,54,3,4,123
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,9,6,4,25
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,656,655,0,2,1313
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,47,41,0,0,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,12,0,3,21
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,2,0,0,5
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,24,18,0,0,42
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,6,0,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,15,20,8,8,51
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,5,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,12,16,7,5,40
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,11,0,1,21
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,31,13,4,3,51
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,4,3,2,12
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,14,14,0,0,28
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,4,1,0,6
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,11,6,1,2,20
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,0,2,6
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,12,1,1,30
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,77,86,0,2,165
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,17,11,5,2,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,0,1,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,2,1,6
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,5,5,0,14
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,1,1,0,6
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,1,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,5,0,0,6
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,685,681,120,93,1579
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,1,1,1,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,6,3,0,25
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,6,1,2,14
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,43,41,8,6,98
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,4,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,17,17,5,6,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,33,35,0,0,68
ESCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,0,0,4
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,2,0,1,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,1,0,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,4,2,1,13
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,1,2,1,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,16,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,4,4,0,13
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,5,6,8,23
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,3,2,4,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,43,49,2,3,97
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,13,9,7,6,35
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,7,2,4,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,2,1,0,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,15,0,0,31
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,0,0,4
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,6,0,1,9
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,3,0,0,5
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,2,2,8
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,0,1,1,4
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,2,1,1,9
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,3,4,5,13
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,2,6,8,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,13,8,5,4,30
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,7,3,1,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,3,1,0,6
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,34,40,8,4,86
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,114,87,4,1,206
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,653,627,5,5,1290
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,5,2,1,9
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,11,8,1,0,20
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,0,1,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,1,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,22,18,19,20,79
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,1,0,0,2
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,2,0,5
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,3,2,0,9
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,1,0,5
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,7,1,0,9
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,11,3,6,30
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,18,21,0,1,40
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,0,3,6
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,14,8,1,1,24
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,12,0,0,22
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,18,17,0,1,36
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,21,20,11,5,57
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,6,6,7,25
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,1,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,2,1,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,15,22,0,2,39
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,122,125,4,2,253
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,2,0,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,3,3,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,2,1,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,2,0,0,2
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,9,7,6,26
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,11,13,0,1,25
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,3,3,0,13
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,284,286,6,3,579
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,8,2,1,18
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,4,0,0,12
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,27,20,10,12,69
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,12,16,3,2,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,17,21,3,2,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,3,0,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,4,0,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,6,0,0,6
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,22,24,0,4,50
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,2,2,7
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,2,1,6,16
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,4,5,9,24
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,4,2,4,15
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,10,3,2,3,18
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,4,0,0,9
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,13,2,1,23
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,3,5,5,19
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,3,7,6,21
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,20,16,0,0,36
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,3,0,1,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,1,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,218,187,23,19,447
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,3,0,2,9
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,18,25,6,8,57
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,2,4,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,9,8,3,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,3,8,3,17
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,2,2,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,9,0,0,17
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,11,8,2,0,21
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,21,1,1,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,51,40,2,2,95
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,8,9,7,28
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,26,26,4,4,60
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,2,2,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,92,86,47,58,283
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,4,1,3,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,3,0,0,3
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,4,4,4,14
REYES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,14,14,0,0,28
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,91,84,1,1,177
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,20,10,0,0,30
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,14,3,2,35
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,3,0,2,7
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,125,135,3,6,269
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,1,4,6,15
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,7,5,5,21
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,8,0,0,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,4,5,3,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,7,6,0,1,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,5,0,2,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,0,0,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,3,0,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,1,0,0,3
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,6,8,0,0,14
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,53,49,3,4,109
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,8,6,1,1,16
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,21,2,0,39
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,23,18,1,2,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,55,47,6,6,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,0,0,6,5,11
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,13,18,0,0,31
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,1,3,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,17,13,5,4,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,5,7,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,42,32,10,9,93
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,5,0,1,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,21,15,2,3,41
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,16,5,15,7,43
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,15,10,1,2,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,9,10,1,0,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,0,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,13,7,0,0,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,12,11,6,6,35
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,3,3,0,1,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2017-01-01,2,2,4,0,8
