municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,19,19
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,129,129
CAQUIAVIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,607,607
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,44,44
CARIPUYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
CATACORA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,14,14
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,4,4
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1086,1086
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,94,94
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,8,8
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,738,738
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,205,205
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,4414,4414
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,110,110
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,132,132
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,43,43
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,8,8
COPACABANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,50,50
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,19,19
COROICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,111,111
COTAGAITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
COTOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,85,85
CUATRO CAÑADAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,15,15
CUEVO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,11,11
CULPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,27,27
DESAGUADERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
EL ALTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,652,652
EL PUENTE(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,24,24
EL PUENTE(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,174,174
EL TORNO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,53,53
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,20,20
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,119,119
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,52,52
FILADELFIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,55,55
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,41,41
GUAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,9,9
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,224,224
GUTIERREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,16,16
HUACARETA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,22,22
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
HUACHACALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
HUARACAJE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
ICLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
INCAHUASI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
INGAVI (HUMAITA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,23,23
INQUISIVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,58,58
IRUPANA (VILLA DE LANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,351,351
IXIAMAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
JESUS DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,18,18
LA ASUNTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,872,872
LA GUARDIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,73,73
LA PAZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3852,3852
LAGUNILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,17,17
LLALLAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,15,15
LORETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,27,27
MACHARETI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,25,25
MAGDALENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,10,10
MAIRANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,18,18
MAPIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
MECAPACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,11,11
MINEROS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
MIZQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,38,38
MONTEAGUDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,38,38
MONTERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,681,681
MORO MORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
MOROCHATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,35,35
OCURI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,218,218
OKINAWA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,38,38
OMEREQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
ORURO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,226,226
PADCAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
PADILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,35,35
PAILON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,21,21
PALCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,15,15
PALOS BLANCOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,556,556
PAMPA GRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,113,113
PATACAMAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,37,37
PELECHUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
POCOATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,16,16
POJO (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,61,61
POROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,77,77
PORONGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,31,31
PORTACHUELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,25,25
PORVENIR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
POTOSI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,302,302
PRESTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
PUCARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,17,17
PUERTO ACOSTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,22,22
PUERTO CARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,31,31
PUERTO GONZALO MORENO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
PUERTO PEREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
PUERTO QUIJARRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
PUERTO RICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,10,10
PUERTO SUAREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,49,49
PUERTO VILLARROEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,469,469
PUNA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,77,77
PUNATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,374,374
QUILLACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,413,413
QUIME,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,58,58
QUIRUSILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
RAVELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,187,187
REYES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,10,10
RIBERALTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,8980,8980
ROBORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
RURRENABAQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,97,97
SACABA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,462,462
SACABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,11,11
SACACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,43,43
SAIPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,13,13
SAMAIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,20,20
SAN ANDRES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,118,118
SAN ANDRES DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
SAN BORJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1348,1348
SAN BUENA VENTURA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
SAN CARLOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,23,23
SAN IGNACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,26,26
SAN IGNACIO DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,144,144
SAN JAVIER(BNI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
SAN JAVIER(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
SAN JOAQUIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,39,39
SAN JUAN DE YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,133,133
SAN JULIAN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,60,60
SAN LORENZO(PND),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,75,75
SAN LORENZO(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,31,31
SAN LUCAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,110,110
SAN MATIAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,285,285
SAN MIGUEL DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,11,11
SAN PEDRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,121,121
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,24,24
SAN PEDRO DE TIQUINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
SAN PEDRO(PND),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,14,14
SAN RAFAEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,32,32
SAN RAMON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,10,10
SAN RAMON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,19,19
SANTA ANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5503,5503
SANTA ROSA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,229,229
SANTA ROSA DEL SARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,106,106
SENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,20,20
SICA SICA (VILLA AROMA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,5,5
SIPE SIPE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,130,130
SOPACHUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
SORATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,49,49
SUCRE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,407,407
TACACOMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,25,25
TACOBAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,48,48
TAPACARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
TARATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,7,7
TARIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,148,148
TARVITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,28,28
TEOPONTE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,32,32
TIAWANACU,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,2,2
TINGUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,94,94
TIPUANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,17,17
TIQUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,34,34
TIRAQUE (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,609,609
TOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,83,83
TOLATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,188,188
TRIGAL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,12,12
TRINIDAD,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,428,428
TUPIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,45,45
TURCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,18,18
UMALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
UNCIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,20,20
URIONDO (A. CONCEPCION),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,11,11
URUBICHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,4,4
UYUNI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,40,40
VACAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,44,44
VALLEGRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,23,23
VIACHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,17,17
VILLA MONTES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,250,250
VILLA SERRANO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,6,6
VILLA TUNARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1074,1074
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,19,19
VILLAZON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,28,28
VINTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,18,18
WARNES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,77,77
YACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,6,6
YACUIBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,120,120
YAMPARAEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,15,15
YANACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,41,41
YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,247,247
YOTALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,3,3
ZUDAÑEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-01-01,1,1
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,483,483
ACHOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,66,66
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,352,352
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,8,8
ANCORAIMES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,67,67
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,241,241
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,572,572
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,423,423
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,145,145
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,32,32
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,127,127
AUCAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,59,59
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,222,222
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,135,135
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,3,3
BAURES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,3,3
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,155,155
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,83,83
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,10,10
BOLPEBRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,2,2
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,46,46
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,16,16
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,5,5
CAJUATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,434,434
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,14,14
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,55,55
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,20,20
CAQUIAVIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,25,25
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,1245,1245
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,57,57
CARMEN RIVERO TORREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,208,208
CHAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,2,2
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,7,7
CHARAÑA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,12,12
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,40,40
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,214,214
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,431,431
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,23,23
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,185,185
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,66,66
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,3288,3288
"COLCHA ""K""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,1,1
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,469,469
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,34,34
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,5,5
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,428,428
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,28,28
COMBAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,3,3
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,15,15
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,15,15
COROICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,83,83
COTAGAITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,11,11
COTOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,62,62
CUATRO CAÑADAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,17,17
CUEVO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,3,3
CULPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,89,89
DESAGUADERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,4,4
EL ALTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,1447,1447
EL PUENTE(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,22,22
EL PUENTE(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,42,42
EL TORNO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,164,164
EL VILLAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,5,5
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,21,21
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,398,398
EXALTACION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,75,75
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,21,21
FILADELFIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,29,29
GENERAL SAAVEDRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,22,22
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,21,21
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,93,93
GUAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,17,17
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,382,382
GUTIERREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2005-02-01,16,16
