municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,14,14
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,8,8
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
TOCO,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,1,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,2,2
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,7,7
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,5,5
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-01-01,32,32
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
ARANI,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,5,5
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,25,25
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,45,45
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,4,4
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,33,33
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,8,8
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,4,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,44,44
OCURI,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,11,11
POCOATA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,9,9
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,7,7
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,4,4
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,161,161
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,3,3
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,21,21
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,4,4
TOCO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
UMALA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
URUBICHA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,26,26
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,2,2
VILLA RIVERO,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,22,22
ZUDAÑEZ,otras vacunaciones,antirrabica humana esquema completo,2005-02-01,1,1
AYATA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,3,3
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,10,10
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,27,27
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,6,6
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,38,38
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,59,59
LORETO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,5,5
OCURI,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,10,10
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
PELECHUCO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
PORCO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,5,5
PUNA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,348,348
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,23,23
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,8,8
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-03-01,5,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,210,210
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,4,4
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,21,21
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,5,5
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-03-01,4,4
TOCO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
TOMINA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
UMALA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2005-03-01,1,1
URUBICHA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,17,17
VILLA RIVERO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
VINTO,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-03-01,7,7
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,19,19
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,2,2
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,4,4
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,82,82
COLQUENCHA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,7,7
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,59,59
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,2,2
GUAYARAMERIN,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,8,8
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,53,53
MOJINETE,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,12,12
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,130,130
OCURI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,6,6
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,9,9
PAILON,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,4,4
PUERTO SILES,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,4,4
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,20,20
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,21,21
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,4,4
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,343,343
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,11,11
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,10,10
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,2,2
UMALA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,2,2
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,17,17
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,17,17
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2005-04-01,4,4
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,2,2
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,3,3
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica humana esquema completo,2005-05-01,5,5
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,58,58
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,59,59
EL VILLAR,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,79,79
LLALLAGUA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,4,4
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,19,19
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,2,2
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,14,14
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,14,14
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,4,4
SAN ANTONIO DE ESMORUCO,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,8,8
SAN JAVIER(STC),otras vacunaciones,antirrabica humana esquema completo,2005-05-01,12,12
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-05-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,271,271
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,29,29
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,8,8
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,4,4
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-05-01,4,4
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,11,11
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,3,3
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,4,4
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-05-01,5,5
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,29,29
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,48,48
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,78,78
MOJINETE,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,10,10
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,31,31
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
SAN PEDRO,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,315,315
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,584,584
TARATA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,5,5
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,37,37
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,2,2
TOMAVE,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
TOMINA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,23,23
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-06-01,19,19
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,4,4
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
CARACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
CHAQUI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,38,38
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,25,25
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,48,48
EL PUENTE(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-07-01,3,3
HUACARETA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,6,6
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,99,99
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
OCURI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,17,17
POCOATA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
PUERTO ACOSTA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,3,3
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,3,3
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,11,11
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,309,309
SICAYA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,6,6
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,35,35
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,5,5
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,9,9
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-07-01,2,2
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,5,5
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,15,15
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,6,6
ZUDAÑEZ,otras vacunaciones,antirrabica humana esquema completo,2005-07-01,1,1
ACACIO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1207,1207
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,4,4
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,6,6
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,60,60
EL PUENTE(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-08-01,4,4
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,8,8
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,2,2
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,128,128
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,32,32
PORCO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,5,5
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,5,5
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,16,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,489,489
SANTA ROSA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,44,44
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,3,3
TARATA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,7,7
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,2,2
URUBICHA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,36,36
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,2,2
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,12,12
YUNCHARA,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,18,18
ZUDAÑEZ,otras vacunaciones,antirrabica humana esquema completo,2005-08-01,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica humana esquema completo,2005-09-01,10,10
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,11,11
BOLIVAR,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,9,9
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,21,21
COLQUECHACA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,11,11
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,56,56
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,10,10
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,6,6
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,3,3
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,107,107
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,4,4
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,20,20
POCOATA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,4,4
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,11,11
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,4,4
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,5,5
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,383,383
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
SANTIVAÑES,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,7,7
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,4,4
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,12,12
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,12,12
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
TORO TORO,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,1,1
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,2,2
WARNES,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,6,6
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-09-01,19,19
ANTEQUERA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
ARQUE,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,27,27
CHARAGUA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,27,27
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,3,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,61,61
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,3,3
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
COLQUECHACA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,14,14
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,31,31
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,5,5
GUAYARAMERIN,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
JESUS DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,21,21
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,104,104
