,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-03-01,1,0,0,0,1,0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,1,0,0,0,1,0
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,1,0,1,0,2,0
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,2,1,0,0,2,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,3,3,0,0,3,3
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,1,1,0,0,1,1
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-04-01,1,0,0,0,1,0
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-05-01,1,0,0,0,1,0
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-05-01,0,0,1,0,1,0
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-05-01,0,1,0,0,0,1
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-05-01,1,0,0,1,1,1
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,1,0,1,0,2,0
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,0,0,2,1,2,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,1,2,0,0,1,2
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,1,1,0,0,1,1
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,86,1,0,0,86,1
SAN PEDRO DE BUENA VISTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,0,0,0,1,0,1
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,0,0,1,0,1,0
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-06-01,0,0,1,0,1,0
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,0,1,0,0,0,1
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,1,2,0,1,1,3
COLQUECHACA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,2,4,0,0,2,4
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,0,0,1,0,1,0
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,1,7,0,0,1,7
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,0,1,0,0,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-07-01,0,1,0,0,0,1
ANZALDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,0,0,1,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,2,0,0,0,2,0
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,20,16,0,1,20,17
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,0,0,0,1,0,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,0,0,1,0,1,0
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,1,3,0,0,1,3
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,1,2,0,0,1,2
SICAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,1,0,0,0,1,0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-08-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,1,0,0,0,1,0
ICLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,0,0,1,0,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,1,0,0,0,1
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,0,1,0,1,0
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,2,0,0,0,2
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,2,0,0,0,2
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,1,0,0,0,1,0
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,1,0,0,0,1,0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,1,0,0,0,1,0
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-09-01,0,1,0,0,0,1
ARAMPAMPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,1,0,0,0,1,0
ICLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,1,1,0,0,1,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,0,0,0,1,0,1
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,6,6,0,0,6,6
SAN BENITO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,0,0,2,0,2,0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,3,1,0,0,3,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,1,3,0,0,1,3
SICAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,4,9,3,4,7,13
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,0,0,1,0,1,0
TOMINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-10-01,2,0,0,0,2,0
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,0,1,0,0,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,1,4,0,0,1,4
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,1,1,0,0,1,1
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,0,1,0,0,0,1
QUIRUSILLAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,0,2,0,0,0,2
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-11-01,0,2,0,0,0,2
ICLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,0,1,1,1,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,4,3,0,0,4,3
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,1,2,0,0,1,2
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,1,2,1,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,1,1,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,3,4,0,0,3,4
TOMINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,0,1,0,1,0
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2021-12-01,0,0,1,0,1,0
