,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
SAN PEDRO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-04-01,0.0,1.0,0.0,0.0,0.0,1.0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-04-01,0.0,1.0,0.0,0.0,0.0,1.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-04-01,1.0,2.0,0.0,0.0,1.0,2.0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,0.0,1.0,0.0,0.0,0.0,1.0
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,0.0,1.0,0.0,0.0,0.0,1.0
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,0.0,1.0,0.0,0.0,0.0,1.0
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,1.0,0.0,0.0,0.0,1.0,0.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-05-01,0.0,1.0,1.0,0.0,1.0,1.0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-06-01,0.0,1.0,1.0,0.0,1.0,1.0
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-06-01,0.0,2.0,0.0,0.0,0.0,2.0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-06-01,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-06-01,0.0,0.0,1.0,0.0,1.0,0.0
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,0.0,0.0,1.0,0.0,1.0
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,0.0,0.0,1.0,0.0,1.0
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,1.0,0.0,0.0,0.0,1.0,0.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-07-01,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,2.0,1.0,0.0,0.0,2.0,1.0
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,1.0,0.0,0.0,0.0,1.0,0.0
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,0.0,0.0,1.0,0.0,1.0,0.0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,0.0,0.0,1.0,0.0,1.0,0.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-08-01,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-09-01,7.0,0.0,0.0,0.0,7.0,0.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-09-01,0.0,0.0,0.0,1.0,0.0,1.0
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-10-01,0.0,1.0,0.0,0.0,0.0,1.0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-10-01,1.0,0.0,0.0,0.0,1.0,0.0
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-11-01,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2021-12-01,1.0,0.0,0.0,0.0,1.0,0.0
