municipality,group,variable,month,2.2 Pacientes derivados de la comunidad o medicina tradicional,TOTAL
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,2,2
COMARAPA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,17,17
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
EL VILLAR,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
HUACARETA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,34,34
INQUISIVI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
LA PAZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,2,2
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
PUERTO VILLARROEL,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,4,4
SABAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,4,4
SACABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,3,3
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,10,10
SAN JAVIER(BNI),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,11,11
SAN LORENZO(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,7,7
SAN LUCAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
SAN MATIAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,2,2
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,6,6
TINGUIPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
URUBICHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-02-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,19,19
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,2,2
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,5,5
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,4,4
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
EL VILLAR,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,30,30
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,25,25
MAGDALENA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
MINEROS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,5,5
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,5,5
PADCAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,24,24
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,2,2
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,12,12
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,24,24
SAN LORENZO(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,4,4
SAN MATIAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,6,6
TARIJA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,53,53
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,1,1
URIONDO (A. CONCEPCION),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-03-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,2,2
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,10,10
CAMIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,2,2
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
COLQUIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,2,2
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,3,3
CUEVO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,2,2
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
EL VILLAR,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,12,12
LA PAZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,10,10
LAS CARRERAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,10,10
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
PADCAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,9,9
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,8,8
POJO (CBBA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
SACABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,13,13
SAN BUENA VENTURA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,31,31
SAN LORENZO(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,6,6
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,14,14
TINGUIPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,3,3
TOMINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,2,2
TRINIDAD,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,3,3
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,4,4
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-04-01,55,55
ALCALA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,9,9
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,3,3
COLQUIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,3,3
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
GUTIERREZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,27,27
HUARACAJE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,7,7
LA ASUNTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,13,13
MAPIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
PADCAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,17,17
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,15,15
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
PRESTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,5,5
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,16,16
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
SAN JUAN DE YAPACANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,38,38
SAN LUCAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,6,6
SANTIVAÑES,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,3,3
TACOPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
TINGUIPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,6,6
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,5,5
VITICHI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,4,4
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,1,1
YOTALA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-05-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
BOYUIBE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
BUENA VISTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
CAMIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,3,3
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,4,4
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
CULPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
EL PUENTE(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,20,20
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,24,24
MONTEAGUDO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
PAMPA GRANDE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,5,5
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,5,5
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,3,3
PRESTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,3,3
PUERTO VILLARROEL,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,11,11
SAN IGNACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,35,35
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
SUCRE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,2,2
TACACHI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
TARIJA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
TINGUIPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,9,9
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,5,5
URUBICHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,4,4
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-06-01,1,1
ACACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
ALALAY,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,3,3
BOYUIBE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
CAMIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
COLQUECHACA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
COLQUIRI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,3,3
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,4,4
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
EL PUENTE(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,3,3
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,50,50
LA PAZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,4,4
PAMPA GRANDE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,22,22
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
QUILLACOLLO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,2,2
RURRENABAQUE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
SACABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,12,12
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,45,45
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,9,9
TARIJA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
TIAWANACU,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,4,4
TINGUIPAYA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,12,12
TOMAVE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
URUBICHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-07-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,14,14
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
CHUA COCANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
CKOCHAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
COPACABANA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,3,3
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,14,14
LA PAZ,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,15,15
MINEROS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,7,7
PRESTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,9,9
SAN CARLOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
SAN IGNACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,28,28
SAN LORENZO(TJA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
SAN LUCAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,13,13
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,5,5
TAPACARI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,1,1
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,6,6
VITICHI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-08-01,34,34
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,8,8
"CAIZA ""D""",referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
CHIMORE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
CHUA COCANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
CKOCHAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,3,3
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
CONCEPCION,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
COTAGAITA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,4,4
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,3,3
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,12,12
LLALLAGUA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,3,3
PAMPA GRANDE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,5,5
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,10,10
POROMA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
POTOSI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
PUNA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
QUILLACOLLO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,3,3
SACACA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,8,8
SAN IGNACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,28,28
