municipality,group,variable,month,2.4 PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
SAN CARLOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,7,7
SAN LORENZO(TJA),referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
SAN LUCAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,4,4
SANTA ANA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,7,7
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,2,2
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,29156,29156
TARVITA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
TOMINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,7,7
TUPIZA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,1,1
