municipality,group,variable,month,2.3 Pacientes retornados al establecimiento de origen,TOTAL
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,6,6
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,31,31
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,4,4
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SAN PEDRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
SAN PEDRO DE BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,36,36
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,3,3
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,221,221
TACACOMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,94,94
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,18,18
TOMAVE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,6,6
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,28,28
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,49,49
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,37,37
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,5,5
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
YAPACANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,2,2
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-01-01,1,1
ACACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
ACHACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
ANZALDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
ARAMPAMPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,10,10
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,20,20
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
BOLPEBRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
CARANAVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,5,5
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
CLIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,158,158
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COLOMI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,15,15
COLQUECHACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COPACABANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,9,9
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,4,4
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,19,19
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
ENTRE RIOS TRJ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
ENTRE RIOS CBBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
EUCALIPTUS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
HUATAJATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
INCAHUASI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,251,251
LAJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,10,10
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,5,5
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
MECAPACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,5,5
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,332,332
MORO MORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
OCURI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,107,107
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,36,36
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
POCOATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
POJO (CBBA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
PORONGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,5,5
PORVENIR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,11,11
PUERTO CARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
PUNA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,10,10
QUIME,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,7,7
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,25,25
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,9,9
SABAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
SACABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,4,4
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,23,23
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,5,5
SAN LORENZO(PND),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
SAN RAFAEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,65,65
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
SANTIAGO DE HUATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SENA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,15,15
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,215,215
TACACOMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,31,31
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,7,7
TOLEDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,3,3
TOTORA(ORR),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,44,44
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,55,55
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,15,15
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,7,7
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,19,19
YOCALLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,2,2
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-02-01,4,4
ACHOCALLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
ANDAMARCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
ARANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
AYO AYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
BELEN DE ANDAMARCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,17,17
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,7,7
BOLIVAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
BOLPEBRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
BOYUIBE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
CAIROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
"CAIZA ""D""",referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,8,8
CAPINOTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
CAQUIAVIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
CARIPUYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,6,6
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,92,92
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
COLOMI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,29,29
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,10,10
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,16,16
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
ENTRE RIOS CBBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
FILADELFIA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
HUACHACALLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
LA ASUNTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,503,503
LAJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
LLALLAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
MACHACAMARCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,7,7
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
MECAPACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
MOJINETE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
MOJOCOYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,382,382
MORO MORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,224,224
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,39,39
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,9,9
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,9,9
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
PUNA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
QUILLACOLLO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
QUIME,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,15,15
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,14,14
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,14,14
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,15,15
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,14,14
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
SAN PABLO DE LIPEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SAN PEDRO DE BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,75,75
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,12,12
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,229,229
TACACOMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,9,9
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,43,43
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,5,5
TIRAQUE (CBBA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,3,3
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,25,25
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,73,73
UNCIA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,12,12
