municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,534,534
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,55,55
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,66,66
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,29,29
PAMPA AULLAGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
PAMPA GRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,37,37
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,32,32
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
POOPO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
PORTACHUELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,30,30
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,219,219
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
PUCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,31,31
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
PUERTO PEREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,23,23
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
PUERTO SILES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,38,38
PUNA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,28,28
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,30,30
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,100,100
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
QUIRUSILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,16,16
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,200,200
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,50,50
RURRENABAQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
SABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,118,118
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
SAMAIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,13,13
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,14,14
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,52,52
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,31,31
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,46,46
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
SAN JAVIER(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,22,22
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,29,29
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,50,50
SAN LORENZO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,86,86
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,17,17
SAN MATIAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,27,27
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,31,31
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,23,23
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
SAN PEDRO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,14,14
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8034,8034
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
SANTA ROSA DEL SARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,65,65
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,4,4
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,18,18
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,27,27
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
SORACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2404,2404
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,22,22
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,20,20
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,685,685
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,29,29
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,17,17
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,42,42
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,8,8
TOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,19,19
TOLEDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TOMAVE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,5,5
TOMINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,13,13
TORO TORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TOTORA(CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
TOTORA(ORR),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,11,11
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,397,397
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,104,104
TURCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,3,3
UMALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,1,1
UNCIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,80,80
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,53,53
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,23,23
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,13,13
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,12,12
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,80,80
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,158,158
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,53,53
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,15,15
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,14,14
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,71,71
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,2,2
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,210,210
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,32,32
VITICHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,6,6
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,128,128
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,165,165
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,29,29
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,108,108
YOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,10,10
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,24,24
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,9,9
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-01-01,7,7
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,19,19
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,33,33
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,28,28
ALALAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
ALTO BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
ARAMPAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,17,17
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,131,131
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
BELEN DE ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,100,100
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,36,36
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,17,17
