,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,1,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,11,7,18
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,3,5
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,3,3
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,69,20,89
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,2,5
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,3,5
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,3,2,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,4,3,7
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,2,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,80,58,138
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,1,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,2,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,8,7,15
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,4,2,6
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,0,2
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,4,2,6
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,5,2,7
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,2,3,5
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,5,4,9
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,5,4,9
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,1,4,5
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-01-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,2,5
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,2,5
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,29,15,44
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,0,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,4,7
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,28,15,43
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,5,1,6
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,3,4
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,1,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,7,4,11
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,40,21,61
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,2,3
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,8,5,13
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,0,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,8,3,11
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,3,3
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,6,5,11
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,59,14,73
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,7,1,8
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,5,3,8
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,2,4
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,3,6
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,0,3
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,5,3,8
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,3,0,3
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,2,3
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,77,50,127
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,1,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,11,2,13
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,4,4,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,0,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,3,5
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,4,3,7
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,1,3
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,3,3
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,4,2,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,6,1,7
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,6,3,9
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-02-01,0,2,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,0,3
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,0,3
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,10,4,14
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,0,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,28,18,46
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,6,0,6
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,4,5
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,3,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,0,2
DESAGUADERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,26,14,40
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,1,4
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,0,3
HUATAJATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,4,3,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,5,0,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,64,29,93
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,10,8,18
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,6,4,10
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,1,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,84,30,114
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,5,3,8
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,5,3,8
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,4,1,5
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,4,4,8
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,3,0,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,3,4
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2016-03-01,1,0,1
