,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CHIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
CHOQUE COTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
CHUA COCANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,10,19
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,1,5
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,2,7
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,37,16,53
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,100,77,177
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,14,11,25
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
COLQUECHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,4,12
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,4,9
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,5,9
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,4,13
CORO CORO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,11,18,29
CORQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,1,8
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,30,27,57
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,12,19
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,6,11
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
CURVA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,166,167,333
EL PUENTE(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,4,5
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,18,24,42
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,4,5
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,7,13
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,21,17,38
ESCOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
EUCALIPTUS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
FILADELFIA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,6,10
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,3,3
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,6,15
GUAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,13,7,20
GUTIERREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,2,11
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
HUACHACALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,29,7,36
HUATAJATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
HUAYLLAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
HUMANATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,2,6
INGAVI (HUMAITA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,1,5
IXIAMAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,15,14,29
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,30,41,71
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,298,254,552
LAGUNILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
LAS CARRERAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,19,10,29
LURIBAY,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,1,6
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
MAGDALENA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,5,12
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,7,16
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,9,15
MOCOMOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
MOJOCOYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,20,16,36
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,71,61,132
MORO MORO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
OKINAWA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
OMEREQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,108,90,198
PADCAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,2,5
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,13,21
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,14,4,18
PAMPA AULLAGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
PASORAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
PAZÑA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,3,3
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
POCONA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
POJO (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
POOPO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,2,5
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,4,6
POSTRER VALLE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,144,35,179
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
PUCARA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,9,0,9
PUERTO RICO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
PUERTO VILLARROEL,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,37,44,81
PUNA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,0,3
PUNATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,13,12,25
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,36,44,80
QUIME,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,0,6
RAVELO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,2,4
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,33,37,70
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,11,2,13
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,3,3
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,23,35,58
SACABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,3,7
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
SAN ANDRES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SAN BENITO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,10,18
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,13,8,21
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,5,9
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,14,12,26
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,2,7
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,0,5
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,25,21,46
SAN LORENZO(PND),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,2,5
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,9,17
SAN MATIAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,11,13
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,1,6
SAN PEDRO DE TIQUINA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,10,5,15
SANTA ANA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,547,492,1039
SANTA ROSA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,2,2
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,8,11
SANTIAGO DE HUARI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
SANTIAGO DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,17,11,28
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,0,2
SICAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,12,13,25
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
SORACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,0,3
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,8,16
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,99,116,215
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
TACOBAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,3,3
TACOPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,7,14
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,6,13
TARATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,54,49,103
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,14,1,15
TIAWANACU,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
TINGUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,8,15
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,18,5,23
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,11,10,21
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
TOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,3,6
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,4,7
TOTORA(ORR),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,3,4
TRIGAL,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,43,19,62
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,5,3,8
TURCO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,1,3
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,6,0,6
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,4,7
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,7,1,8
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,10,14
VACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,2,3
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,8,9,17
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,16,10,26
VILA VILA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,8,11
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,13,12,25
VILLA RIVERO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,1,4
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,3,4
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,32,16,48
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,11,10,21
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,10,6,16
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,0,1
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,38,38,76
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,77,57,134
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,4,4,8
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,1,2
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,49,43,92
YOTALA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,1,4,5
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,3,6,9
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2016-01-01,2,3,5
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,5,6
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,1,4
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,2,0,2
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,9,5,14
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,1,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,6,3,9
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,0,1
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,5,8,13
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,1,2
ARAMPAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,0,1,1
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,0,3,3
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,5,8
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,7,10
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,11,3,14
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,1,4
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,14,9,23
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,3,6
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,2,0,2
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,0,1,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,19,13,32
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,4,7
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,0,1,1
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,1,4
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,14,2,16
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,7,10
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,3,0,3
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,0,2,2
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,5,3,8
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2016-02-01,1,3,4
