,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,1,2
TIAWANACU,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,2,2
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,3,5
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,3,0,3
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,1,2,3
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-01-01,2,1,3
ALTO BENI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,0,3
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,3,4
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,2,3
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,5,5,10
CORIPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,1,3
CULPINA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,3,3
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,3,5
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,1,4
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,0,2
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,1,4
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,3,6
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
MIZQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,2,2
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,8,3,11
OKINAWA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,2,5
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,2,2
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,0,2
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,3,5
SAN MATIAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,2,2
SAN PEDRO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,20,23,43
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,2,0,2
TAPACARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,3,1,4
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-02-01,1,1,2
BUENA VISTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,0,2
CARAPARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,0,2
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
CLIZA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,3,4
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,10,4,14
COMARAPA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,0,2
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,3,3
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,3,4,7
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
DESAGUADERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,3,4,7
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,7,1,8
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,4,6
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,2,2
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
MIZQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,3,2,5
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
PAILON,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
PORONGO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,3,3,6
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
ROBORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
SAIPINA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,3,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,25,15,40
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
SORATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,2,0,2
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,6,1,7
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
UYUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,4,0,4
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,3,4
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-03-01,1,1,2
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,1,2
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,0,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,8,7,15
CARAPARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,0,2
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,1,2
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
CLIZA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,3,2,5
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,5,6,11
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,1,2
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
HUANUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,3,1,4
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,4,6
LLALLAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
MAPIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,5,1,6
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,3,0,3
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,4,2,6
PUNATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,0,2
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
SAN BENITO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,22,34,56
SORATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,2,4
TARABUCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,2,2
UNCIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,4,0,4
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,2,3,5
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-04-01,4,3,7
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
ANCORAIMES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
CAMIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,0,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,3,0,3
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,3,5,8
CORIPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,0,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,4,6,10
EL PUENTE(STC),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,3,3
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,3,3
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,5,3,8
MIZQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,0,2
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,3,5
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
PORONGO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
PRESTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,4,4
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,1,3
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,4,6
SAN IGNACIO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,21,20,41
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
TACOBAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
TARABUCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,0,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,1,2,3
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,0,2,2
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-05-01,5,5,10
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,3,1,4
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,1,0,1
BOYUIBE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,0,1,1
CAJUATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,0,2,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,3,1,4
CARAPARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,2,0,2
CHALLAPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,0,2,2
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,3,4,7
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,0,1,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,1,0,1
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,5,2,7
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,2,1,3
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2016-06-01,5,1,6
