,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,1,0,1
SORATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-10-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,1,1,2
YAPACANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-11-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-12-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2016-12-01,2,0,2
