,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
SAN BENITO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,1,4
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,64,31,95
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,2,3
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,8,7,15
TARABUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,5,0,5
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,1,3
TOLATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,3,1,4
UYUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,3,5
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,1,2,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,1,3
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,6,5,11
YAMPARAEZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,2,4,6
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,2,4
CARACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,4,3,7
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,1,4
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,18,14,32
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
COLOMI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,4,7
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,2,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,19,14,33
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,5,1,6
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,3,5
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
ICLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,9,6,15
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,18,11,29
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,0,3
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,2,3
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,10,4,14
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,7,2,9
PALCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,5,4,9
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,2,3
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,7,1,8
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,5,2,7
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,4,7
RURRENABAQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,2,5
SAIPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,2,3
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,2,5
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,1,4
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,64,48,112
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,1,2
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,0,3
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,11,2,13
TACACOMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
TAPACARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,4,0,4
TARABUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,3,6
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,2,4
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,1,3
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,2,2
VILLAZON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,2,3
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,3,1,4
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,2,1,3
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,6,2,8
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-02-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,0,3
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
CARACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,12,5,17
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
CLIZA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,4,1,5
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,18,13,31
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,6,0,6
COLPA BELGICA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
COLQUIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,2,3
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,5,6
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,0,3
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,15,11,26
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
HUAYLLAMARCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,5,2,7
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,6,0,6
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,16,11,27
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,0,3
MOJOCOYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,9,6,15
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,7,4,11
PAILON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
PORTACHUELO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,7,5,12
PUCARANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,7,4,11
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,4,7,11
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,1,4
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,4,4,8
SAIPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,2,5
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,93,49,142
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,1,3
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,10,2,12
TACACOMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
TAPACARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
TARABUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,4,9,13
TARVITA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,2,0,2
TOCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,1,1
TOLATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,3,3
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,0,2,2
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,1,0,1
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,3,0,3
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,13,3,16
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-03-01,4,1,5
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,2,0,2
APOLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
ARQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,2,2,4
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,2,5
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,5,8,13
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,3,6
CHUMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,0,1,1
CLIZA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,27,7,34
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,0,3
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,0,2,2
COPACABANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,2,3,5
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,4,3,7
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,27,10,37
EL PUENTE(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,0,1,1
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,5,1,6
FERNANDEZ ALONSO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,1,4
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,4,2,6
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,21,5,26
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,0,3
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,4,0,4
MOJOCOYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,0,1,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,9,9,18
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,6,4,10
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,3,1,4
PORONGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2016-04-01,1,0,1
