,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,3,3
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,2,2
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,72,35,107
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
SENA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,1,2
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,4,2,6
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,3,2,5
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,3,1,4
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,0,2
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,4,1,5
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,2,2,4
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,3,4,7
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,1,2,3
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-01-01,0,1,1
ACHOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,3,3,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,3,3,6
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
COPACABANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
CURVA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,6,7,13
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,4,3,7
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,8,3,11
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,3,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,4,6,10
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,7,3,10
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
POJO (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,4,5
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,5,0,5
SAMAIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,2,2
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,49,39,88
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,1,3
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,4,4,8
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,3,0,3
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,0,2,2
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,1,0,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-02-01,4,3,7
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,2,4
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,0,2
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,2,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,3,5
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,5,2,7
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
COMANCHE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,0,2
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,11,6,17
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,3,2,5
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,0,2
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,4,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,8,2,10
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,7,2,9
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,3,5
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
PORVENIR,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,3,0,3
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,4,1,5
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,2,3
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,1,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,3,2,5
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,2,4
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,0,2
SAN LORENZO(PND),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,3,5
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,70,43,113
SAPAHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
SICAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,7,0,7
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,2,3
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,3,1,4
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,2,3
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,2,3
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,4,3,7
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,2,2,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,1,6,7
ZUDAÑEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-03-01,0,1,1
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,6,3,9
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
CHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,2,2
CLIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,4,6,10
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,1,3
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,5,6,11
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,1,3
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,5,4,9
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,0,3
MAIRANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,5,2,7
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,1,4
PAMPA GRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
POCONA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,1,4
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,7,1,8
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,0,3
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,2,5
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,2,5
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,4,2,6
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,3,5
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,62,42,104
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
SANTIAGO DE HUARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SICAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,8,4,12
TAPACARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,0,2
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,2,4
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,4,7
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
UYUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,3,5,8
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,2,2,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,8,1,9
ZUDAÑEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-04-01,0,1,1
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,1,2
APOLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,0,1
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,2,0,2
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,0,1,1
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2016-05-01,1,0,1
