,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,13,8,21
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-02-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,4,1,5
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,5,0,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,3,2,5
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,5,1,6
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,1,2
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,17,8,25
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,3,6,9
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,2,1,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,7,6,13
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-04-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,2,0,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,1,2
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,4,0,4
MACHACAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,13,7,20
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-05-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,2,0,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,3,0,3
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,4,0,4
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,2,0,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,9,5,14
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-06-01,2,0,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,2,2
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
CARIPUYO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,3,1,4
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,2,0,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,2,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,13,9,22
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-07-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,0,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,4,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,2,4
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,1,3
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,12,4,16
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,2,0,2
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,1,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-08-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,2,0,2
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,1,2
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,3,1,4
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,2,1,3
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
HUATAJATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,5,4,9
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,3,1,4
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,15,4,19
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-09-01,2,0,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,1,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,0,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,1,3
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,13,3,16
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,3,0,3
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-10-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,3,0,3
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,2,4
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,1,2
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,9,5,14
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-11-01,2,0,2
