,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
LLALLAGUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
MINEROS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,0,1,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,1,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,2,0,2
SANTA ANA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,3,1,4
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,4,1,5
TUPIZA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-04-01,0,1,1
CARIPUYO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,11,1,12
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,3,0,3
PAZÑA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,4,0,4
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,1,2
GUANAY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,2,3,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,4,2,6
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,0,1
TARABUCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-06-01,0,1,1
CARIPUYO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-07-01,5,1,6
CAPINOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,5,5,10
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
EL PUENTE(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,9,1,10
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-08-01,54,10,64
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,8,4,12
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,1,2
MOROCHATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,0,1,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,1,2
PUNATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,5,1,6
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,0,1,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,0,1,1
UYUNI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-09-01,1,0,1
BERMEJO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,3,1,4
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,4,0,4
HUANUNI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,0,1,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,4,1,5
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,2,1,3
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,0,2,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,2,1,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,2,0,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,1,1,2
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,6,0,6
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,0,1,1
TACOBAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,6,0,6
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,4,2,6
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,4,1,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,2,0,2
PORCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,0,1,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2016-12-01,1,0,1
