,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,8,8,16
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-05-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,0,1,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,2,3
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-06-01,1,1,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,2,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,2,2,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-07-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,2,0,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,4,4,8
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-09-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-10-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-10-01,0,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-10-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-11-01,2,0,2
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,0,0,0
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,0,2,2
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2016-12-01,0,1,1
