,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,23,12,1,2,38
SENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,0,1,2,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,2,0,0,2
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,1,0,1,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,2,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,3,5,3,1,12
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,4,4,1,6,15
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,2,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,3,1,4
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,2,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,1,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,2,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,2
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,2,1,0,2,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,2,2,3,8
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,15,6,0,1,22
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,1,0,5,7
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,2,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,0,2,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,3,2,5
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,2,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,1,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,5,9,3,2,19
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,2,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,5,0,1,7
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,4,2,1,0,7
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,14,7,21
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,3,3,6
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,1,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,1,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,2,1,2,6
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,2,3,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,4,10,1,0,15
SENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,3,0,0,0,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,1,2,0,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-03-01,2,0,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,2,0,0,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,1,0,0,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,1,1,1,4
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,3,1,4
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,8,5,5,5,23
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,2,2,0,0,4
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,6,2,0,0,8
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,2,2,5
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,4,7,11
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,1,1,2
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,3,0,3,0,6
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,2,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,1,3,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,2,0,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,6,4,0,0,10
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,0,1,4,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,2,4,0,0,6
TARIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,2,0,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,1,2,0,0,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,2,3,0,0,5
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,2,1,3
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,4,1,3,9
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,7,12,4,7,30
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,1,3,5
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,3,2,5
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,1,1,3
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,2,0,0,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,3,2,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,2,2,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,3,0,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,2,0,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,5,11,0,0,16
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,2,1,0,0,3
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,0,1,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,0,1,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,1,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-05-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-06-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-06-01,2,2,0,0,4
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-06-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2017-06-01,0,0,0,1,1
