,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,11,4,4,21
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,3,1,2,8
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,5,1,1,11
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,4,3,9
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,1,3
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,2,0,0,6
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,4,3,10
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,4,0,1,7
CHUMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,1,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,3,2,5
CLIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,1,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,7,2,2,14
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,148,136,17,7,308
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,0,1,2,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,2,2,0,6
COLOMI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,5,0,0,7
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,1,2,5
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,0,2
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,2,0,2,8
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,6,6,1,1,14
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,4,2,8
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,5,5,0,0,10
COROICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,2,0,2,6
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,2,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,15,17,0,1,33
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,2,2,0,8
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,0,3
CUEVO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,2,3,6
CULPINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,1,4
CURVA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,1,0,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,187,183,33,27,430
EL CHORO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,2,0,0,2
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,2,0,0,4
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,7,7,4,5,23
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,5,1,0,9
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,2,1,2,5
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,6,0,0,10
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,14,7,5,1,27
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,0,3
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,2,0,1,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,1,0,4
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,1,0,2
HUARINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,0,2
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,2,4
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,1,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,1,0,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,1,1,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,26,19,1,3,49
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,160,155,5,5,325
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,5,3,1,1,10
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,9,8,11,5,33
LORETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,4,6
LURIBAY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,0,2
MACHARETI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,1,3
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,0,0,0,3
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,0,0,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,0,2,1,6
MECAPACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,0,2,5
MINEROS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,4,0,0,5
MIZQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,1,5,9
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,2,0,0,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,18,23,3,1,45
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,1,0,3
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,2,3
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,34,53,9,3,99
PADCAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,3,2,2,9
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,8,10,0,1,19
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,2,1,6
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,1,1,4
PASORAPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,1,0,2
POCOATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,5,3,8
POCONA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,0,2
POOPO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,4,0,1,6
POROMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,2,4
PORONGO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,2,1,1,6
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,8,5,0,0,13
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,2,4,2,8
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,0,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,41,34,19,10,104
PRESTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,2,3,8
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,2,0,4
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,3,0,0,4
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,5,0,1,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,10,3,6,23
PUNA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,1,3
PUNATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,7,7,3,3,20
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,16,14,6,15,51
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,0,2
RAVELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,1,0,3
REYES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,4,0,0,6
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,7,1,0,10
ROBORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,1,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,6,0,0,10
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,32,25,5,7,69
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,1,3,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,3,4,8
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,6,1,0,0,7
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,0,2,4,6
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,1,1,4
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,0,2,1,6
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,5,5,0,2,12
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,0,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,4,5,0,0,9
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,6,2,0,0,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,3,5,2,8,18
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,8,4,10,8,30
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,2,4
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,8,7,6,5,26
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,2,2,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,0,3
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,1,0,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,5,0,0,7
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,1,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,1,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,2,0,0,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,3,3,3,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,340,351,4,3,698
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,2,0,0,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,1,0,1,3
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,0,1,0,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-01-01,1,0,0,0,1
