,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,1,4,6,12
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,2,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,4,0,3,10
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,50,50,1,0,101
LORETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,2,2,4
MECAPACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,3,0,0,3
MINEROS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,1,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,13,2,1,23
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,20,20,0,4,44
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,9,1,2,19
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,2,0,0,2
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,1,0,0,2
POCONA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,6,0,0,7
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,13,5,6,2,26
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,2,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,1,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,4,0,1,7
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,4,5,15,26
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,4,0,1,9
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,7,1,0,15
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,6,0,0,13
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,6,7,2,16
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,4,6,7,24
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,7,3,10
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,4,3,1,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,153,156,8,6,323
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,0,1,0,3
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
SENA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,4,4,9
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,1,0,0,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,8,0,0,10
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,19,15,1,2,37
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,0,0,0,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,8,4,0,3,15
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,2,0,0,5
TURCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,1,0,0,4
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,4,1,1,9
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,3,0,3,7
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,0,2,1,7
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,0,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,0,0,3,6
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,0,0,2,4
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,6,0,0,8
YANACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,1,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,3,0,1,8
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,5,2,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,1,0,2
BAURES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,4,0,1,0,5
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,2,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,4,7,13
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,4,0,1,8
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,1,0,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,6,6,1,0,13
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,2,1,5
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,3,2,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,4,2,0,9
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,77,63,2,5,147
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,0,0,0,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,2,3
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,1,2,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,6,3,1,0,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,55,54,17,20,146
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,1,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,4,0,0,5
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,6,6,12
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,4,0,0,5
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,2,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,0,1,3
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,8,4,1,1,14
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,63,55,2,3,123
LAJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,11,10,21
LORETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,8,6,6,0,20
OCURI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,8,7,15
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,0,0,2
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,17,14,6,1,38
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,8,10,0,0,18
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,2,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,4,2,3,0,9
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,1,0,2
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
POCONA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,1,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,17,4,5,6,32
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,3,7,1,12
PUNA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,1,4,7,15
QUIME,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,1,2
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,12,11,22,19,64
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,2,3,6
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,14,5,0,0,19
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,0,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,2,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,1,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,10,7,3,4,24
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,3,8,9,22
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,2,0,0,4
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,8,0,3,0,11
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,1,0,0,4
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,1,1,2,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,190,156,12,20,378
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,2,0,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,0,0,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,4,0,0,4
SORACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,1,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,5,4,0,0,9
TAPACARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,2,2,4
TARABUCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,3,4,3,0,10
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,8,20,28
TIPUANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,1,0,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
TOLEDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,2,1,1,6
TORO TORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,3,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,6,7,0,9,22
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,2,1,3,7
UNCIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,0,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,1,1,1,0,3
VACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,1,2
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,0,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-02-01,2,3,1,2,8
