,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,0,0,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,2,0,3,6
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,65,48,2,2,117
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,6,7,0,0,13
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,1,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,20,18,3,2,43
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,23,39,1,1,64
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,0,0,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,5,2,3,7,17
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,2,0,0,2
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,1,0,0,2
PORONGO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,8,3,0,0,11
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,10,3,4,1,18
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,5,5,7,2,19
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,3,0,1,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,3,4,14,23
REYES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,6,0,1,8
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,21,19,4,1,45
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,6,3,0,0,9
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,6,8,0,0,14
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,3,0,1,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,6,7,2,16
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,25,21,11,10,67
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,5,0,0,8
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,2,0,0,3
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,5,3,1,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,131,150,5,5,291
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,0,0,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,2,0,0,2
SENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,2,3,6
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,1,0,0,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,5,0,0,7
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,16,8,3,1,28
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,4,5
TIPUANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,1,1,1,5
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,4,0,0,0,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,14,11,1,3,29
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,4,3,0,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,1,0,0,2
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,2,0,0,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,2,0,3,7
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,2,0,0,4
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,4,0,2,1,7
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,0,0,1,4
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,5,1,0,2,8
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,4,0,0,5
YANACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,12,10,1,3,26
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,23,16,0,0,39
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,1,1,3
BAURES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,6,1,0,0,7
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,2,0,0,3
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,2,0,0,4
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,2,2,4
CALACOTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,5,3,0,1,9
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,1,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,4,4,1,0,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,3,2,7
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,3,2,6
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,3,3,2,0,8
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,2,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,58,55,3,4,120
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,0,0,0,2
COLLANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,2,3
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,3,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,6,3,1,0,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,49,41,15,20,125
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,3,0,1,0,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,4,0,0,6
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,4,2,0,1,7
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,2,0,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,0,1,0,3
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,1,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,9,3,1,0,13
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,37,28,0,2,67
LAJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,9,9,1,1,20
OCURI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,4,5,9
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,11,14,1,0,26
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,0,0,2
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,8,8,2,1,19
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,3,3,3,0,9
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,1,1,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,1,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,2,3,4,11
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,3,5,1,10
PUNA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,3,2,3,4,12
QUIME,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,1,2
REYES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,5,1,2,1,9
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,5,3,3,1,12
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,11,8,0,0,19
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,1,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,4,4,1,0,9
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,3,0,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,3,8,9,22
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,10,5,3,3,21
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,4,0,6,4,14
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,2,0,0,4
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,2,1,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,0,0,0,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,1,1,2,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,151,134,5,12,302
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,0,0,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,0,1,3
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,2,0,1,4
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,0,0,2
TARABUCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,5,2,0,0,7
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,4,4,9
TIPUANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,1,0,2
TOLEDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,10,14,0,8,32
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,1,0,1,4
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,0,0,1,2
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,1,1,2,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,1,2,0,5
VACAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,1,2
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,2,0,1,5
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,1,0,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,2,0,0,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,1,2,2,1,6
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,4,7,0,2,13
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,2,0,1,5
YANACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,2,0,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-02-01,9,7,4,9,29
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,2,0,0,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,1,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,5,2,0,0,7
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,0,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,6,2,0,0,8
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,1,2,1,5
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,1,1,1,5
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,29,16,0,3,48
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,1,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
