,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COMARAPA,estado nutricional,l talla normal,2012-01-01,197,146,78,101,52,54,327,301,628
COMBAYA,estado nutricional,l talla normal,2012-01-01,16,29,16,11,24,28,56,68,124
CONCEPCION,estado nutricional,l talla normal,2012-01-01,132,163,85,85,56,64,273,312,585
COPACABANA,estado nutricional,l talla normal,2012-01-01,80,80,59,69,66,78,205,227,432
CORIPATA,estado nutricional,l talla normal,2012-01-01,161,126,84,105,110,104,355,335,690
CORO CORO,estado nutricional,l talla normal,2012-01-01,45,63,41,38,27,29,113,130,243
COROICO,estado nutricional,l talla normal,2012-01-01,105,80,67,70,71,80,243,230,473
CORQUE,estado nutricional,l talla normal,2012-01-01,56,42,36,40,23,29,115,111,226
COTAGAITA,estado nutricional,l talla normal,2012-01-01,129,117,107,107,118,139,354,363,717
COTOCA,estado nutricional,l talla normal,2012-01-01,386,375,182,156,165,162,733,693,1426
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-01-01,2,0,0,0,0,0,2,0,2
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-01-01,122,111,100,92,87,85,309,288,597
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-01-01,12,2,12,8,3,6,27,16,43
CUEVO,estado nutricional,l talla normal,2012-01-01,38,36,25,32,67,60,130,128,258
CULPINA,estado nutricional,l talla normal,2012-01-01,141,135,117,117,94,126,352,378,730
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-01-01,36,48,33,31,45,28,114,107,221
CURVA,estado nutricional,l talla normal,2012-01-01,15,12,9,11,23,3,47,26,73
DESAGUADERO,estado nutricional,l talla normal,2012-01-01,29,23,27,23,12,20,68,66,134
EL ALTO,estado nutricional,l talla normal,2012-01-01,5165,5151,3274,3264,1885,1826,10324,10241,20565
EL CHORO,estado nutricional,l talla normal,2012-01-01,23,55,43,47,29,34,95,136,231
EL PUENTE(STC),estado nutricional,l talla normal,2012-01-01,113,107,60,46,56,56,229,209,438
EL PUENTE(TJA),estado nutricional,l talla normal,2012-01-01,64,64,64,62,40,72,168,198,366
EL TORNO,estado nutricional,l talla normal,2012-01-01,425,376,205,215,229,206,859,797,1656
EL VILLAR,estado nutricional,l talla normal,2012-01-01,25,24,19,26,52,54,96,104,200
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-01-01,152,170,125,140,130,103,407,413,820
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-01-01,325,272,188,181,191,154,704,607,1311
ESCARA,estado nutricional,l talla normal,2012-01-01,2,0,0,0,3,2,5,2,7
ESCOMA,estado nutricional,l talla normal,2012-01-01,27,18,26,20,16,8,69,46,115
ESMERALDA,estado nutricional,l talla normal,2012-01-01,0,1,6,2,4,3,10,6,16
EUCALIPTUS,estado nutricional,l talla normal,2012-01-01,37,38,39,40,29,30,105,108,213
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-01-01,23,23,13,23,17,19,53,65,118
EXALTACION,estado nutricional,l talla normal,2012-01-01,12,13,5,9,8,5,25,27,52
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-01-01,133,101,83,66,81,87,297,254,551
FILADELFIA,estado nutricional,l talla normal,2012-01-01,63,43,21,19,44,21,128,83,211
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-01-01,131,118,86,76,101,85,318,279,597
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-01-01,83,69,43,68,44,37,170,174,344
GUANAY,estado nutricional,l talla normal,2012-01-01,139,136,81,92,89,135,309,363,672
GUAQUI,estado nutricional,l talla normal,2012-01-01,25,32,29,30,22,22,76,84,160
GUAYARAMERIN,estado nutricional,l talla normal,2012-01-01,449,470,185,204,162,195,796,869,1665
GUTIERREZ,estado nutricional,l talla normal,2012-01-01,149,141,129,153,173,192,451,486,937
HUACARETA,estado nutricional,l talla normal,2012-01-01,70,72,77,56,83,92,230,220,450
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-01-01,19,23,21,13,32,30,72,66,138
HUACHACALLA,estado nutricional,l talla normal,2012-01-01,15,6,5,3,11,17,31,26,57
HUANUNI,estado nutricional,l talla normal,2012-01-01,186,214,94,84,70,34,350,332,682
HUARACAJE,estado nutricional,l talla normal,2012-01-01,42,29,22,25,17,31,81,85,166
HUARINA,estado nutricional,l talla normal,2012-01-01,25,22,19,22,15,7,59,51,110
HUAYLLAMARCA,estado nutricional,l talla normal,2012-01-01,39,26,19,13,22,22,80,61,141
HUMANATA,estado nutricional,l talla normal,2012-01-01,21,19,18,17,14,9,53,45,98
ICHOCA,estado nutricional,l talla normal,2012-01-01,30,18,17,20,21,12,68,50,118
ICLA,estado nutricional,l talla normal,2012-01-01,51,72,35,51,101,114,187,237,424
INCAHUASI,estado nutricional,l talla normal,2012-01-01,58,46,37,28,30,39,125,113,238
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-01-01,24,28,22,25,28,28,74,81,155
INQUISIVI,estado nutricional,l talla normal,2012-01-01,83,89,51,64,61,89,195,242,437
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-01-01,85,95,70,75,85,70,240,240,480
IXIAMAS,estado nutricional,l talla normal,2012-01-01,89,63,43,45,32,46,164,154,318
JESUS DE MACHACA,estado nutricional,l talla normal,2012-01-01,90,105,71,68,61,83,222,256,478
LA ASUNTA,estado nutricional,l talla normal,2012-01-01,318,320,228,184,177,148,723,652,1375
LA GUARDIA,estado nutricional,l talla normal,2012-01-01,659,596,225,245,286,248,1170,1089,2259
LA PAZ,estado nutricional,l talla normal,2012-01-01,4378,4410,2734,2593,2246,2200,9358,9203,18561
LA RIVERA,estado nutricional,l talla normal,2012-01-01,1,1,2,1,2,3,5,5,10
LAGUNILLAS,estado nutricional,l talla normal,2012-01-01,65,57,38,56,127,101,230,214,444
LAJA,estado nutricional,l talla normal,2012-01-01,117,113,99,71,41,56,257,240,497
LAS CARRERAS,estado nutricional,l talla normal,2012-01-01,32,28,24,36,43,37,99,101,200
LICOMA PAMPA,estado nutricional,l talla normal,2012-01-01,35,20,21,12,14,15,70,47,117
LLALLAGUA,estado nutricional,l talla normal,2012-01-01,344,295,189,227,98,113,631,635,1266
LLICA,estado nutricional,l talla normal,2012-01-01,22,24,21,14,14,14,57,52,109
LORETO,estado nutricional,l talla normal,2012-01-01,25,33,31,29,39,46,95,108,203
LURIBAY,estado nutricional,l talla normal,2012-01-01,61,66,47,47,54,52,162,165,327
MACHACAMARCA,estado nutricional,l talla normal,2012-01-01,53,42,28,33,44,30,125,105,230
MACHARETI,estado nutricional,l talla normal,2012-01-01,38,59,53,50,114,86,205,195,400
MAGDALENA,estado nutricional,l talla normal,2012-01-01,119,100,54,43,83,78,256,221,477
MAIRANA,estado nutricional,l talla normal,2012-01-01,110,118,75,88,46,45,231,251,482
MALLA,estado nutricional,l talla normal,2012-01-01,18,14,13,7,12,15,43,36,79
MAPIRI,estado nutricional,l talla normal,2012-01-01,109,89,42,36,49,54,200,179,379
MECAPACA,estado nutricional,l talla normal,2012-01-01,78,73,46,63,33,38,157,174,331
MINEROS,estado nutricional,l talla normal,2012-01-01,222,207,165,137,134,123,521,467,988
MIZQUE,estado nutricional,l talla normal,2012-01-01,281,259,184,192,145,152,610,603,1213
MOCOMOCO,estado nutricional,l talla normal,2012-01-01,86,71,64,84,68,58,218,213,431
MOJINETE,estado nutricional,l talla normal,2012-01-01,2,5,0,2,0,2,2,9,11
MOJOCOYA,estado nutricional,l talla normal,2012-01-01,47,63,52,47,65,70,164,180,344
MONTEAGUDO,estado nutricional,l talla normal,2012-01-01,253,231,210,190,208,222,671,643,1314
MONTERO,estado nutricional,l talla normal,2012-01-01,914,954,537,532,442,447,1893,1933,3826
MORO MORO,estado nutricional,l talla normal,2012-01-01,23,22,16,19,12,17,51,58,109
MOROCHATA,estado nutricional,l talla normal,2012-01-01,101,105,74,68,42,53,217,226,443
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-01-01,24,13,10,7,9,12,43,32,75
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-01-01,5,4,2,3,0,1,7,8,15
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-01-01,14,22,20,13,31,22,65,57,122
OCURI,estado nutricional,l talla normal,2012-01-01,116,111,58,65,57,63,231,239,470
OKINAWA,estado nutricional,l talla normal,2012-01-01,122,123,91,79,70,74,283,276,559
OMEREQUE,estado nutricional,l talla normal,2012-01-01,73,53,39,43,50,42,162,138,300
ORURO,estado nutricional,l talla normal,2012-01-01,2015,1906,1292,1331,964,956,4271,4193,8464
PADCAYA,estado nutricional,l talla normal,2012-01-01,129,131,125,100,103,112,357,343,700
PADILLA,estado nutricional,l talla normal,2012-01-01,81,96,74,91,141,157,296,344,640
PAILON,estado nutricional,l talla normal,2012-01-01,215,156,115,101,143,90,473,347,820
PALCA,estado nutricional,l talla normal,2012-01-01,116,83,69,72,47,55,232,210,442
PALOS BLANCOS,estado nutricional,l talla normal,2012-01-01,276,269,197,193,161,188,634,650,1284
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-01-01,17,22,20,18,6,13,43,53,96
PAMPA GRANDE,estado nutricional,l talla normal,2012-01-01,80,68,57,48,31,33,168,149,317
PAPEL PAMPA,estado nutricional,l talla normal,2012-01-01,41,35,48,27,28,26,117,88,205
PASORAPA,estado nutricional,l talla normal,2012-01-01,22,30,26,18,39,26,87,74,161
PATACAMAYA,estado nutricional,l talla normal,2012-01-01,162,159,102,104,56,51,320,314,634
PAZÑA,estado nutricional,l talla normal,2012-01-01,77,55,42,58,71,71,190,184,374
PELECHUCO,estado nutricional,l talla normal,2012-01-01,44,43,28,28,42,33,114,104,218
POCOATA,estado nutricional,l talla normal,2012-01-01,148,147,129,112,68,72,345,331,676
POCONA,estado nutricional,l talla normal,2012-01-01,137,82,68,79,80,90,285,251,536
POJO (CBBA),estado nutricional,l talla normal,2012-01-01,130,112,63,77,82,50,275,239,514
POOPO,estado nutricional,l talla normal,2012-01-01,44,40,35,46,30,27,109,113,222
PORCO,estado nutricional,l talla normal,2012-01-01,114,104,54,55,34,44,202,203,405
POROMA,estado nutricional,l talla normal,2012-01-01,121,100,88,96,94,91,303,287,590
PORONGO,estado nutricional,l talla normal,2012-01-01,63,70,48,39,45,45,156,154,310
PORTACHUELO,estado nutricional,l talla normal,2012-01-01,146,136,68,81,96,98,310,315,625
PORVENIR,estado nutricional,l talla normal,2012-01-01,67,56,46,46,41,31,154,133,287
POSTRER VALLE,estado nutricional,l talla normal,2012-01-01,10,15,13,6,9,8,32,29,61
POTOSI,estado nutricional,l talla normal,2012-01-01,1113,1152,627,609,479,513,2219,2274,4493
PRESTO,estado nutricional,l talla normal,2012-01-01,62,63,51,42,64,58,177,163,340
PUCARA,estado nutricional,l talla normal,2012-01-01,9,16,9,20,5,14,23,50,73
PUCARANI,estado nutricional,l talla normal,2012-01-01,200,230,156,145,81,74,437,449,886
PUERTO ACOSTA,estado nutricional,l talla normal,2012-01-01,61,51,45,46,21,35,127,132,259
PUERTO CARABUCO,estado nutricional,l talla normal,2012-01-01,79,58,56,60,61,44,196,162,358
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-01-01,73,80,48,39,83,80,204,199,403
PUERTO PEREZ,estado nutricional,l talla normal,2012-01-01,59,33,35,54,61,72,155,159,314
PUERTO QUIJARRO,estado nutricional,l talla normal,2012-01-01,155,140,95,95,55,59,305,294,599
PUERTO RICO,estado nutricional,l talla normal,2012-01-01,93,73,58,43,45,18,196,134,330
PUERTO SILES,estado nutricional,l talla normal,2012-01-01,7,8,10,5,10,11,27,24,51
PUERTO SUAREZ,estado nutricional,l talla normal,2012-01-01,111,133,51,41,34,35,196,209,405
PUERTO VILLARROEL,estado nutricional,l talla normal,2012-01-01,537,454,314,267,261,222,1112,943,2055
PUNA,estado nutricional,l talla normal,2012-01-01,158,155,122,138,156,177,436,470,906
PUNATA,estado nutricional,l talla normal,2012-01-01,215,210,127,132,95,97,437,439,876
QUIABAYA,estado nutricional,l talla normal,2012-01-01,20,19,20,11,29,24,69,54,123
QUILLACOLLO,estado nutricional,l talla normal,2012-01-01,812,655,496,427,301,222,1609,1304,2913
QUIME,estado nutricional,l talla normal,2012-01-01,99,111,44,67,80,67,223,245,468
QUIRUSILLAS,estado nutricional,l talla normal,2012-01-01,10,12,10,7,12,20,32,39,71
RAVELO,estado nutricional,l talla normal,2012-01-01,83,92,71,77,85,88,239,257,496
REYES,estado nutricional,l talla normal,2012-01-01,97,103,96,77,93,91,286,271,557
RIBERALTA,estado nutricional,l talla normal,2012-01-01,1073,1048,633,576,465,339,2171,1963,4134
ROBORE,estado nutricional,l talla normal,2012-01-01,109,121,89,89,52,42,250,252,502
RURRENABAQUE,estado nutricional,l talla normal,2012-01-01,151,133,72,101,46,60,269,294,563
SABAYA,estado nutricional,l talla normal,2012-01-01,13,14,18,12,16,11,47,37,84
SACABA,estado nutricional,l talla normal,2012-01-01,1186,1197,795,808,514,500,2495,2505,5000
SACABAMBA,estado nutricional,l talla normal,2012-01-01,33,38,23,23,15,9,71,70,141
SACACA,estado nutricional,l talla normal,2012-01-01,163,137,104,118,88,105,355,360,715
SAIPINA,estado nutricional,l talla normal,2012-01-01,66,65,40,39,38,37,144,141,285
SALINAS DE GARCI MENDOZA,estado nutricional,l talla normal,2012-01-01,81,72,69,64,71,55,221,191,412
SAMAIPATA,estado nutricional,l talla normal,2012-01-01,77,74,58,42,16,25,151,141,292
SAN AGUSTIN,estado nutricional,l talla normal,2012-01-01,17,10,9,9,13,15,39,34,73
SAN ANDRES,estado nutricional,l talla normal,2012-01-01,107,101,62,66,91,73,260,240,500
SAN ANDRES DE MACHACA,estado nutricional,l talla normal,2012-01-01,20,25,12,12,15,11,47,48,95
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla normal,2012-01-01,5,6,2,6,2,1,9,13,22
SAN ANTONIO DE LOMERIO,estado nutricional,l talla normal,2012-01-01,48,48,42,49,44,67,134,164,298
SAN BENITO,estado nutricional,l talla normal,2012-01-01,133,105,91,87,67,49,291,241,532
SAN BORJA,estado nutricional,l talla normal,2012-01-01,407,362,290,269,257,288,954,919,1873
SAN BUENA VENTURA,estado nutricional,l talla normal,2012-01-01,103,90,69,45,62,57,234,192,426
SAN CARLOS,estado nutricional,l talla normal,2012-01-01,189,178,143,113,89,93,421,384,805
SAN IGNACIO,estado nutricional,l talla normal,2012-01-01,271,204,180,182,260,237,711,623,1334
SAN IGNACIO DE VELASCO,estado nutricional,l talla normal,2012-01-01,760,692,466,382,419,420,1645,1494,3139
SAN JAVIER(BNI),estado nutricional,l talla normal,2012-01-01,17,17,15,9,15,11,47,37,84
SAN JAVIER(STC),estado nutricional,l talla normal,2012-01-01,102,110,56,51,67,62,225,223,448
SAN JOAQUIN,estado nutricional,l talla normal,2012-01-01,61,43,26,41,27,35,114,119,233
SAN JOSE DE CHIQUITOS,estado nutricional,l talla normal,2012-01-01,118,141,82,72,79,73,279,286,565
SAN JUAN DE YAPACANI,estado nutricional,l talla normal,2012-01-01,96,71,55,49,74,64,225,184,409
SAN JULIAN,estado nutricional,l talla normal,2012-01-01,266,300,250,200,195,263,711,763,1474
SAN LORENZO(PND),estado nutricional,l talla normal,2012-01-01,57,63,43,136,36,39,136,238,374
SAN LORENZO(TJA),estado nutricional,l talla normal,2012-01-01,179,167,126,121,98,107,403,395,798
SAN LUCAS,estado nutricional,l talla normal,2012-01-01,138,130,95,100,189,198,422,428,850
SAN MATIAS,estado nutricional,l talla normal,2012-01-01,104,80,35,28,28,37,167,145,312
SAN MIGUEL DE VELASCO,estado nutricional,l talla normal,2012-01-01,144,132,95,96,80,108,319,336,655
SAN PABLO DE LIPEZ,estado nutricional,l talla normal,2012-01-01,10,13,7,4,4,3,21,20,41
SAN PEDRO,estado nutricional,l talla normal,2012-01-01,151,126,100,98,115,118,366,342,708
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla normal,2012-01-01,159,148,116,112,71,80,346,340,686
SAN PEDRO DE CURAHUARA,estado nutricional,l talla normal,2012-01-01,36,33,39,30,24,27,99,90,189
SAN PEDRO DE QUEMES,estado nutricional,l talla normal,2012-01-01,2,2,0,0,1,5,3,7,10
SAN PEDRO DE TIQUINA,estado nutricional,l talla normal,2012-01-01,23,24,20,25,26,26,69,75,144
SAN PEDRO(PND),estado nutricional,l talla normal,2012-01-01,11,8,11,6,22,20,44,34,78
SAN RAFAEL,estado nutricional,l talla normal,2012-01-01,68,58,44,53,54,59,166,170,336
SAN RAMON BENI,estado nutricional,l talla normal,2012-01-01,39,36,23,30,20,37,82,103,185
SAN RAMON SCZ,estado nutricional,l talla normal,2012-01-01,52,42,32,26,25,23,109,91,200
SANTA ANA,estado nutricional,l talla normal,2012-01-01,260,187,120,103,92,116,472,406,878
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla normal,2012-01-01,6278,5854,2826,2580,2243,2062,11347,10496,21843
SANTA ROSA,estado nutricional,l talla normal,2012-01-01,113,110,42,65,91,66,246,241,487
SANTA ROSA DEL SARA,estado nutricional,l talla normal,2012-01-01,132,136,62,61,73,79,267,276,543
SANTIAGO DE CALLAPA,estado nutricional,l talla normal,2012-01-01,20,16,26,25,6,7,52,48,100
SANTIAGO DE HUARI,estado nutricional,l talla normal,2012-01-01,74,90,66,53,62,75,202,218,420
SANTIAGO DE HUATA,estado nutricional,l talla normal,2012-01-01,46,48,30,33,40,19,116,100,216
SANTIAGO DE MACHACA,estado nutricional,l talla normal,2012-01-01,24,18,20,17,9,19,53,54,107
SANTIVAÑES,estado nutricional,l talla normal,2012-01-01,49,54,32,42,47,34,128,130,258
SANTUARIO DE QUILLACAS,estado nutricional,l talla normal,2012-01-01,42,31,25,28,25,18,92,77,169
SAPAHAQUI,estado nutricional,l talla normal,2012-01-01,67,47,39,45,35,30,141,122,263
SENA,estado nutricional,l talla normal,2012-01-01,31,28,28,16,12,11,71,55,126
SHINAOTA,estado nutricional,l talla normal,2012-01-01,387,320,204,177,217,219,808,716,1524
SICA SICA (VILLA AROMA),estado nutricional,l talla normal,2012-01-01,187,165,133,133,109,133,429,431,860
SICAYA,estado nutricional,l talla normal,2012-01-01,30,28,25,25,16,16,71,69,140
SIPE SIPE,estado nutricional,l talla normal,2012-01-01,383,371,268,217,147,144,798,732,1530
SOPACHUY,estado nutricional,l talla normal,2012-01-01,60,63,35,50,57,71,152,184,336
SORACACHI,estado nutricional,l talla normal,2012-01-01,87,81,72,85,60,71,219,237,456
SORATA,estado nutricional,l talla normal,2012-01-01,79,76,68,64,70,69,217,209,426
SUCRE,estado nutricional,l talla normal,2012-01-01,2521,2384,1785,1825,1371,1373,5677,5582,11259
TACACHI,estado nutricional,l talla normal,2012-01-01,6,5,5,5,6,7,17,17,34
TACACOMA,estado nutricional,l talla normal,2012-01-01,57,44,34,30,41,27,132,101,233
TACOBAMBA,estado nutricional,l talla normal,2012-01-01,54,64,47,36,28,25,129,125,254
TACOPAYA,estado nutricional,l talla normal,2012-01-01,76,95,62,72,157,166,295,333,628
TAHUA,estado nutricional,l talla normal,2012-01-01,3,2,3,6,4,3,10,11,21
TAPACARI,estado nutricional,l talla normal,2012-01-01,176,171,119,134,88,75,383,380,763
TARABUCO,estado nutricional,l talla normal,2012-01-01,130,117,82,119,148,159,360,395,755
TARACO,estado nutricional,l talla normal,2012-01-01,20,17,23,11,11,12,54,40,94
