,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
CONCEPCION,estado nutricional,l talla baja,2012-01-01,5,0,8,5,2,3,15,8,23
COPACABANA,estado nutricional,l talla baja,2012-01-01,1,2,6,5,4,2,11,9,20
CORIPATA,estado nutricional,l talla baja,2012-01-01,0,2,6,7,7,7,13,16,29
CORO CORO,estado nutricional,l talla baja,2012-01-01,11,4,17,15,9,5,37,24,61
COROICO,estado nutricional,l talla baja,2012-01-01,9,2,5,11,15,12,29,25,54
CORQUE,estado nutricional,l talla baja,2012-01-01,16,2,11,11,7,7,34,20,54
COTAGAITA,estado nutricional,l talla baja,2012-01-01,19,8,38,26,65,57,122,91,213
COTOCA,estado nutricional,l talla baja,2012-01-01,22,13,17,20,13,11,52,44,96
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-01-01,2,0,1,4,5,2,8,6,14
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla baja,2012-01-01,3,3,3,1,1,0,7,4,11
CUEVO,estado nutricional,l talla baja,2012-01-01,6,1,6,3,9,7,21,11,32
CULPINA,estado nutricional,l talla baja,2012-01-01,15,10,31,14,43,35,89,59,148
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-01-01,5,2,11,8,15,13,31,23,54
CURVA,estado nutricional,l talla baja,2012-01-01,3,6,15,7,16,13,34,26,60
DESAGUADERO,estado nutricional,l talla baja,2012-01-01,6,2,8,0,4,5,18,7,25
EL ALTO,estado nutricional,l talla baja,2012-01-01,540,325,631,381,319,292,1490,998,2488
EL CHORO,estado nutricional,l talla baja,2012-01-01,1,0,1,0,5,4,7,4,11
EL PUENTE(STC),estado nutricional,l talla baja,2012-01-01,2,2,4,6,5,2,11,10,21
EL PUENTE(TJA),estado nutricional,l talla baja,2012-01-01,11,5,17,13,12,9,40,27,67
EL TORNO,estado nutricional,l talla baja,2012-01-01,6,6,5,10,5,6,16,22,38
EL VILLAR,estado nutricional,l talla baja,2012-01-01,1,2,2,3,12,10,15,15,30
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-01-01,6,2,13,11,12,13,31,26,57
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-01-01,6,2,14,8,23,7,43,17,60
ESCARA,estado nutricional,l talla baja,2012-01-01,0,0,1,0,0,0,1,0,1
ESCOMA,estado nutricional,l talla baja,2012-01-01,1,0,2,0,0,0,3,0,3
EUCALIPTUS,estado nutricional,l talla baja,2012-01-01,4,3,9,10,8,9,21,22,43
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-01-01,1,0,1,2,0,0,2,2,4
EXALTACION,estado nutricional,l talla baja,2012-01-01,0,0,2,0,0,0,2,0,2
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-01-01,5,1,5,1,1,2,11,4,15
FILADELFIA,estado nutricional,l talla baja,2012-01-01,2,1,1,0,1,3,4,4,8
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-01-01,0,2,5,5,10,4,15,11,26
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-01-01,10,9,23,16,21,19,54,44,98
GUANAY,estado nutricional,l talla baja,2012-01-01,8,0,5,12,10,5,23,17,40
GUAQUI,estado nutricional,l talla baja,2012-01-01,1,1,5,9,8,0,14,10,24
GUAYARAMERIN,estado nutricional,l talla baja,2012-01-01,25,24,33,15,18,38,76,77,153
GUTIERREZ,estado nutricional,l talla baja,2012-01-01,9,10,30,16,59,49,98,75,173
HUACARETA,estado nutricional,l talla baja,2012-01-01,2,3,2,2,10,3,14,8,22
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-01-01,4,0,4,2,10,3,18,5,23
HUACHACALLA,estado nutricional,l talla baja,2012-01-01,4,0,0,0,1,3,5,3,8
HUANUNI,estado nutricional,l talla baja,2012-01-01,38,22,51,21,30,21,119,64,183
HUARACAJE,estado nutricional,l talla baja,2012-01-01,1,1,0,0,4,3,5,4,9
HUARINA,estado nutricional,l talla baja,2012-01-01,0,5,2,5,2,2,4,12,16
HUAYLLAMARCA,estado nutricional,l talla baja,2012-01-01,0,1,5,3,10,12,15,16,31
HUMANATA,estado nutricional,l talla baja,2012-01-01,5,6,9,7,8,4,22,17,39
ICHOCA,estado nutricional,l talla baja,2012-01-01,3,2,10,5,20,17,33,24,57
ICLA,estado nutricional,l talla baja,2012-01-01,9,5,29,20,93,94,131,119,250
INCAHUASI,estado nutricional,l talla baja,2012-01-01,15,10,17,16,18,24,50,50,100
INGAVI (HUMAITA),estado nutricional,l talla baja,2012-01-01,0,0,0,1,0,0,0,1,1
INQUISIVI,estado nutricional,l talla baja,2012-01-01,2,3,12,12,12,4,26,19,45
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-01-01,2,1,1,2,2,4,5,7,12
IXIAMAS,estado nutricional,l talla baja,2012-01-01,1,1,0,0,3,6,4,7,11
JESUS DE MACHACA,estado nutricional,l talla baja,2012-01-01,4,3,12,12,13,5,29,20,49
LA ASUNTA,estado nutricional,l talla baja,2012-01-01,7,11,22,18,9,12,38,41,79
LA GUARDIA,estado nutricional,l talla baja,2012-01-01,10,15,8,4,6,12,24,31,55
LA PAZ,estado nutricional,l talla baja,2012-01-01,366,300,391,258,297,239,1054,797,1851
LAGUNILLAS,estado nutricional,l talla baja,2012-01-01,0,1,0,2,3,5,3,8,11
LAJA,estado nutricional,l talla baja,2012-01-01,7,2,10,5,2,5,19,12,31
LAS CARRERAS,estado nutricional,l talla baja,2012-01-01,1,1,2,0,11,5,14,6,20
LICOMA PAMPA,estado nutricional,l talla baja,2012-01-01,1,0,2,0,1,0,4,0,4
LLALLAGUA,estado nutricional,l talla baja,2012-01-01,32,27,84,43,21,26,137,96,233
LLICA,estado nutricional,l talla baja,2012-01-01,7,0,5,3,2,3,14,6,20
LORETO,estado nutricional,l talla baja,2012-01-01,2,0,0,0,0,2,2,2,4
LURIBAY,estado nutricional,l talla baja,2012-01-01,9,4,6,13,9,13,24,30,54
MACHACAMARCA,estado nutricional,l talla baja,2012-01-01,6,0,2,0,4,3,12,3,15
MACHARETI,estado nutricional,l talla baja,2012-01-01,3,0,1,3,13,6,17,9,26
MAGDALENA,estado nutricional,l talla baja,2012-01-01,5,5,2,2,1,2,8,9,17
MAIRANA,estado nutricional,l talla baja,2012-01-01,3,0,7,2,1,3,11,5,16
MALLA,estado nutricional,l talla baja,2012-01-01,5,3,11,7,22,7,38,17,55
MAPIRI,estado nutricional,l talla baja,2012-01-01,3,1,11,5,12,9,26,15,41
MECAPACA,estado nutricional,l talla baja,2012-01-01,8,3,7,7,6,13,21,23,44
MINEROS,estado nutricional,l talla baja,2012-01-01,6,4,17,9,10,9,33,22,55
MIZQUE,estado nutricional,l talla baja,2012-01-01,18,9,32,28,38,19,88,56,144
MOCOMOCO,estado nutricional,l talla baja,2012-01-01,7,4,12,10,15,15,34,29,63
MOJINETE,estado nutricional,l talla baja,2012-01-01,1,0,1,0,0,0,2,0,2
MOJOCOYA,estado nutricional,l talla baja,2012-01-01,2,3,18,8,27,26,47,37,84
MONTEAGUDO,estado nutricional,l talla baja,2012-01-01,4,2,17,11,20,17,41,30,71
MONTERO,estado nutricional,l talla baja,2012-01-01,17,8,21,13,20,11,58,32,90
MORO MORO,estado nutricional,l talla baja,2012-01-01,1,0,4,4,2,1,7,5,12
MOROCHATA,estado nutricional,l talla baja,2012-01-01,15,9,31,23,31,41,77,73,150
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-01-01,1,0,0,0,0,1,1,1,2
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-01-01,0,0,3,0,1,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-01-01,0,0,0,3,1,3,1,6,7
OCURI,estado nutricional,l talla baja,2012-01-01,25,17,98,58,58,63,181,138,319
OKINAWA,estado nutricional,l talla baja,2012-01-01,0,0,2,2,1,5,3,7,10
OMEREQUE,estado nutricional,l talla baja,2012-01-01,1,0,3,2,5,5,9,7,16
ORURO,estado nutricional,l talla baja,2012-01-01,265,188,384,276,172,165,821,629,1450
PADCAYA,estado nutricional,l talla baja,2012-01-01,5,2,10,11,7,6,22,19,41
PADILLA,estado nutricional,l talla baja,2012-01-01,10,3,11,12,39,27,60,42,102
PAILON,estado nutricional,l talla baja,2012-01-01,0,0,5,1,3,2,8,3,11
PALCA,estado nutricional,l talla baja,2012-01-01,25,25,24,34,22,19,71,78,149
PALOS BLANCOS,estado nutricional,l talla baja,2012-01-01,3,2,12,14,12,12,27,28,55
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-01-01,3,2,5,6,3,1,11,9,20
PAMPA GRANDE,estado nutricional,l talla baja,2012-01-01,3,0,9,2,2,2,14,4,18
PAPEL PAMPA,estado nutricional,l talla baja,2012-01-01,4,0,3,3,10,7,17,10,27
PASORAPA,estado nutricional,l talla baja,2012-01-01,0,1,0,2,4,1,4,4,8
PATACAMAYA,estado nutricional,l talla baja,2012-01-01,22,21,28,34,24,10,74,65,139
PAZÑA,estado nutricional,l talla baja,2012-01-01,8,7,7,4,10,9,25,20,45
PELECHUCO,estado nutricional,l talla baja,2012-01-01,4,5,10,3,8,4,22,12,34
POCOATA,estado nutricional,l talla baja,2012-01-01,38,33,55,54,67,62,160,149,309
POCONA,estado nutricional,l talla baja,2012-01-01,9,4,20,17,18,12,47,33,80
POJO (CBBA),estado nutricional,l talla baja,2012-01-01,2,15,13,9,12,15,27,39,66
POOPO,estado nutricional,l talla baja,2012-01-01,3,3,7,5,8,7,18,15,33
PORCO,estado nutricional,l talla baja,2012-01-01,30,20,34,13,16,14,80,47,127
POROMA,estado nutricional,l talla baja,2012-01-01,8,7,37,23,56,50,101,80,181
PORONGO,estado nutricional,l talla baja,2012-01-01,1,0,3,0,2,4,6,4,10
PORTACHUELO,estado nutricional,l talla baja,2012-01-01,2,4,2,1,2,0,6,5,11
PORVENIR,estado nutricional,l talla baja,2012-01-01,4,1,2,1,2,1,8,3,11
POSTRER VALLE,estado nutricional,l talla baja,2012-01-01,0,0,0,2,1,2,1,4,5
POTOSI,estado nutricional,l talla baja,2012-01-01,217,150,244,175,130,120,591,445,1036
PRESTO,estado nutricional,l talla baja,2012-01-01,5,5,27,17,46,46,78,68,146
PUCARA,estado nutricional,l talla baja,2012-01-01,1,0,2,0,3,1,6,1,7
PUCARANI,estado nutricional,l talla baja,2012-01-01,24,20,45,23,8,15,77,58,135
PUERTO ACOSTA,estado nutricional,l talla baja,2012-01-01,9,2,17,14,8,8,34,24,58
PUERTO CARABUCO,estado nutricional,l talla baja,2012-01-01,1,3,25,19,18,20,44,42,86
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-01-01,10,10,21,24,30,18,61,52,113
PUERTO PEREZ,estado nutricional,l talla baja,2012-01-01,3,0,5,1,2,5,10,6,16
PUERTO RICO,estado nutricional,l talla baja,2012-01-01,8,3,6,9,8,6,22,18,40
PUERTO SILES,estado nutricional,l talla baja,2012-01-01,0,0,1,0,0,1,1,1,2
PUERTO SUAREZ,estado nutricional,l talla baja,2012-01-01,3,1,2,0,0,1,5,2,7
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-01-01,18,12,26,25,16,29,60,66,126
PUNA,estado nutricional,l talla baja,2012-01-01,21,20,37,39,39,47,97,106,203
PUNATA,estado nutricional,l talla baja,2012-01-01,4,4,10,13,9,5,23,22,45
QUIABAYA,estado nutricional,l talla baja,2012-01-01,2,2,4,3,1,0,7,5,12
QUILLACOLLO,estado nutricional,l talla baja,2012-01-01,13,9,28,27,27,10,68,46,114
QUIME,estado nutricional,l talla baja,2012-01-01,6,1,14,5,11,17,31,23,54
QUIRUSILLAS,estado nutricional,l talla baja,2012-01-01,2,0,0,0,0,0,2,0,2
RAVELO,estado nutricional,l talla baja,2012-01-01,28,27,72,73,98,129,198,229,427
REYES,estado nutricional,l talla baja,2012-01-01,10,5,6,4,8,5,24,14,38
RIBERALTA,estado nutricional,l talla baja,2012-01-01,39,19,50,52,37,20,126,91,217
ROBORE,estado nutricional,l talla baja,2012-01-01,1,1,1,1,4,5,6,7,13
RURRENABAQUE,estado nutricional,l talla baja,2012-01-01,11,6,10,6,10,4,31,16,47
SABAYA,estado nutricional,l talla baja,2012-01-01,2,2,4,2,2,5,8,9,17
SACABA,estado nutricional,l talla baja,2012-01-01,40,22,100,88,64,78,204,188,392
SACABAMBA,estado nutricional,l talla baja,2012-01-01,6,7,10,8,6,1,22,16,38
SACACA,estado nutricional,l talla baja,2012-01-01,48,31,116,78,97,80,261,189,450
SAIPINA,estado nutricional,l talla baja,2012-01-01,0,1,1,0,0,5,1,6,7
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-01-01,7,5,14,17,17,15,38,37,75
SAMAIPATA,estado nutricional,l talla baja,2012-01-01,4,3,2,1,3,0,9,4,13
SAN AGUSTIN,estado nutricional,l talla baja,2012-01-01,0,0,1,1,2,2,3,3,6
SAN ANDRES,estado nutricional,l talla baja,2012-01-01,3,0,2,3,5,4,10,7,17
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-01-01,1,0,5,2,3,0,9,2,11
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-01-01,4,1,4,5,0,0,8,6,14
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-01-01,2,3,10,7,8,8,20,18,38
SAN BENITO,estado nutricional,l talla baja,2012-01-01,11,2,17,15,5,4,33,21,54
SAN BORJA,estado nutricional,l talla baja,2012-01-01,32,6,38,31,52,43,122,80,202
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-01-01,2,4,8,8,4,9,14,21,35
SAN CARLOS,estado nutricional,l talla baja,2012-01-01,3,1,4,1,6,0,13,2,15
SAN IGNACIO,estado nutricional,l talla baja,2012-01-01,11,17,33,21,36,19,80,57,137
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-01-01,18,16,34,19,39,26,91,61,152
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-01-01,0,0,0,0,1,0,1,0,1
SAN JAVIER(STC),estado nutricional,l talla baja,2012-01-01,1,1,3,4,3,2,7,7,14
SAN JOAQUIN,estado nutricional,l talla baja,2012-01-01,0,0,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-01-01,6,2,4,5,4,1,14,8,22
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-01-01,1,0,1,0,1,2,3,2,5
SAN JULIAN,estado nutricional,l talla baja,2012-01-01,1,7,11,9,5,5,17,21,38
SAN LORENZO(PND),estado nutricional,l talla baja,2012-01-01,2,1,12,2,5,7,19,10,29
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-01-01,6,7,10,8,14,11,30,26,56
SAN LUCAS,estado nutricional,l talla baja,2012-01-01,22,33,70,81,115,128,207,242,449
SAN MATIAS,estado nutricional,l talla baja,2012-01-01,2,0,1,0,1,0,4,0,4
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-01-01,6,6,23,9,9,4,38,19,57
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-01-01,0,3,5,0,1,2,6,5,11
SAN PEDRO,estado nutricional,l talla baja,2012-01-01,1,2,2,2,3,3,6,7,13
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-01-01,42,24,76,48,49,61,167,133,300
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-01-01,3,2,5,6,4,2,12,10,22
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-01-01,1,1,0,1,3,1,4,3,7
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-01-01,1,0,1,1,5,5,7,6,13
SAN PEDRO(PND),estado nutricional,l talla baja,2012-01-01,0,0,0,0,0,1,0,1,1
SAN RAFAEL,estado nutricional,l talla baja,2012-01-01,8,4,9,1,5,8,22,13,35
SAN RAMON BENI,estado nutricional,l talla baja,2012-01-01,3,1,3,1,6,4,12,6,18
SAN RAMON SCZ,estado nutricional,l talla baja,2012-01-01,1,2,1,2,0,2,2,6,8
SANTA ANA,estado nutricional,l talla baja,2012-01-01,1,3,4,7,0,3,5,13,18
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-01-01,95,93,75,66,54,52,224,211,435
SANTA ROSA,estado nutricional,l talla baja,2012-01-01,1,0,3,1,1,3,5,4,9
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-01-01,1,0,0,0,3,5,4,5,9
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-01-01,2,0,2,6,1,1,5,7,12
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-01-01,2,3,19,5,11,19,32,27,59
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-01-01,1,4,3,6,4,0,8,10,18
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-01-01,1,0,9,2,8,7,18,9,27
SANTIVAÑES,estado nutricional,l talla baja,2012-01-01,4,1,9,9,11,16,24,26,50
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-01-01,3,0,3,1,6,7,12,8,20
SAPAHAQUI,estado nutricional,l talla baja,2012-01-01,7,4,15,12,8,14,30,30,60
SENA,estado nutricional,l talla baja,2012-01-01,1,0,4,3,0,0,5,3,8
SHINAOTA,estado nutricional,l talla baja,2012-01-01,4,6,10,8,5,7,19,21,40
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-01-01,10,3,27,10,18,12,55,25,80
SICAYA,estado nutricional,l talla baja,2012-01-01,3,6,17,5,15,7,35,18,53
SIPE SIPE,estado nutricional,l talla baja,2012-01-01,12,13,26,35,23,18,61,66,127
SOPACHUY,estado nutricional,l talla baja,2012-01-01,7,5,14,16,40,44,61,65,126
SORACACHI,estado nutricional,l talla baja,2012-01-01,10,6,15,9,13,22,38,37,75
SORATA,estado nutricional,l talla baja,2012-01-01,9,1,10,3,8,23,27,27,54
SUCRE,estado nutricional,l talla baja,2012-01-01,125,80,212,123,184,167,521,370,891
TACACHI,estado nutricional,l talla baja,2012-01-01,3,0,1,2,0,0,4,2,6
TACACOMA,estado nutricional,l talla baja,2012-01-01,1,2,6,2,9,6,16,10,26
TACOBAMBA,estado nutricional,l talla baja,2012-01-01,11,9,24,14,8,14,43,37,80
TACOPAYA,estado nutricional,l talla baja,2012-01-01,16,5,53,21,84,73,153,99,252
TAHUA,estado nutricional,l talla baja,2012-01-01,0,1,2,1,0,1,2,3,5
TAPACARI,estado nutricional,l talla baja,2012-01-01,42,33,76,61,46,45,164,139,303
TARABUCO,estado nutricional,l talla baja,2012-01-01,27,5,77,47,176,175,280,227,507
TARACO,estado nutricional,l talla baja,2012-01-01,0,3,2,2,1,3,3,8,11
TARATA,estado nutricional,l talla baja,2012-01-01,0,6,10,10,9,3,19,19,38
TARIJA,estado nutricional,l talla baja,2012-01-01,23,20,38,26,17,29,78,75,153
TARVITA,estado nutricional,l talla baja,2012-01-01,20,21,49,26,104,111,173,158,331
TEOPONTE,estado nutricional,l talla baja,2012-01-01,2,1,2,3,5,7,9,11,20
TIAWANACU,estado nutricional,l talla baja,2012-01-01,17,1,13,6,10,5,40,12,52
TINGUIPAYA,estado nutricional,l talla baja,2012-01-01,31,22,63,41,27,25,121,88,209
TIPUANI,estado nutricional,l talla baja,2012-01-01,3,1,4,2,7,5,14,8,22
TIQUIPAYA,estado nutricional,l talla baja,2012-01-01,8,18,31,36,24,29,63,83,146
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-01-01,18,20,27,36,26,18,71,74,145
