,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,menores de 6 meses,2021-01-01,17,16,0,4,17,20,37
BAURES,consulta externa,menores de 6 meses,2021-01-01,4,3,0,0,4,3,7
BELEN DE ANDAMARCA,consulta externa,menores de 6 meses,2021-01-01,2,0,0,0,2,0,2
BELLA FLOR,consulta externa,menores de 6 meses,2021-01-01,3,2,2,2,5,4,9
BERMEJO,consulta externa,menores de 6 meses,2021-01-01,109,87,14,11,123,98,221
BETANZOS,consulta externa,menores de 6 meses,2021-01-01,27,25,1,0,28,25,53
BOLIVAR,consulta externa,menores de 6 meses,2021-01-01,9,10,2,4,11,14,25
BOYUIBE,consulta externa,menores de 6 meses,2021-01-01,4,4,0,0,4,4,8
BUENA VISTA,consulta externa,menores de 6 meses,2021-01-01,29,9,2,3,31,12,43
CABEZAS,consulta externa,menores de 6 meses,2021-01-01,37,49,1,1,38,50,88
CAIROMA,consulta externa,menores de 6 meses,2021-01-01,26,25,1,3,27,28,55
"CAIZA ""D""",consulta externa,menores de 6 meses,2021-01-01,14,8,0,0,14,8,22
CAJUATA,consulta externa,menores de 6 meses,2021-01-01,27,29,1,5,28,34,62
CALACOTO,consulta externa,menores de 6 meses,2021-01-01,1,2,0,2,1,4,5
CALAMARCA,consulta externa,menores de 6 meses,2021-01-01,11,7,1,1,12,8,20
CAMARGO,consulta externa,menores de 6 meses,2021-01-01,32,11,2,0,34,11,45
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2021-01-01,7,7,0,0,7,7,14
CAMIRI,consulta externa,menores de 6 meses,2021-01-01,56,51,19,8,75,59,134
CAPINOTA,consulta externa,menores de 6 meses,2021-01-01,45,48,5,2,50,50,100
CAQUIAVIRI,consulta externa,menores de 6 meses,2021-01-01,5,10,3,2,8,12,20
CARACOLLO,consulta externa,menores de 6 meses,2021-01-01,63,59,2,5,65,64,129
CARANAVI,consulta externa,menores de 6 meses,2021-01-01,131,131,64,55,195,186,381
CARANGAS,consulta externa,menores de 6 meses,2021-01-01,0,1,0,0,0,1,1
CARAPARI,consulta externa,menores de 6 meses,2021-01-01,42,41,2,2,44,43,87
CARIPUYO,consulta externa,menores de 6 meses,2021-01-01,2,7,1,0,3,7,10
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2021-01-01,9,9,0,0,9,9,18
CATACORA,consulta externa,menores de 6 meses,2021-01-01,1,5,0,0,1,5,6
CHACARILLA,consulta externa,menores de 6 meses,2021-01-01,2,1,0,0,2,1,3
CHALLAPATA,consulta externa,menores de 6 meses,2021-01-01,53,56,10,9,63,65,128
CHAQUI,consulta externa,menores de 6 meses,2021-01-01,9,7,0,0,9,7,16
CHARAGUA,consulta externa,menores de 6 meses,2021-01-01,59,59,6,6,65,65,130
CHARAÑA,consulta externa,menores de 6 meses,2021-01-01,2,1,2,1,4,2,6
CHAYANTA,consulta externa,menores de 6 meses,2021-01-01,22,18,0,0,22,18,40
CHIMORE,consulta externa,menores de 6 meses,2021-01-01,105,113,4,1,109,114,223
CHIPAYA,consulta externa,menores de 6 meses,2021-01-01,3,3,0,0,3,3,6
CHOQUE COTA,consulta externa,menores de 6 meses,2021-01-01,6,1,0,0,6,1,7
CHUA COCANI,consulta externa,menores de 6 meses,2021-01-01,5,8,2,4,7,12,19
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2021-01-01,39,31,15,7,54,38,92
CHUMA,consulta externa,menores de 6 meses,2021-01-01,16,8,1,0,17,8,25
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2021-01-01,6,11,0,0,6,11,17
CKOCHAS,consulta externa,menores de 6 meses,2021-01-01,15,16,0,0,15,16,31
CLIZA,consulta externa,menores de 6 meses,2021-01-01,54,41,11,4,65,45,110
COBIJA,consulta externa,menores de 6 meses,2021-01-01,105,91,22,29,127,120,247
COCAPATA,consulta externa,menores de 6 meses,2021-01-01,66,55,2,2,68,57,125
COCHABAMBA,consulta externa,menores de 6 meses,2021-01-01,1726,1657,694,652,2420,2309,4729
COIPASA,consulta externa,menores de 6 meses,2021-01-01,1,1,1,0,2,1,3
COLCAPIRHUA,consulta externa,menores de 6 meses,2021-01-01,71,67,61,50,132,117,249
"COLCHA ""K""",consulta externa,menores de 6 meses,2021-01-01,16,12,0,3,16,15,31
COLLANA,consulta externa,menores de 6 meses,2021-01-01,3,0,0,0,3,0,3
COLOMI,consulta externa,menores de 6 meses,2021-01-01,43,37,7,10,50,47,97
COLPA BELGICA,consulta externa,menores de 6 meses,2021-01-01,8,6,4,0,12,6,18
COLQUECHACA,consulta externa,menores de 6 meses,2021-01-01,21,14,0,0,21,14,35
COLQUENCHA,consulta externa,menores de 6 meses,2021-01-01,16,16,3,2,19,18,37
COLQUIRI,consulta externa,menores de 6 meses,2021-01-01,5,15,0,0,5,15,20
COMANCHE,consulta externa,menores de 6 meses,2021-01-01,3,2,0,0,3,2,5
COMARAPA,consulta externa,menores de 6 meses,2021-01-01,16,31,3,8,19,39,58
COMBAYA,consulta externa,menores de 6 meses,2021-01-01,3,1,0,0,3,1,4
CONCEPCION,consulta externa,menores de 6 meses,2021-01-01,16,17,8,9,24,26,50
COPACABANA,consulta externa,menores de 6 meses,2021-01-01,12,5,0,1,12,6,18
CORIPATA,consulta externa,menores de 6 meses,2021-01-01,60,44,7,4,67,48,115
CORO CORO,consulta externa,menores de 6 meses,2021-01-01,7,12,0,0,7,12,19
COROICO,consulta externa,menores de 6 meses,2021-01-01,27,19,17,8,44,27,71
CORQUE,consulta externa,menores de 6 meses,2021-01-01,3,5,1,0,4,5,9
COTAGAITA,consulta externa,menores de 6 meses,2021-01-01,33,28,3,6,36,34,70
COTOCA,consulta externa,menores de 6 meses,2021-01-01,53,57,3,4,56,61,117
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2021-01-01,24,30,2,1,26,31,57
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2021-01-01,9,2,0,0,9,2,11
CUEVO,consulta externa,menores de 6 meses,2021-01-01,11,7,1,0,12,7,19
CULPINA,consulta externa,menores de 6 meses,2021-01-01,13,17,0,0,13,17,30
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2021-01-01,8,2,0,0,8,2,10
CURVA,consulta externa,menores de 6 meses,2021-01-01,6,3,4,0,10,3,13
DESAGUADERO,consulta externa,menores de 6 meses,2021-01-01,4,2,3,6,7,8,15
EL ALTO,consulta externa,menores de 6 meses,2021-01-01,2212,2132,808,769,3020,2901,5921
EL CHORO,consulta externa,menores de 6 meses,2021-01-01,2,4,0,0,2,4,6
EL PUENTE(STC),consulta externa,menores de 6 meses,2021-01-01,14,14,1,1,15,15,30
EL PUENTE(TJA),consulta externa,menores de 6 meses,2021-01-01,16,25,0,1,16,26,42
EL TORNO,consulta externa,menores de 6 meses,2021-01-01,104,136,79,84,183,220,403
EL VILLAR,consulta externa,menores de 6 meses,2021-01-01,19,9,0,0,19,9,28
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2021-01-01,27,38,0,0,27,38,65
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2021-01-01,131,108,19,16,150,124,274
ESCOMA,consulta externa,menores de 6 meses,2021-01-01,15,10,4,2,19,12,31
ESMERALDA,consulta externa,menores de 6 meses,2021-01-01,0,1,0,0,0,1,1
EUCALIPTUS,consulta externa,menores de 6 meses,2021-01-01,6,4,0,0,6,4,10
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2021-01-01,5,0,3,0,8,0,8
EXALTACION,consulta externa,menores de 6 meses,2021-01-01,3,3,0,0,3,3,6
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2021-01-01,14,17,6,6,20,23,43
FILADELFIA,consulta externa,menores de 6 meses,2021-01-01,9,6,0,0,9,6,15
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2021-01-01,36,30,1,5,37,35,72
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2021-01-01,15,12,5,1,20,13,33
GUANAY,consulta externa,menores de 6 meses,2021-01-01,39,30,11,13,50,43,93
GUAQUI,consulta externa,menores de 6 meses,2021-01-01,3,11,0,1,3,12,15
GUAYARAMERIN,consulta externa,menores de 6 meses,2021-01-01,76,67,19,14,95,81,176
GUTIERREZ,consulta externa,menores de 6 meses,2021-01-01,48,36,2,0,50,36,86
HUACARETA,consulta externa,menores de 6 meses,2021-01-01,14,6,4,1,18,7,25
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2021-01-01,0,3,0,1,0,4,4
HUACHACALLA,consulta externa,menores de 6 meses,2021-01-01,2,0,0,0,2,0,2
HUANUNI,consulta externa,menores de 6 meses,2021-01-01,53,36,11,9,64,45,109
HUARACAJE,consulta externa,menores de 6 meses,2021-01-01,7,3,2,0,9,3,12
HUARINA,consulta externa,menores de 6 meses,2021-01-01,8,7,7,1,15,8,23
HUATAJATA,consulta externa,menores de 6 meses,2021-01-01,0,1,3,1,3,2,5
HUAYLLAMARCA,consulta externa,menores de 6 meses,2021-01-01,3,3,0,0,3,3,6
HUMANATA,consulta externa,menores de 6 meses,2021-01-01,4,4,3,1,7,5,12
ICHOCA,consulta externa,menores de 6 meses,2021-01-01,12,9,0,1,12,10,22
ICLA,consulta externa,menores de 6 meses,2021-01-01,17,17,2,1,19,18,37
INCAHUASI,consulta externa,menores de 6 meses,2021-01-01,31,32,0,0,31,32,63
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2021-01-01,1,0,0,0,1,0,1
INQUISIVI,consulta externa,menores de 6 meses,2021-01-01,25,20,0,0,25,20,45
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2021-01-01,54,45,4,4,58,49,107
IXIAMAS,consulta externa,menores de 6 meses,2021-01-01,35,36,4,4,39,40,79
JESUS DE MACHACA,consulta externa,menores de 6 meses,2021-01-01,13,22,20,12,33,34,67
LA ASUNTA,consulta externa,menores de 6 meses,2021-01-01,122,109,7,11,129,120,249
LA GUARDIA,consulta externa,menores de 6 meses,2021-01-01,337,327,137,140,474,467,941
LA PAZ,consulta externa,menores de 6 meses,2021-01-01,1455,1428,492,517,1947,1945,3892
LAGUNILLAS,consulta externa,menores de 6 meses,2021-01-01,10,21,0,6,10,27,37
LAJA,consulta externa,menores de 6 meses,2021-01-01,20,12,1,3,21,15,36
LAS CARRERAS,consulta externa,menores de 6 meses,2021-01-01,1,6,0,0,1,6,7
LICOMA PAMPA,consulta externa,menores de 6 meses,2021-01-01,2,6,0,0,2,6,8
LLALLAGUA,consulta externa,menores de 6 meses,2021-01-01,109,95,11,8,120,103,223
LLICA,consulta externa,menores de 6 meses,2021-01-01,3,4,0,1,3,5,8
LORETO,consulta externa,menores de 6 meses,2021-01-01,4,5,0,0,4,5,9
LURIBAY,consulta externa,menores de 6 meses,2021-01-01,20,11,1,4,21,15,36
MACHACAMARCA,consulta externa,menores de 6 meses,2021-01-01,11,14,0,1,11,15,26
MACHARETI,consulta externa,menores de 6 meses,2021-01-01,13,10,0,0,13,10,23
MAGDALENA,consulta externa,menores de 6 meses,2021-01-01,6,5,0,0,6,5,11
MAIRANA,consulta externa,menores de 6 meses,2021-01-01,11,26,1,4,12,30,42
MALLA,consulta externa,menores de 6 meses,2021-01-01,6,7,0,0,6,7,13
MAPIRI,consulta externa,menores de 6 meses,2021-01-01,34,24,7,6,41,30,71
MECAPACA,consulta externa,menores de 6 meses,2021-01-01,21,14,2,0,23,14,37
MINEROS,consulta externa,menores de 6 meses,2021-01-01,13,12,5,1,18,13,31
MIZQUE,consulta externa,menores de 6 meses,2021-01-01,39,47,2,0,41,47,88
MOCOMOCO,consulta externa,menores de 6 meses,2021-01-01,24,23,5,4,29,27,56
MOJINETE,consulta externa,menores de 6 meses,2021-01-01,2,4,3,1,5,5,10
MOJOCOYA,consulta externa,menores de 6 meses,2021-01-01,15,7,7,2,22,9,31
MONTEAGUDO,consulta externa,menores de 6 meses,2021-01-01,42,52,14,15,56,67,123
MONTERO,consulta externa,menores de 6 meses,2021-01-01,531,445,90,103,621,548,1169
MORO MORO,consulta externa,menores de 6 meses,2021-01-01,1,2,0,0,1,2,3
MOROCHATA,consulta externa,menores de 6 meses,2021-01-01,14,12,0,0,14,12,26
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2021-01-01,6,2,0,0,6,2,8
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2021-01-01,2,1,2,4,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2021-01-01,8,6,0,0,8,6,14
OCURI,consulta externa,menores de 6 meses,2021-01-01,13,12,0,0,13,12,25
OKINAWA,consulta externa,menores de 6 meses,2021-01-01,15,21,3,4,18,25,43
OMEREQUE,consulta externa,menores de 6 meses,2021-01-01,14,14,2,1,16,15,31
ORURO,consulta externa,menores de 6 meses,2021-01-01,608,642,189,211,797,853,1650
PADCAYA,consulta externa,menores de 6 meses,2021-01-01,41,48,13,12,54,60,114
PADILLA,consulta externa,menores de 6 meses,2021-01-01,25,19,5,3,30,22,52
PAILON,consulta externa,menores de 6 meses,2021-01-01,72,50,8,3,80,53,133
PALCA,consulta externa,menores de 6 meses,2021-01-01,25,29,1,1,26,30,56
PALOS BLANCOS,consulta externa,menores de 6 meses,2021-01-01,54,65,10,18,64,83,147
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2021-01-01,2,6,0,0,2,6,8
PAMPA GRANDE,consulta externa,menores de 6 meses,2021-01-01,12,9,0,1,12,10,22
PAPEL PAMPA,consulta externa,menores de 6 meses,2021-01-01,6,6,1,1,7,7,14
PASORAPA,consulta externa,menores de 6 meses,2021-01-01,7,3,0,0,7,3,10
PATACAMAYA,consulta externa,menores de 6 meses,2021-01-01,89,55,0,0,89,55,144
PAZÑA,consulta externa,menores de 6 meses,2021-01-01,7,10,1,0,8,10,18
PELECHUCO,consulta externa,menores de 6 meses,2021-01-01,22,19,2,1,24,20,44
POCOATA,consulta externa,menores de 6 meses,2021-01-01,17,18,0,0,17,18,35
POCONA,consulta externa,menores de 6 meses,2021-01-01,21,23,0,1,21,24,45
POJO (CBBA),consulta externa,menores de 6 meses,2021-01-01,19,13,1,4,20,17,37
POOPO,consulta externa,menores de 6 meses,2021-01-01,4,11,0,0,4,11,15
PORCO,consulta externa,menores de 6 meses,2021-01-01,16,10,0,0,16,10,26
POROMA,consulta externa,menores de 6 meses,2021-01-01,28,19,1,0,29,19,48
PORONGO,consulta externa,menores de 6 meses,2021-01-01,14,16,1,3,15,19,34
PORTACHUELO,consulta externa,menores de 6 meses,2021-01-01,16,13,0,0,16,13,29
PORVENIR,consulta externa,menores de 6 meses,2021-01-01,4,8,0,0,4,8,12
POSTRER VALLE,consulta externa,menores de 6 meses,2021-01-01,2,1,0,0,2,1,3
POTOSI,consulta externa,menores de 6 meses,2021-01-01,725,621,129,104,854,725,1579
PRESTO,consulta externa,menores de 6 meses,2021-01-01,9,8,0,0,9,8,17
PUCARA,consulta externa,menores de 6 meses,2021-01-01,6,2,0,0,6,2,8
PUCARANI,consulta externa,menores de 6 meses,2021-01-01,23,29,10,7,33,36,69
PUERTO ACOSTA,consulta externa,menores de 6 meses,2021-01-01,12,14,1,2,13,16,29
PUERTO CARABUCO,consulta externa,menores de 6 meses,2021-01-01,15,14,3,5,18,19,37
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2021-01-01,27,22,6,9,33,31,64
PUERTO PEREZ,consulta externa,menores de 6 meses,2021-01-01,2,3,0,0,2,3,5
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2021-01-01,16,16,3,1,19,17,36
PUERTO RICO,consulta externa,menores de 6 meses,2021-01-01,8,13,1,0,9,13,22
PUERTO SILES,consulta externa,menores de 6 meses,2021-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,consulta externa,menores de 6 meses,2021-01-01,11,14,1,0,12,14,26
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2021-01-01,245,237,42,28,287,265,552
PUNA,consulta externa,menores de 6 meses,2021-01-01,15,24,0,0,15,24,39
PUNATA,consulta externa,menores de 6 meses,2021-01-01,81,99,12,5,93,104,197
QUIABAYA,consulta externa,menores de 6 meses,2021-01-01,4,6,2,4,6,10,16
QUILLACOLLO,consulta externa,menores de 6 meses,2021-01-01,374,352,119,101,493,453,946
QUIME,consulta externa,menores de 6 meses,2021-01-01,7,6,0,0,7,6,13
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2021-01-01,11,16,0,1,11,17,28
RAVELO,consulta externa,menores de 6 meses,2021-01-01,11,17,0,0,11,17,28
REYES,consulta externa,menores de 6 meses,2021-01-01,9,10,0,0,9,10,19
RIBERALTA,consulta externa,menores de 6 meses,2021-01-01,282,286,42,31,324,317,641
ROBORE,consulta externa,menores de 6 meses,2021-01-01,17,23,2,0,19,23,42
RURRENABAQUE,consulta externa,menores de 6 meses,2021-01-01,20,24,1,0,21,24,45
SABAYA,consulta externa,menores de 6 meses,2021-01-01,4,5,1,1,5,6,11
SACABA,consulta externa,menores de 6 meses,2021-01-01,638,351,89,76,727,427,1154
SACABAMBA,consulta externa,menores de 6 meses,2021-01-01,8,6,0,1,8,7,15
SACACA,consulta externa,menores de 6 meses,2021-01-01,20,24,0,0,20,24,44
SAIPINA,consulta externa,menores de 6 meses,2021-01-01,1,5,0,1,1,6,7
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2021-01-01,25,9,1,0,26,9,35
SAMAIPATA,consulta externa,menores de 6 meses,2021-01-01,6,12,2,7,8,19,27
SAN AGUSTIN,consulta externa,menores de 6 meses,2021-01-01,4,3,0,0,4,3,7
SAN ANDRES,consulta externa,menores de 6 meses,2021-01-01,11,21,0,1,11,22,33
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2021-01-01,11,7,1,0,12,7,19
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2021-01-01,3,2,0,0,3,2,5
SAN BENITO,consulta externa,menores de 6 meses,2021-01-01,10,12,9,9,19,21,40
SAN BORJA,consulta externa,menores de 6 meses,2021-01-01,62,81,16,12,78,93,171
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2021-01-01,17,9,2,0,19,9,28
SAN CARLOS,consulta externa,menores de 6 meses,2021-01-01,20,14,2,2,22,16,38
SAN IGNACIO,consulta externa,menores de 6 meses,2021-01-01,40,50,7,5,47,55,102
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2021-01-01,101,100,3,3,104,103,207
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2021-01-01,9,9,0,0,9,9,18
SAN JAVIER(STC),consulta externa,menores de 6 meses,2021-01-01,23,20,3,0,26,20,46
SAN JOAQUIN,consulta externa,menores de 6 meses,2021-01-01,9,11,0,0,9,11,20
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2021-01-01,13,22,1,1,14,23,37
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2021-01-01,9,10,3,1,12,11,23
SAN JULIAN,consulta externa,menores de 6 meses,2021-01-01,108,108,26,25,134,133,267
SAN LORENZO(PND),consulta externa,menores de 6 meses,2021-01-01,12,11,1,0,13,11,24
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2021-01-01,28,36,1,4,29,40,69
SAN LUCAS,consulta externa,menores de 6 meses,2021-01-01,64,60,1,3,65,63,128
SAN MATIAS,consulta externa,menores de 6 meses,2021-01-01,14,20,0,1,14,21,35
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2021-01-01,19,17,1,3,20,20,40
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2021-01-01,5,4,0,0,5,4,9
SAN PEDRO,consulta externa,menores de 6 meses,2021-01-01,24,24,3,7,27,31,58
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2021-01-01,29,24,1,1,30,25,55
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2021-01-01,10,2,1,0,11,2,13
SAN PEDRO DE MACHA,consulta externa,menores de 6 meses,2021-01-01,27,18,0,0,27,18,45
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2021-01-01,2,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2021-01-01,6,6,4,2,10,8,18
SAN PEDRO(PND),consulta externa,menores de 6 meses,2021-01-01,3,3,0,0,3,3,6
SAN RAFAEL,consulta externa,menores de 6 meses,2021-01-01,7,8,4,3,11,11,22
SAN RAMON BENI,consulta externa,menores de 6 meses,2021-01-01,8,6,0,0,8,6,14
SAN RAMON SCZ,consulta externa,menores de 6 meses,2021-01-01,3,6,1,1,4,7,11
SANTA ANA,consulta externa,menores de 6 meses,2021-01-01,36,33,39,33,75,66,141
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2021-01-01,3296,3046,565,517,3861,3563,7424
SANTA ROSA,consulta externa,menores de 6 meses,2021-01-01,14,17,3,4,17,21,38
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2021-01-01,28,18,1,0,29,18,47
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2021-01-01,5,2,1,1,6,3,9
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2021-01-01,12,8,2,2,14,10,24
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2021-01-01,6,1,0,0,6,1,7
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2021-01-01,3,1,1,0,4,1,5
SANTIVAÑES,consulta externa,menores de 6 meses,2021-01-01,8,9,1,6,9,15,24
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2021-01-01,0,1,0,0,0,1,1
SAPAHAQUI,consulta externa,menores de 6 meses,2021-01-01,15,10,2,0,17,10,27
SENA,consulta externa,menores de 6 meses,2021-01-01,72,15,0,0,72,15,87
SHINAOTA,consulta externa,menores de 6 meses,2021-01-01,99,97,0,2,99,99,198
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2021-01-01,29,23,0,1,29,24,53
SICAYA,consulta externa,menores de 6 meses,2021-01-01,19,10,2,1,21,11,32
SIPE SIPE,consulta externa,menores de 6 meses,2021-01-01,96,96,47,46,143,142,285
SOPACHUY,consulta externa,menores de 6 meses,2021-01-01,25,34,2,7,27,41,68
SORACACHI,consulta externa,menores de 6 meses,2021-01-01,16,9,0,0,16,9,25
SORATA,consulta externa,menores de 6 meses,2021-01-01,61,40,2,2,63,42,105
SUCRE,consulta externa,menores de 6 meses,2021-01-01,698,646,106,89,804,735,1539
TACACHI,consulta externa,menores de 6 meses,2021-01-01,3,2,0,0,3,2,5
TACACOMA,consulta externa,menores de 6 meses,2021-01-01,24,13,0,0,24,13,37
TACOBAMBA,consulta externa,menores de 6 meses,2021-01-01,10,6,0,0,10,6,16
TACOPAYA,consulta externa,menores de 6 meses,2021-01-01,11,8,1,0,12,8,20
TAHUA,consulta externa,menores de 6 meses,2021-01-01,4,4,0,0,4,4,8
TAPACARI,consulta externa,menores de 6 meses,2021-01-01,27,31,0,0,27,31,58
TARABUCO,consulta externa,menores de 6 meses,2021-01-01,45,49,0,0,45,49,94
TARACO,consulta externa,menores de 6 meses,2021-01-01,2,11,1,0,3,11,14
TARATA,consulta externa,menores de 6 meses,2021-01-01,7,7,5,3,12,10,22
TARIJA,consulta externa,menores de 6 meses,2021-01-01,465,479,126,136,591,615,1206
TARVITA,consulta externa,menores de 6 meses,2021-01-01,49,59,0,1,49,60,109
TEOPONTE,consulta externa,menores de 6 meses,2021-01-01,19,32,6,5,25,37,62
TIAHUANACU,consulta externa,menores de 6 meses,2021-01-01,8,8,1,1,9,9,18
TINGUIPAYA,consulta externa,menores de 6 meses,2021-01-01,24,18,0,0,24,18,42
TIPUANI,consulta externa,menores de 6 meses,2021-01-01,30,22,5,0,35,22,57
TIQUIPAYA,consulta externa,menores de 6 meses,2021-01-01,195,193,27,18,222,211,433
TIRAQUE (CBBA),consulta externa,menores de 6 meses,2021-01-01,49,40,26,19,75,59,134
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 6 meses,2021-01-01,1,3,0,0,1,3,4
TOCO,consulta externa,menores de 6 meses,2021-01-01,11,10,7,2,18,12,30
TODOS SANTOS,consulta externa,menores de 6 meses,2021-01-01,2,0,0,0,2,0,2
TOLATA,consulta externa,menores de 6 meses,2021-01-01,19,14,2,0,21,14,35
TOLEDO,consulta externa,menores de 6 meses,2021-01-01,4,5,0,0,4,5,9
TOMAVE,consulta externa,menores de 6 meses,2021-01-01,18,21,1,1,19,22,41
TOMINA,consulta externa,menores de 6 meses,2021-01-01,16,19,0,1,16,20,36
TORO TORO,consulta externa,menores de 6 meses,2021-01-01,13,7,0,0,13,7,20
TOTORA(CBBA),consulta externa,menores de 6 meses,2021-01-01,39,32,1,2,40,34,74
TOTORA(ORR),consulta externa,menores de 6 meses,2021-01-01,8,10,0,0,8,10,18
TRIGAL,consulta externa,menores de 6 meses,2021-01-01,4,3,0,1,4,4,8
TRINIDAD,consulta externa,menores de 6 meses,2021-01-01,243,163,22,14,265,177,442
TUPIZA,consulta externa,menores de 6 meses,2021-01-01,87,112,26,29,113,141,254
