,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,12,0,0,11,12,23
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,13,1,2,5,15,20
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,60,57,3,0,63,57,120
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,32,0,1,25,33,58
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,13,1,5,8,18,26
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,1,0,2,12,3,15
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,1,0,0,3,1,4
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,2,0,0,1,2,3
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,6,0,2,9,8,17
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,97,91,8,7,105,98,203
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,39,0,1,40,40,80
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,6,9,4,20,10,30
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,3,0,0,0,3,3
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,19,0,0,9,19,28
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,16,4,1,25,17,42
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,47,53,4,4,51,57,108
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,35,16,0,3,35,19,54
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,14,0,0,16,14,30
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,26,28,4,4,30,32,62
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,5,2,1,8,6,14
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,12,0,1,14,13,27
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,16,0,11,21,27,48
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,2,0,0,1,2,3
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,47,73,15,9,62,82,144
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,37,53,1,4,38,57,95
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,12,2,3,10,15,25
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,46,50,2,2,48,52,100
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,121,103,45,45,166,148,314
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,1,0,0,0,1,1
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,47,39,6,1,53,40,93
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,7,2,0,12,7,19
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,4,0,0,2,4,6
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,3,4,1,9,4,13
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,0,0,0,3,0,3
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,34,1,1,22,35,57
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,15,0,1,12,16,28
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,105,94,5,6,110,100,210
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,2,0,1,2,3,5
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,20,33,0,2,20,35,55
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,126,99,2,0,128,99,227
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,4,1,0,15,4,19
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,0,0,0,2,0,2
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,4,5,1,9,5,14
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,27,13,13,34,40,74
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,19,15,0,0,19,15,34
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,1,0,3,10,4,14
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,27,25,1,0,28,25,53
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,31,41,8,4,39,45,84
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,71,68,16,20,87,88,175
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,44,58,2,3,46,61,107
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1248,1218,358,428,1606,1646,3252
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,1,3,1,4,2,6
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,61,48,49,88,110,198
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,18,13,0,0,18,13,31
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,1,0,0,0,1,1
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,35,32,7,6,42,38,80
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,17,3,1,11,18,29
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,13,15,0,0,13,15,28
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,13,7,5,28,18,46
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,10,0,0,17,10,27
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,3,0,0,2,3,5
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,27,21,1,1,28,22,50
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,1,0,0,1,1,2
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,41,26,4,5,45,31,76
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,1,1,0,8,1,9
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,43,28,7,3,50,31,81
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,15,0,0,14,15,29
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,27,21,11,10,38,31,69
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,5,2,5,12,10,22
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,33,39,6,3,39,42,81
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,52,52,5,5,57,57,114
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,22,29,6,3,28,32,60
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,5,0,0,3,5,8
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,22,16,2,0,24,16,40
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,17,0,1,17,18,35
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,2,1,0,6,2,8
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,1,0,1,2,2,4
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,3,4,5,7,8,15
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1391,1453,745,669,2136,2122,4258
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,3,1,0,3,3,6
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,13,0,1,16,14,30
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,23,4,3,18,26,44
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,136,145,91,107,227,252,479
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,12,0,0,14,12,26
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,37,0,3,40,40,80
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,133,123,24,24,157,147,304
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,7,4,0,15,7,22
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,5,0,0,3,5,8
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,4,0,1,0,5,5
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,6,0,0,12,6,18
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,20,9,12,5,32,14,46
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,11,0,0,25,11,36
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,31,6,1,46,32,78
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,13,22,4,6,17,28,45
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,23,15,6,36,29,65
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,3,0,3,4,6,10
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,69,48,8,9,77,57,134
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,30,31,0,1,30,32,62
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,5,4,7,12,12,24
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,4,0,1,4,5,9
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,2,0,0,2,2,4
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,22,6,3,31,25,56
HUARACAJE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,3,2,1,8,4,12
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,8,15,10,24,18,42
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,2,2,5,2,7,9
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,6,1,2,7,8,15
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,3,12,0,19,3,22
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,13,14,0,0,13,14,27
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,3,7,4,19,7,26
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,35,26,1,2,36,28,64
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,7,0,0,2,7,9
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,23,21,0,2,23,23,46
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,44,33,6,3,50,36,86
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,30,37,1,3,31,40,71
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,15,10,16,19,31,50
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,121,99,20,10,141,109,250
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,199,246,170,101,369,347,716
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,930,852,326,344,1256,1196,2452
LA RIVERA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,1,0,0,0,1,1
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,35,23,6,4,41,27,68
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,19,18,3,5,22,23,45
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,10,0,0,3,10,13
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,3,0,0,2,3,5
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,78,66,3,0,81,66,147
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,3,1,1,6,4,10
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,6,2,0,12,6,18
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,12,3,1,17,13,30
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,11,0,0,12,11,23
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,11,0,1,7,12,19
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,11,5,2,13,13,26
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,4,0,0,5,4,9
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,7,0,0,3,7,10
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,18,20,9,5,27,25,52
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,11,0,0,21,11,32
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,25,8,5,29,30,59
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,34,29,3,1,37,30,67
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,23,10,7,2,30,12,42
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,2,0,1,1,3,4
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,15,15,7,3,22,18,40
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,47,30,17,13,64,43,107
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,280,218,63,46,343,264,607
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,2,0,0,4,2,6
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,18,18,0,0,18,18,36
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,2,0,0,9,2,11
NAZACARA DE PACAJES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,0,3,2,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,10,1,0,5,10,15
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,24,14,0,0,24,14,38
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,15,2,0,19,15,34
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,22,13,2,2,24,15,39
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,352,328,57,53,409,381,790
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,63,6,7,46,70,116
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,20,2,2,16,22,38
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,48,37,7,4,55,41,96
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,22,21,0,0,22,21,43
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,41,41,7,8,48,49,97
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,5,0,0,4,5,9
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,9,2,0,11,9,20
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,15,5,2,12,17,29
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,10,0,0,12,10,22
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,45,60,0,0,45,60,105
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,4,0,0,4,4,8
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,16,3,2,28,18,46
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,18,17,0,1,18,18,36
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,7,2,1,13,8,21
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,12,2,3,13,15,28
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,1,0,1,8,2,10
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,13,1,0,17,13,30
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,23,0,0,16,23,39
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,16,0,0,10,16,26
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,17,0,0,8,17,25
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,13,3,1,10,14,24
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,271,260,15,23,286,283,569
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,9,0,0,12,9,21
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,0,0,1,1,1,2
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,46,26,12,13,58,39,97
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,10,4,2,15,12,27
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,10,6,4,18,14,32
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,27,31,11,11,38,42,80
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,4,0,0,6,4,10
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,34,20,4,4,38,24,62
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,19,0,1,17,20,37
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,0,0,0,3,0,3
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,15,0,0,21,15,36
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,279,283,28,30,307,313,620
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,15,0,1,14,16,30
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,45,38,8,14,53,52,105
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,4,0,3,2,7,9
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,293,288,121,110,414,398,812
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,10,0,0,7,10,17
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,1,0,0,0,1,0,1
RAQAYPAMPA(ETA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,19,17,2,0,21,17,38
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,22,14,1,1,23,15,38
REYES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,23,0,0,10,23,33
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,250,273,36,46,286,319,605
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,14,5,5,22,19,41
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,46,27,0,3,46,30,76
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,8,1,2,5,10,15
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,291,263,65,62,356,325,681
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,7,1,0,6,7,13
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,31,29,0,0,31,29,60
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,14,1,0,17,14,31
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,11,1,0,15,11,26
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,10,10,5,17,15,32
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,5,0,0,2,5,7
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,20,25,3,1,23,26,49
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,5,1,3,4,8,12
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,2,2,0,0,2,2,4
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,8,0,1,6,9,15
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,12,13,10,11,22,24,46
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,125,103,18,19,143,122,265
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,17,24,0,0,17,24,41
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,26,5,1,30,27,57
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,47,66,13,17,60,83,143
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,159,152,5,3,164,155,319
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,15,14,0,0,15,14,29
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,33,35,1,3,34,38,72
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,14,11,0,0,14,11,25
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,18,5,3,26,21,47
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,13,16,2,1,15,17,32
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,101,138,13,13,114,151,265
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,4,0,0,4,4,8
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,31,35,2,1,33,36,69
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,56,58,2,4,58,62,120
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,25,20,0,1,25,21,46
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,16,12,2,2,18,14,32
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,3,0,0,4,3,7
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,40,30,4,9,44,39,83
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,39,33,4,4,43,37,80
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,3,0,0,7,3,10
SAN PEDRO DE MACHA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,37,35,0,0,37,35,72
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,6,3,3,5,9,8,17
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,4,0,0,4,4,8
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,15,7,1,1,16,8,24
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,9,16,1,1,10,17,27
SAN RAMON SCZ,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,4,0,0,3,4,7
SANTA ANA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,30,23,34,32,64,55,119
