,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2021-01-01,597,656,27,27,624,683,1307
AZURDUY,consulta externa,personas de 60 anos y mas,2021-01-01,106,170,10,18,116,188,304
BATALLAS,consulta externa,personas de 60 anos y mas,2021-01-01,153,174,94,65,247,239,486
BAURES,consulta externa,personas de 60 anos y mas,2021-01-01,148,151,15,11,163,162,325
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,108,136,3,7,111,143,254
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2021-01-01,64,69,1,2,65,71,136
BELLA FLOR,consulta externa,personas de 60 anos y mas,2021-01-01,29,15,30,29,59,44,103
BERMEJO,consulta externa,personas de 60 anos y mas,2021-01-01,677,692,92,101,769,793,1562
BETANZOS,consulta externa,personas de 60 anos y mas,2021-01-01,1060,1187,38,44,1098,1231,2329
BOLIVAR,consulta externa,personas de 60 anos y mas,2021-01-01,71,55,16,16,87,71,158
BOLPEBRA,consulta externa,personas de 60 anos y mas,2021-01-01,20,13,1,2,21,15,36
BOYUIBE,consulta externa,personas de 60 anos y mas,2021-01-01,44,60,82,110,126,170,296
BUENA VISTA,consulta externa,personas de 60 anos y mas,2021-01-01,205,185,22,29,227,214,441
CABEZAS,consulta externa,personas de 60 anos y mas,2021-01-01,301,290,63,61,364,351,715
CAIROMA,consulta externa,personas de 60 anos y mas,2021-01-01,188,153,10,12,198,165,363
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2021-01-01,386,619,1,3,387,622,1009
CAJUATA,consulta externa,personas de 60 anos y mas,2021-01-01,159,111,5,5,164,116,280
CALACOTO,consulta externa,personas de 60 anos y mas,2021-01-01,327,372,33,42,360,414,774
CALAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,221,254,6,6,227,260,487
CAMARGO,consulta externa,personas de 60 anos y mas,2021-01-01,288,393,105,137,393,530,923
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2021-01-01,204,263,1,1,205,264,469
CAMIRI,consulta externa,personas de 60 anos y mas,2021-01-01,647,763,304,367,951,1130,2081
CAPINOTA,consulta externa,personas de 60 anos y mas,2021-01-01,271,340,63,74,334,414,748
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2021-01-01,359,383,23,37,382,420,802
CARACOLLO,consulta externa,personas de 60 anos y mas,2021-01-01,359,415,46,50,405,465,870
CARANAVI,consulta externa,personas de 60 anos y mas,2021-01-01,683,457,254,176,937,633,1570
CARANGAS,consulta externa,personas de 60 anos y mas,2021-01-01,24,30,0,0,24,30,54
CARAPARI,consulta externa,personas de 60 anos y mas,2021-01-01,228,299,68,74,296,373,669
CARIPUYO,consulta externa,personas de 60 anos y mas,2021-01-01,215,280,0,2,215,282,497
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2021-01-01,113,66,2,2,115,68,183
CATACORA,consulta externa,personas de 60 anos y mas,2021-01-01,73,73,2,4,75,77,152
CHACARILLA,consulta externa,personas de 60 anos y mas,2021-01-01,79,82,1,3,80,85,165
CHALLAPATA,consulta externa,personas de 60 anos y mas,2021-01-01,840,921,60,71,900,992,1892
CHAQUI,consulta externa,personas de 60 anos y mas,2021-01-01,474,657,0,8,474,665,1139
CHARAGUA,consulta externa,personas de 60 anos y mas,2021-01-01,387,398,49,59,436,457,893
CHARAÑA,consulta externa,personas de 60 anos y mas,2021-01-01,93,102,14,25,107,127,234
CHAYANTA,consulta externa,personas de 60 anos y mas,2021-01-01,230,348,1,2,231,350,581
CHIMORE,consulta externa,personas de 60 anos y mas,2021-01-01,330,277,9,10,339,287,626
CHIPAYA,consulta externa,personas de 60 anos y mas,2021-01-01,110,99,3,0,113,99,212
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2021-01-01,54,99,6,9,60,108,168
CHUA COCANI,consulta externa,personas de 60 anos y mas,2021-01-01,55,51,28,17,83,68,151
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2021-01-01,99,83,50,39,149,122,271
CHUMA,consulta externa,personas de 60 anos y mas,2021-01-01,425,406,45,47,470,453,923
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2021-01-01,46,72,9,18,55,90,145
CKOCHAS,consulta externa,personas de 60 anos y mas,2021-01-01,508,642,4,3,512,645,1157
CLIZA,consulta externa,personas de 60 anos y mas,2021-01-01,291,394,77,92,368,486,854
COBIJA,consulta externa,personas de 60 anos y mas,2021-01-01,334,310,270,268,604,578,1182
COCAPATA,consulta externa,personas de 60 anos y mas,2021-01-01,359,387,7,12,366,399,765
COCHABAMBA,consulta externa,personas de 60 anos y mas,2021-01-01,9995,11004,7966,9587,17961,20591,38552
COIPASA,consulta externa,personas de 60 anos y mas,2021-01-01,23,33,1,3,24,36,60
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2021-01-01,370,516,169,266,539,782,1321
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2021-01-01,291,396,10,18,301,414,715
COLLANA,consulta externa,personas de 60 anos y mas,2021-01-01,56,75,2,8,58,83,141
COLOMI,consulta externa,personas de 60 anos y mas,2021-01-01,157,179,105,139,262,318,580
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2021-01-01,109,175,17,15,126,190,316
COLQUECHACA,consulta externa,personas de 60 anos y mas,2021-01-01,379,465,0,1,379,466,845
COLQUENCHA,consulta externa,personas de 60 anos y mas,2021-01-01,157,149,29,31,186,180,366
COLQUIRI,consulta externa,personas de 60 anos y mas,2021-01-01,323,300,22,22,345,322,667
COMANCHE,consulta externa,personas de 60 anos y mas,2021-01-01,67,37,8,2,75,39,114
COMARAPA,consulta externa,personas de 60 anos y mas,2021-01-01,207,286,53,68,260,354,614
COMBAYA,consulta externa,personas de 60 anos y mas,2021-01-01,117,100,37,38,154,138,292
CONCEPCION,consulta externa,personas de 60 anos y mas,2021-01-01,155,133,46,49,201,182,383
COPACABANA,consulta externa,personas de 60 anos y mas,2021-01-01,194,214,37,36,231,250,481
CORIPATA,consulta externa,personas de 60 anos y mas,2021-01-01,217,152,23,19,240,171,411
CORO CORO,consulta externa,personas de 60 anos y mas,2021-01-01,222,224,20,22,242,246,488
COROICO,consulta externa,personas de 60 anos y mas,2021-01-01,181,128,115,65,296,193,489
CORQUE,consulta externa,personas de 60 anos y mas,2021-01-01,212,255,15,29,227,284,511
COTAGAITA,consulta externa,personas de 60 anos y mas,2021-01-01,900,1389,98,137,998,1526,2524
COTOCA,consulta externa,personas de 60 anos y mas,2021-01-01,622,665,75,114,697,779,1476
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,18,18,1,2,19,20,39
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2021-01-01,236,197,53,44,289,241,530
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2021-01-01,41,53,0,0,41,53,94
CUEVO,consulta externa,personas de 60 anos y mas,2021-01-01,110,121,11,26,121,147,268
CULPINA,consulta externa,personas de 60 anos y mas,2021-01-01,287,367,20,42,307,409,716
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2021-01-01,123,133,7,18,130,151,281
CURVA,consulta externa,personas de 60 anos y mas,2021-01-01,35,34,1,3,36,37,73
DESAGUADERO,consulta externa,personas de 60 anos y mas,2021-01-01,65,60,27,29,92,89,181
EL ALTO,consulta externa,personas de 60 anos y mas,2021-01-01,3780,3885,3030,3257,6810,7142,13952
EL CHORO,consulta externa,personas de 60 anos y mas,2021-01-01,169,161,3,2,172,163,335
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2021-01-01,193,146,24,17,217,163,380
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2021-01-01,282,392,19,35,301,427,728
EL TORNO,consulta externa,personas de 60 anos y mas,2021-01-01,1009,933,452,512,1461,1445,2906
EL VILLAR,consulta externa,personas de 60 anos y mas,2021-01-01,212,284,0,1,212,285,497
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2021-01-01,350,423,105,156,455,579,1034
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2021-01-01,394,355,45,39,439,394,833
ESCARA,consulta externa,personas de 60 anos y mas,2021-01-01,42,58,10,12,52,70,122
ESCOMA,consulta externa,personas de 60 anos y mas,2021-01-01,118,91,24,13,142,104,246
ESMERALDA,consulta externa,personas de 60 anos y mas,2021-01-01,44,42,1,1,45,43,88
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2021-01-01,127,134,2,0,129,134,263
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2021-01-01,18,12,6,12,24,24,48
EXALTACION,consulta externa,personas de 60 anos y mas,2021-01-01,32,18,3,0,35,18,53
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2021-01-01,90,88,67,63,157,151,308
FILADELFIA,consulta externa,personas de 60 anos y mas,2021-01-01,92,71,66,38,158,109,267
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2021-01-01,223,210,26,23,249,233,482
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2021-01-01,223,209,27,31,250,240,490
GUANAY,consulta externa,personas de 60 anos y mas,2021-01-01,89,69,84,52,173,121,294
GUAQUI,consulta externa,personas de 60 anos y mas,2021-01-01,165,164,14,25,179,189,368
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2021-01-01,326,337,40,40,366,377,743
GUTIERREZ,consulta externa,personas de 60 anos y mas,2021-01-01,187,263,30,47,217,310,527
HUACARETA,consulta externa,personas de 60 anos y mas,2021-01-01,186,269,12,22,198,291,489
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2021-01-01,77,109,4,12,81,121,202
HUACHACALLA,consulta externa,personas de 60 anos y mas,2021-01-01,47,80,13,28,60,108,168
HUANUNI,consulta externa,personas de 60 anos y mas,2021-01-01,414,443,78,78,492,521,1013
HUARACAJE,consulta externa,personas de 60 anos y mas,2021-01-01,123,127,14,9,137,136,273
HUARINA,consulta externa,personas de 60 anos y mas,2021-01-01,101,116,154,182,255,298,553
HUATAJATA,consulta externa,personas de 60 anos y mas,2021-01-01,46,40,28,17,74,57,131
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,224,247,19,24,243,271,514
HUMANATA,consulta externa,personas de 60 anos y mas,2021-01-01,36,48,91,74,127,122,249
ICHOCA,consulta externa,personas de 60 anos y mas,2021-01-01,112,83,19,17,131,100,231
ICLA,consulta externa,personas de 60 anos y mas,2021-01-01,74,154,47,65,121,219,340
INCAHUASI,consulta externa,personas de 60 anos y mas,2021-01-01,213,312,1,8,214,320,534
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2021-01-01,22,17,0,0,22,17,39
INQUISIVI,consulta externa,personas de 60 anos y mas,2021-01-01,221,170,11,12,232,182,414
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2021-01-01,355,285,62,60,417,345,762
IXIAMAS,consulta externa,personas de 60 anos y mas,2021-01-01,207,103,6,3,213,106,319
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2021-01-01,220,231,215,206,435,437,872
LA ASUNTA,consulta externa,personas de 60 anos y mas,2021-01-01,175,118,25,24,200,142,342
LA GUARDIA,consulta externa,personas de 60 anos y mas,2021-01-01,855,897,538,595,1393,1492,2885
LA PAZ,consulta externa,personas de 60 anos y mas,2021-01-01,8875,9567,6800,8746,15675,18313,33988
LA RIVERA,consulta externa,personas de 60 anos y mas,2021-01-01,9,20,1,0,10,20,30
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2021-01-01,94,113,24,32,118,145,263
LAJA,consulta externa,personas de 60 anos y mas,2021-01-01,166,199,119,125,285,324,609
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2021-01-01,71,142,0,0,71,142,213
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2021-01-01,86,82,14,8,100,90,190
LLALLAGUA,consulta externa,personas de 60 anos y mas,2021-01-01,492,707,106,86,598,793,1391
LLICA,consulta externa,personas de 60 anos y mas,2021-01-01,111,105,1,0,112,105,217
LORETO,consulta externa,personas de 60 anos y mas,2021-01-01,47,36,16,8,63,44,107
LURIBAY,consulta externa,personas de 60 anos y mas,2021-01-01,288,261,29,36,317,297,614
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,69,101,28,37,97,138,235
MACHARETI,consulta externa,personas de 60 anos y mas,2021-01-01,143,206,10,27,153,233,386
MAGDALENA,consulta externa,personas de 60 anos y mas,2021-01-01,115,116,46,75,161,191,352
MAIRANA,consulta externa,personas de 60 anos y mas,2021-01-01,49,57,59,69,108,126,234
MALLA,consulta externa,personas de 60 anos y mas,2021-01-01,73,77,1,1,74,78,152
MAPIRI,consulta externa,personas de 60 anos y mas,2021-01-01,167,105,20,23,187,128,315
MECAPACA,consulta externa,personas de 60 anos y mas,2021-01-01,160,119,25,12,185,131,316
MINEROS,consulta externa,personas de 60 anos y mas,2021-01-01,186,169,11,13,197,182,379
MIZQUE,consulta externa,personas de 60 anos y mas,2021-01-01,473,622,76,106,549,728,1277
MOCOMOCO,consulta externa,personas de 60 anos y mas,2021-01-01,297,298,107,122,404,420,824
MOJINETE,consulta externa,personas de 60 anos y mas,2021-01-01,29,38,7,10,36,48,84
MOJOCOYA,consulta externa,personas de 60 anos y mas,2021-01-01,228,298,95,109,323,407,730
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2021-01-01,475,608,63,112,538,720,1258
MONTERO,consulta externa,personas de 60 anos y mas,2021-01-01,1930,1878,671,639,2601,2517,5118
MORO MORO,consulta externa,personas de 60 anos y mas,2021-01-01,31,41,57,81,88,122,210
MOROCHATA,consulta externa,personas de 60 anos y mas,2021-01-01,274,245,2,1,276,246,522
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2021-01-01,42,15,29,17,71,32,103
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2021-01-01,15,16,1,1,16,17,33
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2021-01-01,24,13,7,3,31,16,47
OCURI,consulta externa,personas de 60 anos y mas,2021-01-01,456,478,5,6,461,484,945
OKINAWA,consulta externa,personas de 60 anos y mas,2021-01-01,111,103,65,54,176,157,333
OMEREQUE,consulta externa,personas de 60 anos y mas,2021-01-01,109,119,89,95,198,214,412
ORURO,consulta externa,personas de 60 anos y mas,2021-01-01,4092,13158,2887,2756,6979,15914,22893
PADCAYA,consulta externa,personas de 60 anos y mas,2021-01-01,374,465,105,132,479,597,1076
PADILLA,consulta externa,personas de 60 anos y mas,2021-01-01,219,298,0,0,219,298,517
PAILON,consulta externa,personas de 60 anos y mas,2021-01-01,241,236,65,57,306,293,599
PALCA,consulta externa,personas de 60 anos y mas,2021-01-01,390,334,4,13,394,347,741
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2021-01-01,259,208,96,76,355,284,639
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2021-01-01,82,68,5,8,87,76,163
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2021-01-01,80,83,110,132,190,215,405
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2021-01-01,137,119,62,60,199,179,378
PASORAPA,consulta externa,personas de 60 anos y mas,2021-01-01,174,181,7,5,181,186,367
PATACAMAYA,consulta externa,personas de 60 anos y mas,2021-01-01,218,180,30,32,248,212,460
PAZÑA,consulta externa,personas de 60 anos y mas,2021-01-01,141,125,10,10,151,135,286
PELECHUCO,consulta externa,personas de 60 anos y mas,2021-01-01,133,136,8,2,141,138,279
POCOATA,consulta externa,personas de 60 anos y mas,2021-01-01,745,995,6,2,751,997,1748
POCONA,consulta externa,personas de 60 anos y mas,2021-01-01,297,410,5,4,302,414,716
POJO (CBBA),consulta externa,personas de 60 anos y mas,2021-01-01,114,122,35,35,149,157,306
POOPO,consulta externa,personas de 60 anos y mas,2021-01-01,95,111,30,37,125,148,273
PORCO,consulta externa,personas de 60 anos y mas,2021-01-01,62,176,2,0,64,176,240
POROMA,consulta externa,personas de 60 anos y mas,2021-01-01,474,503,0,6,474,509,983
PORONGO,consulta externa,personas de 60 anos y mas,2021-01-01,162,144,156,129,318,273,591
PORTACHUELO,consulta externa,personas de 60 anos y mas,2021-01-01,64,71,2,1,66,72,138
PORVENIR,consulta externa,personas de 60 anos y mas,2021-01-01,47,53,77,73,124,126,250
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2021-01-01,48,36,30,27,78,63,141
POTOSI,consulta externa,personas de 60 anos y mas,2021-01-01,2187,2664,429,380,2616,3044,5660
PRESTO,consulta externa,personas de 60 anos y mas,2021-01-01,270,322,15,16,285,338,623
PUCARA,consulta externa,personas de 60 anos y mas,2021-01-01,25,25,54,62,79,87,166
PUCARANI,consulta externa,personas de 60 anos y mas,2021-01-01,416,437,134,155,550,592,1142
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2021-01-01,361,391,4,2,365,393,758
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2021-01-01,335,270,55,78,390,348,738
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2021-01-01,78,75,46,33,124,108,232
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2021-01-01,87,82,68,48,155,130,285
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2021-01-01,74,55,42,39,116,94,210
PUERTO RICO,consulta externa,personas de 60 anos y mas,2021-01-01,77,59,26,22,103,81,184
PUERTO SILES,consulta externa,personas de 60 anos y mas,2021-01-01,3,0,0,0,3,0,3
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2021-01-01,71,79,53,55,124,134,258
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2021-01-01,500,476,78,63,578,539,1117
PUNA,consulta externa,personas de 60 anos y mas,2021-01-01,775,1119,1,3,776,1122,1898
PUNATA,consulta externa,personas de 60 anos y mas,2021-01-01,510,616,693,991,1203,1607,2810
QUIABAYA,consulta externa,personas de 60 anos y mas,2021-01-01,106,96,3,2,109,98,207
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2021-01-01,1291,1557,904,1216,2195,2773,4968
QUIME,consulta externa,personas de 60 anos y mas,2021-01-01,183,138,7,8,190,146,336
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2021-01-01,31,41,26,31,57,72,129
RAQAYPAMPA(ETA),consulta externa,personas de 60 anos y mas,2021-01-01,208,259,2,4,210,263,473
RAVELO,consulta externa,personas de 60 anos y mas,2021-01-01,922,1024,0,1,922,1025,1947
REYES,consulta externa,personas de 60 anos y mas,2021-01-01,94,93,23,38,117,131,248
RIBERALTA,consulta externa,personas de 60 anos y mas,2021-01-01,904,1056,305,268,1209,1324,2533
ROBORE,consulta externa,personas de 60 anos y mas,2021-01-01,303,281,182,185,485,466,951
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2021-01-01,449,395,137,161,586,556,1142
SABAYA,consulta externa,personas de 60 anos y mas,2021-01-01,147,117,79,84,226,201,427
SACABA,consulta externa,personas de 60 anos y mas,2021-01-01,1087,1321,992,1180,2079,2501,4580
SACABAMBA,consulta externa,personas de 60 anos y mas,2021-01-01,125,172,53,71,178,243,421
SACACA,consulta externa,personas de 60 anos y mas,2021-01-01,518,644,4,0,522,644,1166
SAIPINA,consulta externa,personas de 60 anos y mas,2021-01-01,108,122,32,46,140,168,308
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2021-01-01,398,407,14,20,412,427,839
SAMAIPATA,consulta externa,personas de 60 anos y mas,2021-01-01,112,114,105,109,217,223,440
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2021-01-01,59,81,0,0,59,81,140
SAN ANDRES,consulta externa,personas de 60 anos y mas,2021-01-01,131,82,27,15,158,97,255
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2021-01-01,189,158,85,101,274,259,533
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2021-01-01,33,35,0,1,33,36,69
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2021-01-01,65,62,8,27,73,89,162
SAN BENITO,consulta externa,personas de 60 anos y mas,2021-01-01,136,216,96,138,232,354,586
SAN BORJA,consulta externa,personas de 60 anos y mas,2021-01-01,468,412,113,95,581,507,1088
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2021-01-01,97,97,8,18,105,115,220
SAN CARLOS,consulta externa,personas de 60 anos y mas,2021-01-01,223,194,55,57,278,251,529
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2021-01-01,168,143,42,48,210,191,401
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2021-01-01,818,742,292,319,1110,1061,2171
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2021-01-01,30,20,5,3,35,23,58
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2021-01-01,189,199,5,3,194,202,396
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2021-01-01,102,82,21,41,123,123,246
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2021-01-01,203,168,117,49,320,217,537
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2021-01-01,219,169,18,26,237,195,432
SAN JULIAN,consulta externa,personas de 60 anos y mas,2021-01-01,542,438,58,52,600,490,1090
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2021-01-01,44,44,14,11,58,55,113
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2021-01-01,207,356,33,59,240,415,655
SAN LUCAS,consulta externa,personas de 60 anos y mas,2021-01-01,983,1339,5,3,988,1342,2330
SAN MATIAS,consulta externa,personas de 60 anos y mas,2021-01-01,86,72,82,54,168,126,294
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2021-01-01,104,115,65,87,169,202,371
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2021-01-01,71,66,2,0,73,66,139
SAN PEDRO,consulta externa,personas de 60 anos y mas,2021-01-01,305,254,91,90,396,344,740
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2021-01-01,409,467,2,2,411,469,880
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2021-01-01,180,192,27,37,207,229,436
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2021-01-01,580,736,0,0,580,736,1316
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2021-01-01,27,44,0,1,27,45,72
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2021-01-01,97,95,133,152,230,247,477
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2021-01-01,36,18,7,2,43,20,63
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2021-01-01,97,78,47,31,144,109,253
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2021-01-01,48,71,7,7,55,78,133
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2021-01-01,40,53,22,18,62,71,133
SANTA ANA,consulta externa,personas de 60 anos y mas,2021-01-01,227,237,20,24,247,261,508
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2021-01-01,17223,16543,6314,7239,23537,23782,47319
SANTA ROSA,consulta externa,personas de 60 anos y mas,2021-01-01,149,169,24,49,173,218,391
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2021-01-01,469,362,9,18,478,380,858
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2021-01-01,313,325,15,21,328,346,674
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2021-01-01,333,376,14,25,347,401,748
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2021-01-01,152,178,40,35,192,213,405
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2021-01-01,139,180,6,15,145,195,340
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2021-01-01,175,296,17,54,192,350,542
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2021-01-01,103,138,2,5,105,143,248
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2021-01-01,214,173,11,7,225,180,405
SENA,consulta externa,personas de 60 anos y mas,2021-01-01,65,49,9,1,74,50,124
SHINAOTA,consulta externa,personas de 60 anos y mas,2021-01-01,305,307,22,14,327,321,648
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2021-01-01,444,426,72,67,516,493,1009
SICAYA,consulta externa,personas de 60 anos y mas,2021-01-01,63,81,80,90,143,171,314
SIPE SIPE,consulta externa,personas de 60 anos y mas,2021-01-01,352,529,196,291,548,820,1368
SOPACHUY,consulta externa,personas de 60 anos y mas,2021-01-01,170,256,4,1,174,257,431
SORACACHI,consulta externa,personas de 60 anos y mas,2021-01-01,353,408,8,11,361,419,780
SORATA,consulta externa,personas de 60 anos y mas,2021-01-01,494,467,79,98,573,565,1138
