,group,variable,month,13. 1 INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,13. 1 INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
MACHARETI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,2,0,2,2
MAGDALENA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,3,7,3,7,10
MAIRANA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,4,0,4,4
MIZQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,0,2,0,2
MONTEAGUDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,12,20,12,20,32
MONTERO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,41,155,41,155,196
OKINAWA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,0,1,0,1
OMEREQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
ORURO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,40,192,40,192,232
PADILLA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,13,32,13,32,45
PALOS BLANCOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,2,2,2,4
PATACAMAYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,3,0,3,3
POOPO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,3,6,3,6,9
PORTACHUELO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,5,0,5,5
POTOSI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,26,5,26,31
PUERTO GONZALO MORENO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
PUERTO QUIJARRO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,3,2,3,5
PUERTO SUAREZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,4,26,4,26,30
PUERTO VILLARROEL,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,20,1,20,21
PUNATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,3,30,3,30,33
QUILLACOLLO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,29,2,29,31
REYES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,4,4,4,4,8
RIBERALTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,7,82,7,82,89
RURRENABAQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,12,19,12,19,31
SACABA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,21,5,21,26
SACABAMBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,1,2,1,3
SAMAIPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,2,0,2,2
SAN BORJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,5,1,5,6
SAN BUENA VENTURA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,5,1,5,6
SAN CARLOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,8,15,8,15,23
SAN IGNACIO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,22,5,22,27
SAN JOSE DE CHIQUITOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,4,0,4,4
SAN JULIAN,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
SAN LUCAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,12,2,12,14
SAN MATIAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,0,2,0,2
SAN RAMON BENI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
SAN RAMON SCZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,48,92,48,92,140
SANTA ROSA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,2,5,2,7
SANTA ROSA DEL SARA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
SHINAOTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,4,0,4,4
SOPACHUY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
SUCRE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,13,79,13,79,92
TAPACARI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,0,2,0,2
TARABUCO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,13,5,13,18
TARIJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,144,76,144,76,220
TARVITA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,6,2,6,8
TIPUANI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
TOLEDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
TOTORA(CBBA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,3,1,3,4
TRINIDAD,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,5,0,5,5
TUPIZA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,6,37,6,37,43
UNCIA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,42,39,42,39,81
UYUNI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,9,1,9,10
VALLEGRANDE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,9,10,9,10,19
VILLA MONTES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,6,32,6,32,38
VILLA TUNARI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,10,6,10,6,16
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
VILLAZON,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,5,1,5,6
VINTO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,3,4,3,4,7
VITICHI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
WARNES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,23,0,23,23
YACUIBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,8,25,8,25,33
YAPACANI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,21,76,21,76,97
ACHACACHI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,6,0,6,6
ASCENCION DE GUARAYOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,12,2,12,14
ATOCHA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
AZURDUY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,1,4,1,5
BERMEJO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,7,17,7,17,24
BETANZOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,1,1,1,2
CAMIRI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,11,4,11,15
CAPINOTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
CARANAVI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,22,4,22,26
CHALLAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,7,2,7,9
CHARAGUA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,3,11,3,11,14
CHAYANTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,7,0,7,7
CHULUMANI (V. DE LA LIBERTAD),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,11,0,11,11
CLIZA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,3,0,3,3
COBIJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,27,190,27,190,217
COCAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
COCHABAMBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,31,247,31,247,278
COROICO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,3,3,3,3,6
COTAGAITA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
COTOCA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
CUATRO CAÑADAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,1,1,1,2
CULPINA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,0,1,0,1
EL ALTO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,84,348,84,348,432
EL VILLAR,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
ESCOMA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,10,0,10,10
FERNANDEZ ALONSO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,0,1,0,1
GENERAL SAAVEDRA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,1,1,1,2
GUAYARAMERIN,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,3,31,3,31,34
JESUS DE MACHACA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,0,1,0,1
LA GUARDIA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,6,1,6,1,7
LA PAZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,363,677,363,677,1040
LAS CARRERAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
MACHARETI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,1,1,1,2
MAGDALENA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,11,1,11,12
MAIRANA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
MONTEAGUDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,15,18,15,18,33
MONTERO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,48,146,48,146,194
ORURO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,61,170,61,170,231
PADILLA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,12,24,12,24,36
PATACAMAYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,1,1,1,2
POJO (CBBA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
POOPO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,5,2,5,2,7
PORTACHUELO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,4,0,4,4
POTOSI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,16,41,16,41,57
PUERTO GONZALO MORENO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,0,1,0,1
PUERTO RICO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,5,12,5,12,17
PUERTO SUAREZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,6,28,6,28,34
PUERTO VILLARROEL,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,13,1,13,14
PUNA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
PUNATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,25,1,25,26
QUILLACOLLO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,5,34,5,34,39
REYES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,3,1,3,4
RIBERALTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,6,72,6,72,78
RURRENABAQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,18,16,18,16,34
SACABA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,13,1,13,14
SACABAMBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,2,1,2,3
SAN BORJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,6,4,6,10
SAN BUENA VENTURA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,4,2,4,6
SAN CARLOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,3,0,3,0,3
SAN IGNACIO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,12,4,12,16
SAN JUAN DE YAPACANI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
SAN LUCAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,2,2,2,4
SAN MATIAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
SAN RAMON BENI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,741,1468,741,1468,2209
SANTA ROSA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,6,2,6,8
SANTA ROSA DEL SARA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
SICAYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,2,0,2,2
SOPACHUY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,0,2,0,2
SORATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,3,0,3,3
SUCRE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,278,82,278,82,360
TAPACARI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,2,1,2,3
TARABUCO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,4,12,4,12,16
TARIJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,126,139,126,139,265
TARVITA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,1,4,1,4,5
TOTORA(CBBA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,1,0,1,1
TRINIDAD,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,1,2,1,3
TUPIZA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,7,37,7,37,44
UNCIA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,24,39,24,39,63
UYUNI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,9,2,9,11
VALLEGRANDE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,6,4,6,4,10
VILLA MONTES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,7,28,7,28,35
VILLA TUNARI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,2,18,2,18,20
VILLAZON,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,5,13,5,13,18
YACUIBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,8,11,8,11,19
YAPACANI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-02-01,0,52,0,52,52
ACHACACHI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,4,0,4,4
ANZALDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,5,17,5,17,22
AYOPAYA (V. DE INDEPENDENCIA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
AZURDUY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,0,2,0,2
BERMEJO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,15,12,15,12,27
BETANZOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
BOYUIBE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
CABEZAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,3,2,3,5
CAMARGO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,11,1,11,12
CAMIRI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,3,12,3,12,15
CARANAVI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,6,22,6,22,28
CHALLAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,3,0,3,3
CHARAGUA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,8,16,8,16,24
CHULUMANI (V. DE LA LIBERTAD),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,5,12,5,12,17
CLIZA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
COBIJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,40,224,40,224,264
COCAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
COCHABAMBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,21,269,21,269,290
COIPASA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
COMARAPA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,3,0,3,3
CONCEPCION,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
COROICO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,5,6,5,6,11
COTOCA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,4,0,4,4
CUATRO CAÑADAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,4,6,4,6,10
CUEVO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
EL ALTO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,77,410,77,410,487
EL PUENTE(TJA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
EL TORNO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,51,59,51,59,110
EL VILLAR,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
ESCOMA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,4,8,4,8,12
GUAYARAMERIN,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,3,40,3,40,43
HUACARETA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
HUAYLLAMARCA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
ICLA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,2,2,2,4
IRUPANA (VILLA DE LANZA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,4,2,4,2,6
IXIAMAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,0,1,0,1
LA GUARDIA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,5,2,5,7
LA PAZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,339,576,339,576,915
LLALLAGUA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,3,2,3,5
MACHARETI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
MAGDALENA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,5,0,5,5
MAIRANA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,8,1,8,9
MIZQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,5,1,5,6
MOJOCOYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
MONTEAGUDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,11,21,11,21,32
MONTERO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,55,164,55,164,219
ORURO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,18,170,18,170,188
PADILLA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,8,31,8,31,39
PAILON,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
PALOS BLANCOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,2,1,2,3
PATACAMAYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
POCOATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,1,1,1,2
POCONA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
POJO (CBBA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,0,1,0,1
PORTACHUELO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,1,5,1,5,6
POTOSI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,11,26,11,26,37
PRESTO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,1,0,1,1
PUERTO RICO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
PUERTO SILES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,0,2,0,2
PUERTO SUAREZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,3,19,3,19,22
PUERTO VILLARROEL,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,5,19,5,19,24
PUNA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
PUNATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,7,32,7,32,39
QUIABAYA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,0,2,0,2,2
QUILLACOLLO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,5,32,5,32,37
REYES,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,2,4,2,4,6
RIBERALTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-03-01,94,244,94,244,338
