municipality,group,variable,month,AQV femenino,AQV femenino1,AQV femenino2,AQV femenino3,AQV femenino4,TOTAL
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,1,0,2
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,18,23,1,42
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,6,1,0,7
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,1,0,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,16,7,0,23
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,0,0,3
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,2,0,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,0,2,0,2
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,2,0,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,1,0,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,2,0,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,3,6,0,9
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,6,0,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,46,17,0,63
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,1,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,21,6,0,27
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,7,0,7
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,3,8,0,11
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,8,13,0,21
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,1,0,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,3,4,0,7
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,4,0,0,4
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,5,0,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,2,0,3
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,2,2,0,4
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,3,19,3,0,25
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,2,0,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,4,5,0,9
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,3,1,0,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,2,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,7,1,0,8
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,0,1,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,2,8,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,26,6,0,32
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,4,5,0,9
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,1,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,27,0,0,27
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,4,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,5,2,0,7
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,2,0,0,2
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,2,0,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,2,0,3
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-03-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,1,0,3
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,5,0,0,5
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,1,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,4,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,1,45,23,0,69
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,2,0,4
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,4,2,0,6
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,6,6,0,12
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,7,11,0,18
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,13,3,0,16
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,5,5,0,10
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,2,0,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,11,4,0,15
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,8,0,10
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,3,0,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,9,1,0,10
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,4,1,0,5
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,34,16,1,51
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,1,23,3,0,27
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,1,0,3
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,5,1,0,6
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,2,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,25,9,0,34
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,2,1,0,3
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,7,7,0,14
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-04-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,4,0,0,4
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,2,0,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,2,0,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,2,0,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,43,21,0,64
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,1,0,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,6,1,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,12,7,0,19
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,3,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,1,0,0,1
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,1,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,14,0,17
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,19,1,0,20
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,1,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,4,0,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,4,7,0,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,0,0,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,5,0,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,13,1,0,14
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,1,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,7,0,0,7
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,5,0,5
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,2,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,13,2,0,15
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,1,0,4
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,4,0,4
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,1,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,5,5,0,10
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,1,1,0,2
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,0,1,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,1,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,7,11,0,18
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,9,1,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,37,17,0,54
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,3,0,5
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,4,1,0,5
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,3,1,0,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,3,0,5
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,1,0,0,1
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-05-01,0,0,2,2,0,4
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,1,0,0,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,2,2,0,4
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,5,3,0,8
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,3,2,0,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,0,17,0,17
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,10,64,22,0,96
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,2,2,0,4
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,7,3,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,9,8,0,17
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,3,1,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,3,6,0,9
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,12,6,0,18
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,1,0,0,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,1,2,0,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-06-01,0,0,4,2,0,6
