municipality,group,variable,month,Implante subdérmico: Usuarias Continuas,Implante subdérmico: Usuarias Continuas1,Implante subdérmico: Usuarias Continuas2,Implante subdérmico: Usuarias Continuas3,Implante subdérmico: Usuarias Continuas4,TOTAL
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,6,38,28,0,72
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,2,3,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,4,0,0,5
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,3,6,1,0,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,4,25,1,0,30
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,2,1,0,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,8,1,0,10
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,26,1,0,28
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,2,0,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,2,1,0,4
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,4,0,0,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,4,0,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,4,1,0,5
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,5,3,0,8
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,2,1,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,5,1,0,7
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,0,4,2,0,6
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-02-01,0,1,0,0,0,1
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,2,0,0,2
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,2,2,0,0,4
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,9,0,0,10
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,2,5,1,0,8
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,3,2,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,3,20,13,0,36
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,2,8,10,0,0,20
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,0,1,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,1,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,7,34,5,1,47
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,2,2,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,23,2,0,25
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,26,4,0,31
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,12,1,0,14
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,1,1,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,2,1,0,0,3
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,6,0,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,90,58,0,149
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,10,3,0,13
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,1,2,0,0,3
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,0,1,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,2,9,0,0,11
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,0,1,0,0,1
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-03-01,0,5,8,0,0,13
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,0,1,0,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,2,0,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,7,14,0,0,21
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,3,8,3,0,14
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,2,1,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,5,25,27,0,57
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,4,21,4,0,29
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,1,1,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,2,7,2,0,11
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,2,2,3,1,0,8
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,7,38,4,0,49
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,1,12,0,0,13
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,8,1,0,9
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,1,3,1,0,5
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,7,38,6,0,51
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,2,2,0,4
TIAWANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,3,0,0,3
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,9,2,0,11
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,2,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,1,1,11,0,0,13
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,0,1,0,1
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-04-01,0,0,2,0,0,2
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,3,1,0,4
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,2,0,3
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,4,1,0,6
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,3,3,0,6
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,3,1,0,4
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,5,0,0,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,5,11,1,0,17
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,3,0,0,3
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,1,0,0,2
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,1,0,2
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,4,15,24,0,43
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,3,0,0,3
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,3,29,6,0,38
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,2,0,0,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,2,2,0,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,2,11,0,0,13
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,9,4,0,14
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,1,1,6,1,0,9
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,4,2,0,0,6
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,1,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,15,2,0,17
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,9,1,0,11
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,2,0,0,3
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,4,25,2,0,31
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,1,5,2,0,8
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,5,1,0,6
ZUDAÑEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-05-01,0,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,1,1,0,3
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,2,0,1,0,3
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,2,0,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,3,21,0,0,24
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,9,40,8,0,57
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,4,0,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,7,17,35,0,59
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,0,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,3,0,0,3
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,4,38,7,0,49
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,3,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,2,0,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,2,2,1,1,0,6
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,2,13,1,0,16
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,2,0,0,2
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,5,1,0,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,40,3,0,43
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,8,0,0,8
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,2,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,3,0,0,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,8,0,0,8
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,21,0,0,21
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,5,0,0,5
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,5,12,2,0,19
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,4,0,0,4
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,6,0,0,6
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,1,9,2,0,12
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,15,5,1,21
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2015-06-01,0,0,1,0,0,1
