municipality,group,variable,month,Otras actividades,TOTAL
CARACOLLO,otras actividades de enfermeria,otras actividades,2021-01-01,97,97
CARANAVI,otras actividades de enfermeria,otras actividades,2021-01-01,19538,19538
CARAPARI,otras actividades de enfermeria,otras actividades,2021-01-01,21,21
CARIPUYO,otras actividades de enfermeria,otras actividades,2021-01-01,21,21
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2021-01-01,20,20
CATACORA,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
CHALLAPATA,otras actividades de enfermeria,otras actividades,2021-01-01,5063,5063
CHAQUI,otras actividades de enfermeria,otras actividades,2021-01-01,14,14
CHARAGUA,otras actividades de enfermeria,otras actividades,2021-01-01,598,598
CHAYANTA,otras actividades de enfermeria,otras actividades,2021-01-01,64,64
CHIMORE,otras actividades de enfermeria,otras actividades,2021-01-01,1006,1006
CHIPAYA,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2021-01-01,1329,1329
CHUMA,otras actividades de enfermeria,otras actividades,2021-01-01,23,23
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
CKOCHAS,otras actividades de enfermeria,otras actividades,2021-01-01,20,20
CLIZA,otras actividades de enfermeria,otras actividades,2021-01-01,501,501
COBIJA,otras actividades de enfermeria,otras actividades,2021-01-01,52630,52630
COCAPATA,otras actividades de enfermeria,otras actividades,2021-01-01,77,77
COCHABAMBA,otras actividades de enfermeria,otras actividades,2021-01-01,182656,182656
COIPASA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2021-01-01,6127,6127
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2021-01-01,7,7
COLLANA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
COLOMI,otras actividades de enfermeria,otras actividades,2021-01-01,105,105
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
COLQUECHACA,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
COLQUENCHA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
COLQUIRI,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
COMANCHE,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
COMARAPA,otras actividades de enfermeria,otras actividades,2021-01-01,53,53
CONCEPCION,otras actividades de enfermeria,otras actividades,2021-01-01,38,38
COPACABANA,otras actividades de enfermeria,otras actividades,2021-01-01,22,22
CORIPATA,otras actividades de enfermeria,otras actividades,2021-01-01,17,17
CORO CORO,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
COROICO,otras actividades de enfermeria,otras actividades,2021-01-01,8442,8442
CORQUE,otras actividades de enfermeria,otras actividades,2021-01-01,250,250
COTAGAITA,otras actividades de enfermeria,otras actividades,2021-01-01,2833,2833
COTOCA,otras actividades de enfermeria,otras actividades,2021-01-01,6105,6105
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
CUATRO CAÑADAS,otras actividades de enfermeria,otras actividades,2021-01-01,145,145
CUEVO,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
CULPINA,otras actividades de enfermeria,otras actividades,2021-01-01,733,733
CURAHUARA DE CARANGAS,otras actividades de enfermeria,otras actividades,2021-01-01,26,26
CURVA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
DESAGUADERO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
EL ALTO,otras actividades de enfermeria,otras actividades,2021-01-01,347149,347149
EL CHORO,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
EL PUENTE(STC),otras actividades de enfermeria,otras actividades,2021-01-01,22,22
EL PUENTE(TJA),otras actividades de enfermeria,otras actividades,2021-01-01,4,4
EL TORNO,otras actividades de enfermeria,otras actividades,2021-01-01,13017,13017
EL VILLAR,otras actividades de enfermeria,otras actividades,2021-01-01,82,82
ENTRE RIOS TRJ,otras actividades de enfermeria,otras actividades,2021-01-01,2235,2235
ENTRE RIOS CBBA,otras actividades de enfermeria,otras actividades,2021-01-01,125,125
ESCOMA,otras actividades de enfermeria,otras actividades,2021-01-01,41,41
EUCALIPTUS,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
EXALTACION,otras actividades de enfermeria,otras actividades,2021-01-01,14,14
FERNANDEZ ALONSO,otras actividades de enfermeria,otras actividades,2021-01-01,16,16
FILADELFIA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
GENERAL SAAVEDRA,otras actividades de enfermeria,otras actividades,2021-01-01,45,45
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,otras actividades,2021-01-01,1,1
GUANAY,otras actividades de enfermeria,otras actividades,2021-01-01,352,352
GUAQUI,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
GUAYARAMERIN,otras actividades de enfermeria,otras actividades,2021-01-01,107112,107112
GUTIERREZ,otras actividades de enfermeria,otras actividades,2021-01-01,33,33
HUACARETA,otras actividades de enfermeria,otras actividades,2021-01-01,53,53
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,otras actividades,2021-01-01,44,44
HUACHACALLA,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
HUANUNI,otras actividades de enfermeria,otras actividades,2021-01-01,84984,84984
HUARACAJE,otras actividades de enfermeria,otras actividades,2021-01-01,408,408
HUARINA,otras actividades de enfermeria,otras actividades,2021-01-01,10,10
HUAYLLAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,171,171
HUMANATA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
ICHOCA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
ICLA,otras actividades de enfermeria,otras actividades,2021-01-01,1059,1059
INCAHUASI,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
INQUISIVI,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,otras actividades,2021-01-01,96,96
IXIAMAS,otras actividades de enfermeria,otras actividades,2021-01-01,114,114
JESUS DE MACHACA,otras actividades de enfermeria,otras actividades,2021-01-01,12,12
LA ASUNTA,otras actividades de enfermeria,otras actividades,2021-01-01,64,64
LA GUARDIA,otras actividades de enfermeria,otras actividades,2021-01-01,718,718
LA PAZ,otras actividades de enfermeria,otras actividades,2021-01-01,106966,106966
LA RIVERA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
LAGUNILLAS,otras actividades de enfermeria,otras actividades,2021-01-01,65,65
LAJA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
LAS CARRERAS,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
LICOMA PAMPA,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
LLALLAGUA,otras actividades de enfermeria,otras actividades,2021-01-01,9102,9102
LLICA,otras actividades de enfermeria,otras actividades,2021-01-01,129,129
LORETO,otras actividades de enfermeria,otras actividades,2021-01-01,12,12
LURIBAY,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
MACHACAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,26,26
MACHARETI,otras actividades de enfermeria,otras actividades,2021-01-01,81,81
MAGDALENA,otras actividades de enfermeria,otras actividades,2021-01-01,95,95
MAIRANA,otras actividades de enfermeria,otras actividades,2021-01-01,344,344
MAPIRI,otras actividades de enfermeria,otras actividades,2021-01-01,126,126
MECAPACA,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
MINEROS,otras actividades de enfermeria,otras actividades,2021-01-01,219,219
MIZQUE,otras actividades de enfermeria,otras actividades,2021-01-01,2289,2289
MOCOMOCO,otras actividades de enfermeria,otras actividades,2021-01-01,87,87
MOJOCOYA,otras actividades de enfermeria,otras actividades,2021-01-01,88,88
MONTEAGUDO,otras actividades de enfermeria,otras actividades,2021-01-01,27775,27775
MONTERO,otras actividades de enfermeria,otras actividades,2021-01-01,90143,90143
MORO MORO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
MOROCHATA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,otras actividades,2021-01-01,6,6
OCURI,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
OKINAWA,otras actividades de enfermeria,otras actividades,2021-01-01,10,10
OMEREQUE,otras actividades de enfermeria,otras actividades,2021-01-01,23,23
ORURO,otras actividades de enfermeria,otras actividades,2021-01-01,78618,78618
PADCAYA,otras actividades de enfermeria,otras actividades,2021-01-01,71,71
PADILLA,otras actividades de enfermeria,otras actividades,2021-01-01,1117,1117
PAILON,otras actividades de enfermeria,otras actividades,2021-01-01,399,399
PALCA,otras actividades de enfermeria,otras actividades,2021-01-01,21,21
PALOS BLANCOS,otras actividades de enfermeria,otras actividades,2021-01-01,649,649
PAMPA AULLAGAS,otras actividades de enfermeria,otras actividades,2021-01-01,158,158
PAMPA GRANDE,otras actividades de enfermeria,otras actividades,2021-01-01,54,54
PAPEL PAMPA,otras actividades de enfermeria,otras actividades,2021-01-01,80,80
PASORAPA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
PATACAMAYA,otras actividades de enfermeria,otras actividades,2021-01-01,38,38
PAZÑA,otras actividades de enfermeria,otras actividades,2021-01-01,11,11
PELECHUCO,otras actividades de enfermeria,otras actividades,2021-01-01,209,209
POCOATA,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
POCONA,otras actividades de enfermeria,otras actividades,2021-01-01,143,143
POJO (CBBA),otras actividades de enfermeria,otras actividades,2021-01-01,16,16
POOPO,otras actividades de enfermeria,otras actividades,2021-01-01,15,15
PORCO,otras actividades de enfermeria,otras actividades,2021-01-01,16,16
POROMA,otras actividades de enfermeria,otras actividades,2021-01-01,11,11
PORONGO,otras actividades de enfermeria,otras actividades,2021-01-01,29,29
PORTACHUELO,otras actividades de enfermeria,otras actividades,2021-01-01,60,60
PORVENIR,otras actividades de enfermeria,otras actividades,2021-01-01,41,41
POSTRER VALLE,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
POTOSI,otras actividades de enfermeria,otras actividades,2021-01-01,38329,38329
PRESTO,otras actividades de enfermeria,otras actividades,2021-01-01,635,635
PUCARA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
PUCARANI,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
PUERTO ACOSTA,otras actividades de enfermeria,otras actividades,2021-01-01,145,145
PUERTO CARABUCO,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
PUERTO GONZALO MORENO,otras actividades de enfermeria,otras actividades,2021-01-01,20,20
PUERTO PEREZ,otras actividades de enfermeria,otras actividades,2021-01-01,25,25
PUERTO QUIJARRO,otras actividades de enfermeria,otras actividades,2021-01-01,72,72
PUERTO RICO,otras actividades de enfermeria,otras actividades,2021-01-01,982,982
PUERTO SUAREZ,otras actividades de enfermeria,otras actividades,2021-01-01,102,102
PUERTO VILLARROEL,otras actividades de enfermeria,otras actividades,2021-01-01,6393,6393
PUNA,otras actividades de enfermeria,otras actividades,2021-01-01,243,243
PUNATA,otras actividades de enfermeria,otras actividades,2021-01-01,8172,8172
QUILLACOLLO,otras actividades de enfermeria,otras actividades,2021-01-01,3281,3281
QUIME,otras actividades de enfermeria,otras actividades,2021-01-01,498,498
QUIRUSILLAS,otras actividades de enfermeria,otras actividades,2021-01-01,18,18
RAQAYPAMPA(ETA),otras actividades de enfermeria,otras actividades,2021-01-01,3,3
RAVELO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
REYES,otras actividades de enfermeria,otras actividades,2021-01-01,483,483
RIBERALTA,otras actividades de enfermeria,otras actividades,2021-01-01,49958,49958
ROBORE,otras actividades de enfermeria,otras actividades,2021-01-01,7253,7253
RURRENABAQUE,otras actividades de enfermeria,otras actividades,2021-01-01,412,412
SABAYA,otras actividades de enfermeria,otras actividades,2021-01-01,42,42
SACABA,otras actividades de enfermeria,otras actividades,2021-01-01,5545,5545
SACABAMBA,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
SACACA,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
SAIPINA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria,otras actividades,2021-01-01,808,808
SAMAIPATA,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
SAN ANDRES,otras actividades de enfermeria,otras actividades,2021-01-01,26,26
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria,otras actividades,2021-01-01,28,28
SAN BORJA,otras actividades de enfermeria,otras actividades,2021-01-01,2537,2537
SAN BUENA VENTURA,otras actividades de enfermeria,otras actividades,2021-01-01,516,516
SAN CARLOS,otras actividades de enfermeria,otras actividades,2021-01-01,2961,2961
SAN IGNACIO,otras actividades de enfermeria,otras actividades,2021-01-01,5158,5158
SAN IGNACIO DE VELASCO,otras actividades de enfermeria,otras actividades,2021-01-01,40212,40212
SAN JAVIER(BNI),otras actividades de enfermeria,otras actividades,2021-01-01,121,121
SAN JAVIER(STC),otras actividades de enfermeria,otras actividades,2021-01-01,82,82
SAN JOAQUIN,otras actividades de enfermeria,otras actividades,2021-01-01,293,293
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria,otras actividades,2021-01-01,6263,6263
SAN JUAN DE YAPACANI,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
SAN JULIAN,otras actividades de enfermeria,otras actividades,2021-01-01,567,567
SAN LORENZO(PND),otras actividades de enfermeria,otras actividades,2021-01-01,4,4
SAN LORENZO(TJA),otras actividades de enfermeria,otras actividades,2021-01-01,47,47
SAN LUCAS,otras actividades de enfermeria,otras actividades,2021-01-01,1951,1951
SAN MATIAS,otras actividades de enfermeria,otras actividades,2021-01-01,584,584
SAN MIGUEL DE VELASCO,otras actividades de enfermeria,otras actividades,2021-01-01,13,13
SAN PABLO DE LIPEZ,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
SAN PEDRO,otras actividades de enfermeria,otras actividades,2021-01-01,136,136
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria,otras actividades,2021-01-01,83,83
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
SAN PEDRO DE MACHA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
SAN PEDRO DE TIQUINA,otras actividades de enfermeria,otras actividades,2021-01-01,145,145
SAN PEDRO(PND),otras actividades de enfermeria,otras actividades,2021-01-01,1,1
SAN RAFAEL,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
SAN RAMON BENI,otras actividades de enfermeria,otras actividades,2021-01-01,163,163
SANTA ANA,otras actividades de enfermeria,otras actividades,2021-01-01,10512,10512
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria,otras actividades,2021-01-01,961716,961716
SANTA ROSA,otras actividades de enfermeria,otras actividades,2021-01-01,125,125
SANTA ROSA DEL SARA,otras actividades de enfermeria,otras actividades,2021-01-01,33,33
SANTIAGO DE CALLAPA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
SANTIAGO DE HUARI,otras actividades de enfermeria,otras actividades,2021-01-01,15,15
SANTIAGO DE HUATA,otras actividades de enfermeria,otras actividades,2021-01-01,10,10
SANTIAGO DE MACHACA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
SANTIVAÑES,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
SANTUARIO DE QUILLACAS,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
SAPAHAQUI,otras actividades de enfermeria,otras actividades,2021-01-01,18,18
SENA,otras actividades de enfermeria,otras actividades,2021-01-01,152,152
SHINAOTA,otras actividades de enfermeria,otras actividades,2021-01-01,82,82
SICA SICA (VILLA AROMA),otras actividades de enfermeria,otras actividades,2021-01-01,12,12
SICAYA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
SIPE SIPE,otras actividades de enfermeria,otras actividades,2021-01-01,59,59
SOPACHUY,otras actividades de enfermeria,otras actividades,2021-01-01,214,214
SORACACHI,otras actividades de enfermeria,otras actividades,2021-01-01,34,34
SORATA,otras actividades de enfermeria,otras actividades,2021-01-01,111,111
SUCRE,otras actividades de enfermeria,otras actividades,2021-01-01,249950,249950
TACACOMA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
TACOBAMBA,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
TACOPAYA,otras actividades de enfermeria,otras actividades,2021-01-01,13,13
TAHUA,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
TAPACARI,otras actividades de enfermeria,otras actividades,2021-01-01,28,28
TARABUCO,otras actividades de enfermeria,otras actividades,2021-01-01,236,236
TARACO,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
TARATA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
TARIJA,otras actividades de enfermeria,otras actividades,2021-01-01,369030,369030
TARVITA,otras actividades de enfermeria,otras actividades,2021-01-01,1221,1221
TEOPONTE,otras actividades de enfermeria,otras actividades,2021-01-01,51,51
TIAHUANACU,otras actividades de enfermeria,otras actividades,2021-01-01,38,38
TINGUIPAYA,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
TIPUANI,otras actividades de enfermeria,otras actividades,2021-01-01,21,21
TIQUIPAYA,otras actividades de enfermeria,otras actividades,2021-01-01,76,76
TIRAQUE (CBBA),otras actividades de enfermeria,otras actividades,2021-01-01,79,79
TOCO,otras actividades de enfermeria,otras actividades,2021-01-01,46,46
TOLATA,otras actividades de enfermeria,otras actividades,2021-01-01,21,21
TOLEDO,otras actividades de enfermeria,otras actividades,2021-01-01,37,37
TOMAVE,otras actividades de enfermeria,otras actividades,2021-01-01,11,11
TOMINA,otras actividades de enfermeria,otras actividades,2021-01-01,1690,1690
TORO TORO,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
TOTORA(CBBA),otras actividades de enfermeria,otras actividades,2021-01-01,2328,2328
TOTORA(ORR),otras actividades de enfermeria,otras actividades,2021-01-01,47,47
TRIGAL,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
TRINIDAD,otras actividades de enfermeria,otras actividades,2021-01-01,414903,414903
TUPIZA,otras actividades de enfermeria,otras actividades,2021-01-01,7492,7492
TURCO,otras actividades de enfermeria,otras actividades,2021-01-01,232,232
UMALA,otras actividades de enfermeria,otras actividades,2021-01-01,13,13
UNCIA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
URIONDO (A. CONCEPCION),otras actividades de enfermeria,otras actividades,2021-01-01,14,14
URUBICHA,otras actividades de enfermeria,otras actividades,2021-01-01,117,117
UYUNI,otras actividades de enfermeria,otras actividades,2021-01-01,3627,3627
VACAS,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
VALLEGRANDE,otras actividades de enfermeria,otras actividades,2021-01-01,3548,3548
VIACHA,otras actividades de enfermeria,otras actividades,2021-01-01,1150,1150
VILA VILA,otras actividades de enfermeria,otras actividades,2021-01-01,38,38
VILLA CHARCAS,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
VILLA MONTES,otras actividades de enfermeria,otras actividades,2021-01-01,15116,15116
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria,otras actividades,2021-01-01,1,1
VILLA RIVERO,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
VILLA SERRANO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
VILLA TUNARI,otras actividades de enfermeria,otras actividades,2021-01-01,1366,1366
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria,otras actividades,2021-01-01,709,709
VILLAZON,otras actividades de enfermeria,otras actividades,2021-01-01,25622,25622
VINTO,otras actividades de enfermeria,otras actividades,2021-01-01,5585,5585
VITICHI,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
WALDO BALLIVIAN,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
WARNES,otras actividades de enfermeria,otras actividades,2021-01-01,6073,6073
YACO,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
YACUIBA,otras actividades de enfermeria,otras actividades,2021-01-01,43114,43114
YAMPARAEZ,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
YANACACHI,otras actividades de enfermeria,otras actividades,2021-01-01,20,20
YAPACANI,otras actividades de enfermeria,otras actividades,2021-01-01,460,460
YOCALLA,otras actividades de enfermeria,otras actividades,2021-01-01,13,13
YOTALA,otras actividades de enfermeria,otras actividades,2021-01-01,2,2
YUNCHARA,otras actividades de enfermeria,otras actividades,2021-01-01,14,14
ZUDAÑEZ,otras actividades de enfermeria,otras actividades,2021-01-01,419,419
ACACIO,otras actividades de enfermeria,otras actividades,2021-02-01,9,9
ACHACACHI,otras actividades de enfermeria,otras actividades,2021-02-01,50,50
ACHOCALLA,otras actividades de enfermeria,otras actividades,2021-02-01,31,31
AIQUILE,otras actividades de enfermeria,otras actividades,2021-02-01,753,753
ALALAY,otras actividades de enfermeria,otras actividades,2021-02-01,1,1
ALCALA,otras actividades de enfermeria,otras actividades,2021-02-01,76,76
ALTO BENI,otras actividades de enfermeria,otras actividades,2021-02-01,7,7
ANCORAIMES,otras actividades de enfermeria,otras actividades,2021-02-01,9,9
ANDAMARCA,otras actividades de enfermeria,otras actividades,2021-02-01,83,83
ANTEQUERA,otras actividades de enfermeria,otras actividades,2021-02-01,60,60
ANZALDO,otras actividades de enfermeria,otras actividades,2021-02-01,16,16
APOLO,otras actividades de enfermeria,otras actividades,2021-02-01,991,991
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2021-02-01,23,23
ARANI,otras actividades de enfermeria,otras actividades,2021-02-01,9,9
ARBIETO,otras actividades de enfermeria,otras actividades,2021-02-01,1,1
ARQUE,otras actividades de enfermeria,otras actividades,2021-02-01,10,10
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2021-02-01,641,641
ATOCHA,otras actividades de enfermeria,otras actividades,2021-02-01,4778,4778
AUCAPATA,otras actividades de enfermeria,otras actividades,2021-02-01,2,2
AYATA,otras actividades de enfermeria,otras actividades,2021-02-01,6,6
AYO AYO,otras actividades de enfermeria,otras actividades,2021-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2021-02-01,119,119
AZURDUY,otras actividades de enfermeria,otras actividades,2021-02-01,455,455
BATALLAS,otras actividades de enfermeria,otras actividades,2021-02-01,6,6
BAURES,otras actividades de enfermeria,otras actividades,2021-02-01,183,183
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2021-02-01,1,1
BELLA FLOR,otras actividades de enfermeria,otras actividades,2021-02-01,91,91
BERMEJO,otras actividades de enfermeria,otras actividades,2021-02-01,50781,50781
BETANZOS,otras actividades de enfermeria,otras actividades,2021-02-01,301,301
BOLIVAR,otras actividades de enfermeria,otras actividades,2021-02-01,18,18
BOLPEBRA,otras actividades de enfermeria,otras actividades,2021-02-01,5,5
BUENA VISTA,otras actividades de enfermeria,otras actividades,2021-02-01,6,6
CABEZAS,otras actividades de enfermeria,otras actividades,2021-02-01,117,117
CAIROMA,otras actividades de enfermeria,otras actividades,2021-02-01,14,14
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2021-02-01,481,481
CAJUATA,otras actividades de enfermeria,otras actividades,2021-02-01,35,35
CALACOTO,otras actividades de enfermeria,otras actividades,2021-02-01,6,6
CALAMARCA,otras actividades de enfermeria,otras actividades,2021-02-01,8,8
CAMARGO,otras actividades de enfermeria,otras actividades,2021-02-01,4770,4770
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2021-02-01,7,7
CAMIRI,otras actividades de enfermeria,otras actividades,2021-02-01,11940,11940
CAPINOTA,otras actividades de enfermeria,otras actividades,2021-02-01,28,28
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2021-02-01,36,36
CARACOLLO,otras actividades de enfermeria,otras actividades,2021-02-01,41,41
CARANAVI,otras actividades de enfermeria,otras actividades,2021-02-01,19698,19698
CARAPARI,otras actividades de enfermeria,otras actividades,2021-02-01,22,22
CARIPUYO,otras actividades de enfermeria,otras actividades,2021-02-01,18,18
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2021-02-01,25,25
CATACORA,otras actividades de enfermeria,otras actividades,2021-02-01,6,6
CHALLAPATA,otras actividades de enfermeria,otras actividades,2021-02-01,4979,4979
CHAQUI,otras actividades de enfermeria,otras actividades,2021-02-01,12,12
CHARAGUA,otras actividades de enfermeria,otras actividades,2021-02-01,1120,1120
CHARAÑA,otras actividades de enfermeria,otras actividades,2021-02-01,1,1
