,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-01-01,293,283,158,164,143,87,594,534,1128
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-01-01,63,89,81,69,120,113,264,271,535
COLLANA,estado nutricional,l 9.1 talla normal,2011-01-01,31,16,12,14,10,20,53,50,103
COLOMI,estado nutricional,l 9.1 talla normal,2011-01-01,192,181,106,108,65,50,363,339,702
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-01-01,35,39,6,12,9,10,50,61,111
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-01-01,240,256,199,212,108,106,547,574,1121
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-01-01,53,66,42,56,29,28,124,150,274
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-01-01,107,105,59,80,93,80,259,265,524
COMANCHE,estado nutricional,l 9.1 talla normal,2011-01-01,24,27,7,12,7,13,38,52,90
COMARAPA,estado nutricional,l 9.1 talla normal,2011-01-01,204,197,101,104,86,104,391,405,796
COMBAYA,estado nutricional,l 9.1 talla normal,2011-01-01,7,12,6,10,8,13,21,35,56
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-01-01,170,165,104,73,53,67,327,305,632
COPACABANA,estado nutricional,l 9.1 talla normal,2011-01-01,80,89,38,62,74,71,192,222,414
CORIPATA,estado nutricional,l 9.1 talla normal,2011-01-01,95,103,70,65,54,65,219,233,452
CORO CORO,estado nutricional,l 9.1 talla normal,2011-01-01,60,61,41,45,36,34,137,140,277
COROICO,estado nutricional,l 9.1 talla normal,2011-01-01,92,84,67,64,40,36,199,184,383
CORQUE,estado nutricional,l 9.1 talla normal,2011-01-01,51,41,23,21,29,23,103,85,188
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-01-01,143,139,111,100,117,138,371,377,748
COTOCA,estado nutricional,l 9.1 talla normal,2011-01-01,460,406,254,229,215,193,929,828,1757
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-01-01,82,64,71,81,121,114,274,259,533
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-01-01,19,14,8,5,1,1,28,20,48
CUEVO,estado nutricional,l 9.1 talla normal,2011-01-01,31,34,35,26,62,63,128,123,251
CULPINA,estado nutricional,l 9.1 talla normal,2011-01-01,167,156,130,92,112,130,409,378,787
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-01-01,45,47,41,40,25,27,111,114,225
CURVA,estado nutricional,l 9.1 talla normal,2011-01-01,9,11,4,3,7,7,20,21,41
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-01-01,34,28,19,16,12,13,65,57,122
EL ALTO,estado nutricional,l 9.1 talla normal,2011-01-01,5234,5102,3121,3307,1940,1797,10295,10206,20501
EL CHORO,estado nutricional,l 9.1 talla normal,2011-01-01,36,48,26,28,46,30,108,106,214
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-01-01,96,95,75,72,90,93,261,260,521
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-01-01,103,98,86,70,74,92,263,260,523
EL TORNO,estado nutricional,l 9.1 talla normal,2011-01-01,330,292,190,166,161,159,681,617,1298
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-01-01,25,25,29,27,51,45,105,97,202
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-01-01,151,160,148,125,99,93,398,378,776
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-01-01,306,288,237,189,191,182,734,659,1393
ESCARA,estado nutricional,l 9.1 talla normal,2011-01-01,1,0,2,2,2,1,5,3,8
ESCOMA,estado nutricional,l 9.1 talla normal,2011-01-01,26,14,21,25,32,30,79,69,148
ESMERALDA,estado nutricional,l 9.1 talla normal,2011-01-01,0,3,0,0,2,0,2,3,5
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-01-01,57,43,42,48,36,34,135,125,260
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-01-01,12,17,8,8,6,9,26,34,60
EXALTACION,estado nutricional,l 9.1 talla normal,2011-01-01,6,8,7,10,11,12,24,30,54
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-01-01,109,87,82,67,102,75,293,229,522
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-01-01,32,27,30,27,33,34,95,88,183
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-01-01,117,86,89,81,104,116,310,283,593
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-01-01,48,66,41,24,31,31,120,121,241
GUANAY,estado nutricional,l 9.1 talla normal,2011-01-01,119,138,82,82,102,105,303,325,628
GUAQUI,estado nutricional,l 9.1 talla normal,2011-01-01,43,32,32,32,16,16,91,80,171
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-01-01,306,324,205,191,160,180,671,695,1366
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-01-01,106,106,107,113,210,203,423,422,845
HUACARETA,estado nutricional,l 9.1 talla normal,2011-01-01,69,59,42,49,71,80,182,188,370
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-01-01,19,12,12,10,23,29,54,51,105
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-01-01,15,7,10,10,10,13,35,30,65
HUANUNI,estado nutricional,l 9.1 talla normal,2011-01-01,202,206,107,112,60,95,369,413,782
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-01-01,22,26,7,12,15,14,44,52,96
HUARINA,estado nutricional,l 9.1 talla normal,2011-01-01,35,29,18,16,18,14,71,59,130
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-01-01,31,24,33,34,31,49,95,107,202
HUMANATA,estado nutricional,l 9.1 talla normal,2011-01-01,32,31,26,22,15,22,73,75,148
ICHOCA,estado nutricional,l 9.1 talla normal,2011-01-01,23,29,26,16,20,15,69,60,129
ICLA,estado nutricional,l 9.1 talla normal,2011-01-01,68,76,49,61,116,138,233,275,508
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-01-01,88,87,52,54,60,78,200,219,419
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-01-01,17,29,23,30,24,26,64,85,149
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-01-01,74,80,42,47,58,60,174,187,361
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-01-01,89,97,91,61,109,84,289,242,531
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-01-01,43,63,33,38,29,39,105,140,245
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-01-01,90,78,67,68,63,86,220,232,452
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-01-01,325,260,166,148,164,151,655,559,1214
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-01-01,789,774,359,358,421,449,1569,1581,3150
LA PAZ,estado nutricional,l 9.1 talla normal,2011-01-01,4214,4168,2536,2276,2253,2231,9003,8675,17678
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-01-01,2,3,2,1,10,2,14,6,20
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-01-01,69,67,61,61,129,93,259,221,480
LAJA,estado nutricional,l 9.1 talla normal,2011-01-01,146,99,65,89,42,43,253,231,484
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-01-01,30,31,28,29,51,49,109,109,218
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-01-01,31,23,11,19,17,16,59,58,117
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-01-01,280,278,197,185,93,85,570,548,1118
LLICA,estado nutricional,l 9.1 talla normal,2011-01-01,29,23,22,32,12,14,63,69,132
LORETO,estado nutricional,l 9.1 talla normal,2011-01-01,22,25,17,16,31,42,70,83,153
LURIBAY,estado nutricional,l 9.1 talla normal,2011-01-01,52,32,50,35,38,55,140,122,262
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-01-01,44,42,43,33,29,45,116,120,236
MACHARETI,estado nutricional,l 9.1 talla normal,2011-01-01,75,64,55,51,166,128,296,243,539
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-01-01,86,75,41,30,81,60,208,165,373
MAIRANA,estado nutricional,l 9.1 talla normal,2011-01-01,102,92,42,50,35,45,179,187,366
MALLA,estado nutricional,l 9.1 talla normal,2011-01-01,14,12,8,3,12,5,34,20,54
MAPIRI,estado nutricional,l 9.1 talla normal,2011-01-01,97,91,76,51,52,33,225,175,400
MECAPACA,estado nutricional,l 9.1 talla normal,2011-01-01,80,89,48,58,25,30,153,177,330
MINEROS,estado nutricional,l 9.1 talla normal,2011-01-01,188,166,116,131,162,135,466,432,898
MIZQUE,estado nutricional,l 9.1 talla normal,2011-01-01,289,223,222,189,126,159,637,571,1208
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-01-01,56,47,50,60,37,46,143,153,296
MOJINETE,estado nutricional,l 9.1 talla normal,2011-01-01,0,3,2,3,1,0,3,6,9
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-01-01,52,52,42,50,80,82,174,184,358
MONTEAGUDO,estado nutricional,l 9.1 talla normal,2011-01-01,265,213,180,218,273,249,718,680,1398
MONTERO,estado nutricional,l 9.1 talla normal,2011-01-01,1101,994,638,650,621,550,2360,2194,4554
MORO MORO,estado nutricional,l 9.1 talla normal,2011-01-01,23,16,7,21,11,9,41,46,87
MOROCHATA,estado nutricional,l 9.1 talla normal,2011-01-01,69,68,79,76,39,32,187,176,363
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.1 talla normal,2011-01-01,17,13,7,4,5,3,29,20,49
NAZACARA DE PACAJES,estado nutricional,l 9.1 talla normal,2011-01-01,1,0,2,1,0,1,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.1 talla normal,2011-01-01,30,18,11,6,28,40,69,64,133
OCURI,estado nutricional,l 9.1 talla normal,2011-01-01,126,108,103,80,73,89,302,277,579
OKINAWA,estado nutricional,l 9.1 talla normal,2011-01-01,118,104,67,70,78,92,263,266,529
OMEREQUE,estado nutricional,l 9.1 talla normal,2011-01-01,59,52,38,42,47,40,144,134,278
ORURO,estado nutricional,l 9.1 talla normal,2011-01-01,1942,1814,1301,3312,781,837,4024,5963,9987
PADCAYA,estado nutricional,l 9.1 talla normal,2011-01-01,164,127,127,124,122,107,413,358,771
PADILLA,estado nutricional,l 9.1 talla normal,2011-01-01,96,115,52,53,129,138,277,306,583
PAILON,estado nutricional,l 9.1 talla normal,2011-01-01,226,158,134,130,173,130,533,418,951
PALCA,estado nutricional,l 9.1 talla normal,2011-01-01,106,94,66,59,49,54,221,207,428
PALOS BLANCOS,estado nutricional,l 9.1 talla normal,2011-01-01,238,233,152,143,148,138,538,514,1052
PAMPA AULLAGAS,estado nutricional,l 9.1 talla normal,2011-01-01,15,19,13,15,8,15,36,49,85
PAMPA GRANDE,estado nutricional,l 9.1 talla normal,2011-01-01,70,64,37,25,20,28,127,117,244
PAPEL PAMPA,estado nutricional,l 9.1 talla normal,2011-01-01,48,24,28,19,17,15,93,58,151
PASORAPA,estado nutricional,l 9.1 talla normal,2011-01-01,28,20,26,12,49,39,103,71,174
PATACAMAYA,estado nutricional,l 9.1 talla normal,2011-01-01,162,152,122,101,46,32,330,285,615
PAZÑA,estado nutricional,l 9.1 talla normal,2011-01-01,48,55,36,37,89,75,173,167,340
PELECHUCO,estado nutricional,l 9.1 talla normal,2011-01-01,35,29,21,19,13,22,69,70,139
POCOATA,estado nutricional,l 9.1 talla normal,2011-01-01,151,149,92,132,65,76,308,357,665
POCONA,estado nutricional,l 9.1 talla normal,2011-01-01,86,83,103,90,66,67,255,240,495
POJO (CBBA),estado nutricional,l 9.1 talla normal,2011-01-01,98,93,92,57,70,28,260,178,438
POOPO,estado nutricional,l 9.1 talla normal,2011-01-01,44,55,40,28,30,41,114,124,238
PORCO,estado nutricional,l 9.1 talla normal,2011-01-01,80,74,17,23,42,43,139,140,279
POROMA,estado nutricional,l 9.1 talla normal,2011-01-01,127,102,75,80,126,101,328,283,611
PORONGO,estado nutricional,l 9.1 talla normal,2011-01-01,84,52,71,58,97,80,252,190,442
PORTACHUELO,estado nutricional,l 9.1 talla normal,2011-01-01,111,111,58,58,83,97,252,266,518
PORVENIR,estado nutricional,l 9.1 talla normal,2011-01-01,47,49,33,43,29,36,109,128,237
POSTRER VALLE,estado nutricional,l 9.1 talla normal,2011-01-01,12,15,14,7,11,16,37,38,75
POTOSI,estado nutricional,l 9.1 talla normal,2011-01-01,1117,1102,528,660,428,464,2073,2226,4299
PRESTO,estado nutricional,l 9.1 talla normal,2011-01-01,67,55,56,54,72,75,195,184,379
PUCARA,estado nutricional,l 9.1 talla normal,2011-01-01,13,11,11,16,12,8,36,35,71
PUCARANI,estado nutricional,l 9.1 talla normal,2011-01-01,270,205,171,167,69,106,510,478,988
PUERTO ACOSTA,estado nutricional,l 9.1 talla normal,2011-01-01,57,76,46,29,14,14,117,119,236
PUERTO CARABUCO,estado nutricional,l 9.1 talla normal,2011-01-01,52,61,34,37,41,41,127,139,266
PUERTO GONZALO MORENO,estado nutricional,l 9.1 talla normal,2011-01-01,49,56,37,30,38,56,124,142,266
PUERTO PEREZ,estado nutricional,l 9.1 talla normal,2011-01-01,28,53,34,29,35,45,97,127,224
PUERTO QUIJARRO,estado nutricional,l 9.1 talla normal,2011-01-01,118,118,79,62,49,47,246,227,473
PUERTO RICO,estado nutricional,l 9.1 talla normal,2011-01-01,63,56,27,26,33,37,123,119,242
PUERTO SILES,estado nutricional,l 9.1 talla normal,2011-01-01,13,9,1,13,7,12,21,34,55
PUERTO SUAREZ,estado nutricional,l 9.1 talla normal,2011-01-01,131,114,54,58,42,44,227,216,443
PUERTO VILLARROEL,estado nutricional,l 9.1 talla normal,2011-01-01,582,510,313,273,284,241,1179,1024,2203
PUNA,estado nutricional,l 9.1 talla normal,2011-01-01,103,82,104,119,131,124,338,325,663
PUNATA,estado nutricional,l 9.1 talla normal,2011-01-01,272,247,164,163,101,84,537,494,1031
QUIABAYA,estado nutricional,l 9.1 talla normal,2011-01-01,23,12,20,15,17,15,60,42,102
QUILLACOLLO,estado nutricional,l 9.1 talla normal,2011-01-01,660,616,430,380,209,189,1299,1185,2484
QUIME,estado nutricional,l 9.1 talla normal,2011-01-01,76,75,57,34,32,45,165,154,319
QUIRUSILLAS,estado nutricional,l 9.1 talla normal,2011-01-01,8,10,8,6,10,14,26,30,56
RAVELO,estado nutricional,l 9.1 talla normal,2011-01-01,107,121,69,74,97,117,273,312,585
REYES,estado nutricional,l 9.1 talla normal,2011-01-01,83,74,55,76,60,61,198,211,409
RIBERALTA,estado nutricional,l 9.1 talla normal,2011-01-01,1038,942,643,605,494,459,2175,2006,4181
ROBORE,estado nutricional,l 9.1 talla normal,2011-01-01,118,130,96,92,115,77,329,299,628
RURRENABAQUE,estado nutricional,l 9.1 talla normal,2011-01-01,125,117,56,63,44,42,225,222,447
SABAYA,estado nutricional,l 9.1 talla normal,2011-01-01,12,18,11,15,14,8,37,41,78
SACABA,estado nutricional,l 9.1 talla normal,2011-01-01,1071,1081,825,743,426,308,2322,2132,4454
SACABAMBA,estado nutricional,l 9.1 talla normal,2011-01-01,29,34,30,21,15,25,74,80,154
SACACA,estado nutricional,l 9.1 talla normal,2011-01-01,126,125,65,91,74,80,265,296,561
SAIPINA,estado nutricional,l 9.1 talla normal,2011-01-01,50,53,30,36,28,34,108,123,231
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.1 talla normal,2011-01-01,70,60,50,49,65,61,185,170,355
SAMAIPATA,estado nutricional,l 9.1 talla normal,2011-01-01,55,51,20,18,26,26,101,95,196
SAN AGUSTIN,estado nutricional,l 9.1 talla normal,2011-01-01,10,9,5,10,13,13,28,32,60
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-01-01,93,77,39,60,63,86,195,223,418
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-01-01,19,15,10,15,8,15,37,45,82
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-01-01,7,11,6,5,0,2,13,18,31
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-01-01,58,42,40,33,120,115,218,190,408
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-01-01,136,126,118,100,104,103,358,329,687
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-01-01,385,321,223,258,180,219,788,798,1586
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-01-01,91,82,48,33,42,59,181,174,355
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-01-01,193,152,115,137,118,111,426,400,826
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-01-01,187,206,142,157,203,217,532,580,1112
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-01-01,704,588,319,309,470,466,1493,1363,2856
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-01-01,10,10,9,6,10,11,29,27,56
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-01-01,100,94,50,46,66,73,216,213,429
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-01-01,46,36,22,27,27,22,95,85,180
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-01-01,125,93,82,71,57,72,264,236,500
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-01-01,58,57,42,49,50,42,150,148,298
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-01-01,255,262,204,169,189,209,648,640,1288
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-01-01,25,31,16,15,15,20,56,66,122
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-01-01,166,168,156,123,126,111,448,402,850
SAN LUCAS,estado nutricional,l 9.1 talla normal,2011-01-01,229,257,179,240,326,320,734,817,1551
SAN MATIAS,estado nutricional,l 9.1 talla normal,2011-01-01,93,69,35,23,21,34,149,126,275
SAN MIGUEL DE VELASCO,estado nutricional,l 9.1 talla normal,2011-01-01,115,95,47,46,55,57,217,198,415
SAN PABLO DE LIPEZ,estado nutricional,l 9.1 talla normal,2011-01-01,15,13,5,11,14,6,34,30,64
SAN PEDRO,estado nutricional,l 9.1 talla normal,2011-01-01,133,121,103,88,113,89,349,298,647
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-01-01,150,144,88,110,79,78,317,332,649
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.1 talla normal,2011-01-01,36,26,23,21,35,31,94,78,172
SAN PEDRO DE QUEMES,estado nutricional,l 9.1 talla normal,2011-01-01,1,2,2,3,1,1,4,6,10
SAN PEDRO DE TIQUINA,estado nutricional,l 9.1 talla normal,2011-01-01,20,23,11,22,26,24,57,69,126
SAN PEDRO(PND),estado nutricional,l 9.1 talla normal,2011-01-01,4,2,2,3,5,3,11,8,19
SAN RAFAEL,estado nutricional,l 9.1 talla normal,2011-01-01,48,47,36,46,50,50,134,143,277
SAN RAMON BENI,estado nutricional,l 9.1 talla normal,2011-01-01,30,30,27,15,17,33,74,78,152
SAN RAMON SCZ,estado nutricional,l 9.1 talla normal,2011-01-01,45,43,42,43,52,59,139,145,284
SANTA ANA,estado nutricional,l 9.1 talla normal,2011-01-01,146,140,121,105,64,78,331,323,654
