,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
"COLCHA ""K""",estado nutricional,l 9.2 talla baja,2011-01-01,14,6,22,15,17,22,53,43,96
COLLANA,estado nutricional,l 9.2 talla baja,2011-01-01,3,2,2,2,3,5,8,9,17
COLOMI,estado nutricional,l 9.2 talla baja,2011-01-01,11,8,26,22,24,21,61,51,112
COLPA BELGICA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,0,0,0,0,0,1,1
COLQUECHACA,estado nutricional,l 9.2 talla baja,2011-01-01,61,52,127,96,62,66,250,214,464
COLQUENCHA,estado nutricional,l 9.2 talla baja,2011-01-01,20,9,20,13,5,5,45,27,72
COLQUIRI,estado nutricional,l 9.2 talla baja,2011-01-01,7,14,26,22,41,45,74,81,155
COMANCHE,estado nutricional,l 9.2 talla baja,2011-01-01,6,6,5,3,8,5,19,14,33
COMARAPA,estado nutricional,l 9.2 talla baja,2011-01-01,8,3,8,6,10,12,26,21,47
COMBAYA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,1,0,7,0,9,0,9
CONCEPCION,estado nutricional,l 9.2 talla baja,2011-01-01,5,5,4,3,3,2,12,10,22
COPACABANA,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,6,2,9,4,16,8,24
CORIPATA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,4,0,2,1,7,1,8
CORO CORO,estado nutricional,l 9.2 talla baja,2011-01-01,4,4,17,6,10,6,31,16,47
COROICO,estado nutricional,l 9.2 talla baja,2011-01-01,4,9,8,3,6,9,18,21,39
CORQUE,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,3,6,2,3,7,11,18
COTAGAITA,estado nutricional,l 9.2 talla baja,2011-01-01,20,7,51,36,56,47,127,90,217
COTOCA,estado nutricional,l 9.2 talla baja,2011-01-01,3,2,9,4,5,6,17,12,29
CUATRO CAÑADAS,estado nutricional,l 9.2 talla baja,2011-01-01,1,6,3,3,5,6,9,15,24
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.2 talla baja,2011-01-01,0,0,2,5,1,1,3,6,9
CUEVO,estado nutricional,l 9.2 talla baja,2011-01-01,1,4,7,5,11,10,19,19,38
CULPINA,estado nutricional,l 9.2 talla baja,2011-01-01,15,11,33,20,47,45,95,76,171
CURAHUARA DE CARANGAS,estado nutricional,l 9.2 talla baja,2011-01-01,7,2,13,3,10,3,30,8,38
CURVA,estado nutricional,l 9.2 talla baja,2011-01-01,7,0,8,5,5,5,20,10,30
DESAGUADERO,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,5,2,2,4,7,6,13
EL ALTO,estado nutricional,l 9.2 talla baja,2011-01-01,438,248,572,322,231,214,1241,784,2025
EL CHORO,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,6,2,2,3,8,5,13
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-01-01,3,0,16,6,8,10,27,16,43
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-01-01,9,0,17,12,10,12,36,24,60
EL TORNO,estado nutricional,l 9.2 talla baja,2011-01-01,1,4,10,2,14,16,25,22,47
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,7,4,16,13,24,17,41
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-01-01,10,3,12,6,14,12,36,21,57
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-01-01,7,5,25,32,17,19,49,56,105
ESCOMA,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,4,4,2,6,8,12,20
ESMERALDA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,0,0,0,1,0,1
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-01-01,9,6,11,5,2,12,22,23,45
EUREKA (SANTOS MERCADO),estado nutricional,l 9.2 talla baja,2011-01-01,1,0,0,0,2,1,3,1,4
EXALTACION,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,0,0,1,1,1,2
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-01-01,3,6,3,6,3,5,9,17,26
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,3,0,0,1,3,1,4
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,5,7,10,13,19,21,40
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-01-01,7,4,17,12,24,27,48,43,91
GUANAY,estado nutricional,l 9.2 talla baja,2011-01-01,4,3,7,4,12,12,23,19,42
GUAQUI,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,7,4,7,0,15,5,20
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-01-01,30,24,29,24,20,29,79,77,156
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-01-01,15,13,29,22,70,58,114,93,207
HUACARETA,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,9,2,6,6,15,10,25
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-01-01,3,1,2,0,7,4,12,5,17
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,3,1,2,2,6,3,9
HUANUNI,estado nutricional,l 9.2 talla baja,2011-01-01,38,10,43,31,25,24,106,65,171
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,0,2,0,2,0,2
HUARINA,estado nutricional,l 9.2 talla baja,2011-01-01,2,6,3,4,3,4,8,14,22
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,6,4,3,8,9,13,22
HUMANATA,estado nutricional,l 9.2 talla baja,2011-01-01,6,11,13,9,7,3,26,23,49
ICHOCA,estado nutricional,l 9.2 talla baja,2011-01-01,6,8,15,17,20,14,41,39,80
ICLA,estado nutricional,l 9.2 talla baja,2011-01-01,9,6,37,19,119,128,165,153,318
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-01-01,20,14,28,19,47,47,95,80,175
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-01-01,7,1,14,6,9,15,30,22,52
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-01-01,1,1,1,0,0,5,2,6,8
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,3,5,5,6,10,13,23
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-01-01,7,13,11,7,18,9,36,29,65
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-01-01,15,14,26,24,27,20,68,58,126
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-01-01,10,14,11,13,21,15,42,42,84
LA PAZ,estado nutricional,l 9.2 talla baja,2011-01-01,338,254,398,226,252,227,988,707,1695
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,8,3,19,10,29,15,44
LAJA,estado nutricional,l 9.2 talla baja,2011-01-01,6,1,1,5,4,1,11,7,18
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,1,1,9,2,11,4,15
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-01-01,3,2,1,4,5,1,9,7,16
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-01-01,34,31,50,35,28,24,112,90,202
LLICA,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,4,5,5,3,13,9,22
LORETO,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,3,2,8,2,11,4,15
LURIBAY,estado nutricional,l 9.2 talla baja,2011-01-01,4,6,6,6,7,4,17,16,33
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-01-01,2,0,7,3,9,1,18,4,22
MACHARETI,estado nutricional,l 9.2 talla baja,2011-01-01,1,3,7,5,22,10,30,18,48
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,3,2,3,7,6,9,15
MAIRANA,estado nutricional,l 9.2 talla baja,2011-01-01,7,10,7,5,6,2,20,17,37
MALLA,estado nutricional,l 9.2 talla baja,2011-01-01,2,1,6,7,2,1,10,9,19
MAPIRI,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,3,4,1,2,4,8,12
MECAPACA,estado nutricional,l 9.2 talla baja,2011-01-01,3,4,9,5,5,8,17,17,34
MINEROS,estado nutricional,l 9.2 talla baja,2011-01-01,14,3,12,8,15,14,41,25,66
MIZQUE,estado nutricional,l 9.2 talla baja,2011-01-01,12,15,30,38,31,33,73,86,159
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-01-01,5,2,11,12,8,13,24,27,51
MOJINETE,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,5,2,0,1,6,5,11
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-01-01,2,1,4,6,6,6,12,13,25
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-01-01,5,3,3,6,18,18,26,27,53
MONTERO,estado nutricional,l 9.2 talla baja,2011-01-01,25,16,32,21,23,20,80,57,137
MORO MORO,estado nutricional,l 9.2 talla baja,2011-01-01,5,1,1,0,5,0,11,1,12
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-01-01,21,11,27,21,17,20,65,52,117
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,0,1,0,1,0,1
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,2,1,7,2,9,11
OCURI,estado nutricional,l 9.2 talla baja,2011-01-01,35,25,61,63,87,67,183,155,338
OKINAWA,estado nutricional,l 9.2 talla baja,2011-01-01,2,3,1,2,2,2,5,7,12
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,3,3,16,2,20,7,27
ORURO,estado nutricional,l 9.2 talla baja,2011-01-01,262,123,354,260,162,161,778,544,1322
PADCAYA,estado nutricional,l 9.2 talla baja,2011-01-01,4,2,8,8,8,7,20,17,37
PADILLA,estado nutricional,l 9.2 talla baja,2011-01-01,11,3,15,11,46,42,72,56,128
PAILON,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,6,4,8,9,14,14,28
PALCA,estado nutricional,l 9.2 talla baja,2011-01-01,4,4,8,6,5,4,17,14,31
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-01-01,6,3,12,6,8,11,26,20,46
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-01-01,3,3,11,7,13,11,27,21,48
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-01-01,3,0,6,6,2,4,11,10,21
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,4,1,5,4,10,5,15
PASORAPA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,2,6,5,7,7,14
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-01-01,3,4,5,4,2,2,10,10,20
PAZÑA,estado nutricional,l 9.2 talla baja,2011-01-01,9,5,12,6,12,17,33,28,61
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,6,0,5,1,13,3,16
POCOATA,estado nutricional,l 9.2 talla baja,2011-01-01,27,17,72,61,57,44,156,122,278
POCONA,estado nutricional,l 9.2 talla baja,2011-01-01,7,8,41,17,25,18,73,43,116
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-01-01,3,4,13,8,4,11,20,23,43
POOPO,estado nutricional,l 9.2 talla baja,2011-01-01,1,3,3,4,4,2,8,9,17
PORCO,estado nutricional,l 9.2 talla baja,2011-01-01,34,27,45,19,12,16,91,62,153
POROMA,estado nutricional,l 9.2 talla baja,2011-01-01,17,18,42,33,53,48,112,99,211
PORONGO,estado nutricional,l 9.2 talla baja,2011-01-01,3,0,1,1,1,4,5,5,10
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-01-01,4,0,0,1,8,3,12,4,16
PORVENIR,estado nutricional,l 9.2 talla baja,2011-01-01,6,4,2,2,1,0,9,6,15
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,1,2,0,1,1,4,5
POTOSI,estado nutricional,l 9.2 talla baja,2011-01-01,177,93,302,169,167,129,646,391,1037
PRESTO,estado nutricional,l 9.2 talla baja,2011-01-01,12,8,30,8,47,41,89,57,146
PUCARA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,2,3,0,3,3,6,9
PUCARANI,estado nutricional,l 9.2 talla baja,2011-01-01,22,11,24,20,7,11,53,42,95
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-01-01,6,1,8,8,11,2,25,11,36
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,5,2,10,11,17,15,32
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-01-01,12,1,18,18,24,22,54,41,95
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,2,3,3,1,6,5,11
PUERTO QUIJARRO,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,0,0,0,1,0,1
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-01-01,3,2,4,5,5,4,12,11,23
PUERTO SILES,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,1,1,2,0,3,2,5
PUERTO SUAREZ,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,0,2,2,0,3,4,7
PUERTO VILLARROEL,estado nutricional,l 9.2 talla baja,2011-01-01,22,28,57,56,45,46,124,130,254
PUNA,estado nutricional,l 9.2 talla baja,2011-01-01,16,13,26,25,46,41,88,79,167
PUNATA,estado nutricional,l 9.2 talla baja,2011-01-01,3,14,8,13,7,3,18,30,48
QUIABAYA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,0,0,0,0,1,0,1
QUILLACOLLO,estado nutricional,l 9.2 talla baja,2011-01-01,26,25,45,45,23,30,94,100,194
QUIME,estado nutricional,l 9.2 talla baja,2011-01-01,4,2,14,7,11,16,29,25,54
RAVELO,estado nutricional,l 9.2 talla baja,2011-01-01,33,37,77,62,137,175,247,274,521
REYES,estado nutricional,l 9.2 talla baja,2011-01-01,3,5,12,4,5,7,20,16,36
RIBERALTA,estado nutricional,l 9.2 talla baja,2011-01-01,17,20,44,27,31,20,92,67,159
ROBORE,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,4,1,1,0,6,2,8
RURRENABAQUE,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,5,4,5,10,11,15,26
SABAYA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,2,1,4,1,7,2,9
SACABA,estado nutricional,l 9.2 talla baja,2011-01-01,44,20,86,60,57,59,187,139,326
SACABAMBA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,11,12,7,8,19,21,40
SACACA,estado nutricional,l 9.2 talla baja,2011-01-01,65,37,94,81,90,109,249,227,476
SAIPINA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,2,3,7,3,9,12
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.2 talla baja,2011-01-01,13,3,15,7,10,12,38,22,60
SAMAIPATA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,2,1,2,0,5,2,7
SAN AGUSTIN,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,0,3,3,3,3,6
SAN ANDRES,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,2,1,8,2,10,12
SAN ANDRES DE MACHACA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,2,1,3,2,5,4,9
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,4,1,2,0,7,2,9
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.2 talla baja,2011-01-01,5,3,6,13,14,17,25,33,58
SAN BENITO,estado nutricional,l 9.2 talla baja,2011-01-01,7,5,18,12,9,13,34,30,64
SAN BORJA,estado nutricional,l 9.2 talla baja,2011-01-01,17,11,27,11,26,25,70,47,117
SAN BUENA VENTURA,estado nutricional,l 9.2 talla baja,2011-01-01,6,4,4,6,8,10,18,20,38
SAN CARLOS,estado nutricional,l 9.2 talla baja,2011-01-01,1,2,4,2,0,2,5,6,11
SAN IGNACIO,estado nutricional,l 9.2 talla baja,2011-01-01,14,14,31,19,17,19,62,52,114
SAN IGNACIO DE VELASCO,estado nutricional,l 9.2 talla baja,2011-01-01,37,18,29,23,47,40,113,81,194
SAN JAVIER(BNI),estado nutricional,l 9.2 talla baja,2011-01-01,0,1,1,1,2,1,3,3,6
SAN JAVIER(STC),estado nutricional,l 9.2 talla baja,2011-01-01,1,0,1,2,2,2,4,4,8
SAN JOAQUIN,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,0,5,1,0,2,6,8
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.2 talla baja,2011-01-01,5,4,6,0,3,3,14,7,21
SAN JUAN DE YAPACANI,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,0,2,0,1,1,4,5
SAN JULIAN,estado nutricional,l 9.2 talla baja,2011-01-01,7,11,11,15,13,15,31,41,72
SAN LORENZO(PND),estado nutricional,l 9.2 talla baja,2011-01-01,7,1,6,3,9,4,22,8,30
SAN LORENZO(TJA),estado nutricional,l 9.2 talla baja,2011-01-01,8,1,13,5,5,16,26,22,48
SAN LUCAS,estado nutricional,l 9.2 talla baja,2011-01-01,68,34,119,84,254,225,441,343,784
SAN MATIAS,estado nutricional,l 9.2 talla baja,2011-01-01,1,7,7,1,1,7,9,15,24
SAN MIGUEL DE VELASCO,estado nutricional,l 9.2 talla baja,2011-01-01,9,4,5,8,4,3,18,15,33
SAN PABLO DE LIPEZ,estado nutricional,l 9.2 talla baja,2011-01-01,1,3,3,3,9,11,13,17,30
SAN PEDRO,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,2,4,8,4,14,9,23
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-01-01,46,39,79,60,73,59,198,158,356
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.2 talla baja,2011-01-01,3,6,8,4,6,10,17,20,37
SAN PEDRO DE QUEMES,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,0,0,2,1,3,1,4
SAN PEDRO DE TIQUINA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,2,4,0,4,2,6
SAN PEDRO(PND),estado nutricional,l 9.2 talla baja,2011-01-01,1,0,0,0,0,0,1,0,1
SAN RAFAEL,estado nutricional,l 9.2 talla baja,2011-01-01,1,3,6,4,3,1,10,8,18
SAN RAMON BENI,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,1,0,3,1,4,3,7
SAN RAMON SCZ,estado nutricional,l 9.2 talla baja,2011-01-01,2,0,1,1,3,0,6,1,7
SANTA ANA,estado nutricional,l 9.2 talla baja,2011-01-01,4,0,3,6,4,3,11,9,20
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.2 talla baja,2011-01-01,101,76,90,60,81,80,272,216,488
SANTA ROSA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,3,2,1,1,5,4,9
SANTA ROSA DEL SARA,estado nutricional,l 9.2 talla baja,2011-01-01,3,0,4,4,2,7,9,11,20
SANTIAGO DE CALLAPA,estado nutricional,l 9.2 talla baja,2011-01-01,2,0,4,3,2,1,8,4,12
SANTIAGO DE HUARI,estado nutricional,l 9.2 talla baja,2011-01-01,11,2,6,8,22,13,39,23,62
SANTIAGO DE HUATA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,2,1,1,0,3,2,5
