,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,1,2,1,5
CALAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,4,1,0,7
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,5,2,0,11
CAMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,25,14,0,1,40
CAPINOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,12,7,1,2,22
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,0,0,4
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,6,1,2,15
CARANAVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,26,20,0,1,47
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,10,3,4,22
CARIPUYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,1,0,3
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,3,1,0,6
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,3,2,4,16
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,0,1,3
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,1,2,5
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,0,0,1
CHAYANTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,3,1,0,11
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,13,1,1,20
CHIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,1,0,0,2
CHOQUE COTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,1,1,2
CHUA COCANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,7,0,0,9
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,4,2,0,7
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,7,3,4,15
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,12,12,9,7,40
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,23,24,18,14,79
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,7,17,7,38
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,261,279,35,30,605
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,19,22,8,2,51
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,6,0,1,12
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,7,0,0,11
COLPA BELGICA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,4,2,2,11
COLQUECHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,8,4,12,27
COLQUENCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,2,0,0,10
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,4,0,2,9
COMARAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,5,0,0,10
COMBAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,0,1,2
CONCEPCION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,11,6,3,4,24
COPACABANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,3,2,5,15
CORIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,7,0,0,12
CORO CORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,2,6,9
COROICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,5,1,0,8
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,2,2,8
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,6,5,2,19
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,35,25,1,0,61
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,10,14,3,1,28
CUEVO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,4,2,7
CULPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,8,2,2,19
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,1,1,5
CURVA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,2,1,4
DESAGUADERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,0,0,2
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,251,258,84,70,663
EL CHORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,0,1,1
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,4,0,0,9
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,3,0,2,8
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,25,41,8,12,86
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,0,0,2
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,7,4,10,30
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,17,16,7,5,45
ESCOMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,0,1,1
EUCALIPTUS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,3,2,0,6
EXALTACION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,5,0,0,6
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,9,8,7,33
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,3,3,0,7
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,8,0,0,13
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,3,2,6
GUANAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,5,7,5,23
GUAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,3,0,0,4
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,21,17,2,1,41
GUTIERREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,1,0,5
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,3,0,2,5
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,1,1,0,3
HUACHACALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,5,3,9,24
HUARACAJE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,0,0,2
HUARINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,1,1,2,7
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
HUMANATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,1,1,2
ICHOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,0,0,2
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,4,2,1,9
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,2,2,1,9
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,3,0,0,6
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,8,0,2,18
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,2,0,1,7
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,3,1,1,7
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,7,3,1,16
LA ASUNTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,12,19,1,0,32
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,74,68,3,5,150
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,332,307,8,12,659
LA RIVERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,0,0,1
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,7,6,2,17
LAJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,15,1,1,26
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,2,0,3
LICOMA PAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,1,0,2
LLALLAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,6,11,16,38
LLICA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
LORETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,10,11,22
LURIBAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,3,3,1,7
MACHACAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,3,0,1,4
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,5,6,3,21
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,4,0,1,9
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,9,0,0,14
MALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,0,1,1
MAPIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,11,7,4,11,33
MECAPACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,4,7,2,22
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,14,10,4,2,30
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,9,4,5,23
MOCOMOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,1,1,6
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,2,0,1,7
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,15,19,0,0,34
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,83,94,28,23,228
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,4,1,0,6
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,3,4,7,16
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,5,1,7
NAZACARA DE PACAJES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,0,1,1
OCURI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,1,1,5
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,13,13,4,4,34
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,6,0,7
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,118,106,13,12,249
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,4,0,1,12
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,11,2,3,23
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,7,9,4,25
PALCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,10,14,1,1,26
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,16,12,4,2,34
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,1,1,4
PAMPA GRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,2,0,0,9
PAPEL PAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,2,1,1,5
PASORAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,2,1,5
PATACAMAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,2,0,0,8
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,3,1,0,10
PELECHUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,1,0,4
POCOATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,3,4,7,16
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,3,0,0,8
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,1,4,9
POOPO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,1,0,4
PORCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,6,0,0,10
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,1,0,3
PORONGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,4,9,2,18
PORTACHUELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,10,0,0,17
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,4,6,6,16
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,92,89,26,18,225
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,7,1,3,14
PUCARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,9,2,6,25
PUERTO ACOSTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,1,0,1
PUERTO CARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,2,9,5,19
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,1,1,3,6
PUERTO PEREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,2,0,2
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,11,7,0,0,18
PUERTO RICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,0,0,0,5
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,3,0,0,11
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,20,21,1,2,44
PUNA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,3,3,3,10
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,16,12,4,6,38
QUIABAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,0,0,4
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,54,54,43,42,193
QUIME,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,4,0,2,9
QUIRUSILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,1,0,2
RAQAYPAMPA(ETA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,3,4,10
RAVELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,2,4,2,9
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,3,4,2,9
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,27,35,2,2,66
ROBORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,0,0,3
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,7,0,0,13
SABAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,0,0,0,2
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,63,60,11,10,144
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,2,2,5
SACACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,2,1,7
SAIPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,3,5,8,19
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,5,1,2,11
SAMAIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,3,2,9
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,3,0,0,6
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,2,0,0,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,5,1,0,7
SAN BENITO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,1,0,4,6
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,17,12,3,0,32
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,5,1,3,12
SAN CARLOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,17,13,0,2,32
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,6,3,2,16
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,14,1,6,29
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,0,1,1,5
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,8,0,0,15
SAN JOAQUIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,6,0,0,10
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,16,29,29,78
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,12,7,4,26
SAN JULIAN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,40,36,4,5,85
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,1,0,4
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,7,0,0,16
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,6,11,8,4,29
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,3,2,5,14
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,4,16,7,34
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,3,0,4
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,8,0,0,17
