,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,1,1,2
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,0,0,0,1
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,3,0,0,0,3
SAMAIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,0,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,2,0,0,0,2
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,0,1
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,1,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,9,6,0,2,17
TAHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,2,0,2
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,18,11,0,0,29
TARVITA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,0,1
YAPACANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,1,0,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,2,2
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,2,2
CARANAVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,5,0,0,7
CHAQUI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,4,2,1,1,8
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,4,5,11,16,36
"COLCHA ""K""",vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,3,1,4
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,3,0,0,5
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,15,17,9,10,51
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,0,1
ICHOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,1,3,5
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,0,1,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,9,13,1,2,25
LORETO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,3,0,0,5
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,1,0,0,2
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,6,9,5,22
PAMPA GRANDE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
POJO (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,2,4,0,8
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,1,1,0,4
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,5,0,0,0,5
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,1,2,3,8
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,2,0,2
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
SAN PEDRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,0,2,0,4
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,3,4
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,3,5,0,0,8
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,22,15,18,12,67
SANTIVAÑES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,0,0,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,1,0,0,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,10,10,0,0,20
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,3,0,0,1,4
TIAWANACU,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,2,3,6
TOTORA(CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,3,4
TOTORA(ORR),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,0,1,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,5,8,13
TUPIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,0,1,0,1
VILLA RIVERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,1,1,3
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,6,38,8,11,63
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,2,0,1,0,3
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,0,1,0,0,1
YAPACANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-04-01,1,2,2,3,8
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,0,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,2,1,0,3
CKOCHAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,1,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,16,12,4,1,33
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,11,15,5,7,38
EL PUENTE(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,0,1,1
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,0,1,1
EXALTACION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,2,2,4
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,1,0,1,3
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,11,18,1,4,34
LLALLAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,2,3
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,9,14,3,3,29
OMEREQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,4,7,1,0,12
PATACAMAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,1,2
POCONA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,1,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,2,0,3,2,7
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,1,0,1,3
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,0,1
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,3,0,0,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,3,2,5
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,2,0,2
SAN RAFAEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,28,18,6,7,59
SANTA ROSA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,2,3
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,0,1,1
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,2,0,0,0,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,9,10,0,0,19
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
TIAWANACU,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,2,2,0,0,4
TUPIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,0,0,1
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,0,1,1,2
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,17,6,4,7,34
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,1,0,1,2,4
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-05-01,0,1,0,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,1,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,1,1
CKOCHAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,2,2,3,8,15
COLPA BELGICA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,1,0,0,2
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,7,5,5,4,21
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,0,0,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,2,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,9,25,1,3,38
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,1,0,2
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,1,1,2,5
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,1,1,2
PORCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,1,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,0,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,0,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,2,2,4
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,21,20,1,0,42
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,2,5,0,0,7
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,3,0,0,3
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,1,0,0,0,1
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,2,0,2,1,5
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,2,1,1,2,6
VILLA RIVERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,1,0,0,1
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,0,0,0,1,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-06-01,2,3,0,0,5
ANDAMARCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
CLIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,12,9,1,1,23
COPACABANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,8,10,7,7,32
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,1,0,0,2
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,3,0,0,0,3
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,3,1,8,3,15
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,3,8,0,0,11
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,6,4,2,1,13
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,1,0,1,3
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,2,0,0,3
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,0,1,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,2,0,0,1,3
SAIPINA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,0,1,1
SAN ANDRES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,2,1,4
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,7,8,0,0,15
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,2,0,0,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,2,3
SAN JULIAN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,22,25,1,3,51
SANTA ROSA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,0,0,1
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,4,6,0,0,10
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,0,0,1
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
VILLA CHARCAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,1,0,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,2,0,0,3
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,1,0,1,1,3
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,5,1,1,0,7
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-07-01,0,0,1,0,1
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,0,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,2,0,0,3
COCAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,17,13,0,1,31
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,0,1,1
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,4,1,0,0,5
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,0,1
CUEVO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,4,5,4,8,21
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,1,0,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,0,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,0,0,0,1
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,1,16,22,40
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,1,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,4,5,0,0,9
LLICA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,0,1
MACHACAMARCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,1,0,0,0,1
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,0,1,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,1,0,0,1
MOJOCOYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,2,0,0,0,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,0,1,1
MOROCHATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-08-01,0,0,0,1,1
