,group,variable,month,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,22,19,0,0,41
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,2,1,0,5
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,3,6,0,0,9
QUIABAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,1,0,0,0,1
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,12,11,0,0,23
RURRENABAQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,3,0,1,6
SABAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,24,13,0,0,37
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,4,0,0,6
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,16,15,1,0,32
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,13,13,0,0,26
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,2,1,0,3
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,1,0,1,4
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,17,9,0,0,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,6,0,6,0,12
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,4,3,7
SENA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,5,6,0,0,11
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,8,4,12
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,1,1,0,0,2
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,3,4,8
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,3,0,0,0,3
TOTORA(CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,20,12,4,2,38
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,21,10,0,0,31
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,20,13,0,0,33
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,1,0,1,1,3
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,11,11,0,0,22
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,0,1,0,0,1
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,1,3,0,0,4
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,1,4,0,0,5
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,2,1,0,0,3
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-02-01,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,2,0,0,0,2
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,28,18,0,0,46
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,0,0,2,2,4
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,2,6,0,0,8
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,5,0,0,0,5
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-03-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,0,0,1,0,1
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,3,1,0,0,4
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,12,25,0,0,37
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,2,1,0,0,3
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,3,6,0,0,9
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,2,0,2,0,4
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,0,0,2,0,2
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-04-01,1,1,0,0,2
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,6,8,16
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,18,13,9,17,57
ACHOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,17,10,0,0,27
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,12,5,18
ALALAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,2,7,4,13
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,13,16,3,5,37
ANCORAIMES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,19,12,8,3,42
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,5,3,2,11
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,3,5,10
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,4,2,1,8
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,5,1,1,13
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,19,10,16,26,71
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,7,4,4,2,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,13,3,0,0,16
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,5,3,0,0,8
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,9,6,6,27
AYO AYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,11,3,6,4,24
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,1,5,2,11
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,6,4,10
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,7,8,5,8,28
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,28,10,45,37,120
BOLIVAR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,7,9,18
BOYUIBE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,0,1,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,7,0,0,10
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,1,2,2,11
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,17,11,4,6,38
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,3,7,2,18
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,4,7,11,15,37
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,0,4,5,11
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,3,0,0,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,4,0,0,10
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,18,16,2,0,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,15,6,3,1,25
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,4,7,9,6,26
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,43,36,27,22,128
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,2,10,6,21
CARIPUYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,6,8,14,34
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,2,0,0,3
CATACORA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,5,3,8
CHACARILLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,13,8,6,2,29
CHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,18,23,3,6,50
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,8,13,21
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,2,1,4
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,8,1,0,15
CHOQUE COTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,0,0,1,4
CHUA COCANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,5,4,21,10,40
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,5,3,1,2,11
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,14,5,8,5,32
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,49,53,6,2,110
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,404,385,53,68,910
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,27,26,0,0,53
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,0,0,0,1
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,12,22,4,2,40
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,4,0,0,7
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,11,5,4,10,30
COMANCHE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,2,4,7,16
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,11,13,2,3,29
COMBAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,2,2,5,10
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,3,3,8
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,17,17,7,13,54
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,3,2,6
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,5,2,9
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,2,0,4,6
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,18,17,30,35,100
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,46,42,5,3,96
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,13,15,0,0,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,1,2
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,0,1,3
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,2,3,2,13
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,0,6,4,11
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,8,4,4,1,17
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,386,423,91,84,984
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,3,1,1,5
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,31,35,0,0,66
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,27,33,2,3,65
ESCARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,2,0,4
EUCALIPTUS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,9,7,1,3,20
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,2,0,3,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,8,2,2,18
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,13,5,2,9,29
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,10,8,14,38
GUAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,4,2,4,10
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,2,0,2
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,16,13,8,11,48
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,1,4,11,18
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,6,6,7,11,30
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,3,2,3,9
HUATAJATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,4,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,1,1,2
HUMANATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,7,3,1,14
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,2,4,1,8
ICLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,4,13,15,35
INCAHUASI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,3,6,11,11,31
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,10,3,8,7,28
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,1,0,1,2
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,8,6,22,36,72
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,29,20,13,7,69
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,36,47,7,5,95
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,325,303,25,29,682
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,4,7,3,3,17
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,21,11,1,5,38
LICOMA PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,2,8,5,16
LLICA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,10,15,0,0,25
LORETO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,1,4,5
LURIBAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,2,9,9,22
MACHARETI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,1,1,8,6,16
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,11,8,0,1,20
MALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,1,3,4
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,11,8,7,8,34
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,8,3,0,2,13
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,18,13,5,8,44
MOCOMOCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,9,11,17,16,53
MOJINETE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,0,0,5,6,11
MOJOCOYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,14,17,6,6,43
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,14,15,4,3,36
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,79,63,2,1,145
MORO MORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-05-01,2,4,2,4,12
