,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,3,10,0,0,13
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,11,0,0,0,11
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-02-01,2,0,0,0,2
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-02-01,3,0,0,0,3
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-03-01,0,1,1,0,2
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-03-01,0,0,1,1,2
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-04-01,0,0,0,1,1
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,5,2,0,0,7
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,1,2
BOLIVAR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,3,3,1,4,11
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,3,1,4
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,1,1,3
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,3,1,4
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,3,2,0,0,5
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,3,0,0,3
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,3,4
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,2,2
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,5,5,0,0,10
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,1,0,0,3
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,3,0,0,4
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,3,0,3
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,3,4,7
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,8,10,0,0,18
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,1,2
MACHARETI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,0,0,0,2
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,2,0,0,3
OMEREQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,2,4,1,8
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,6,5,0,0,11
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,2,3
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,1,1,0,4
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,3,1,2,1,7
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,2,0,0,4
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,4,0,0,0,4
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,10,6,1,0,17
SAN ANDRES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,1,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,19,20,0,0,39
SANTIVAÑES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,3,4
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,2,0,0,3
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,0,1
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,11,5,0,0,16
TIAWANACU,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,8,0,0,10
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,2,0,1,0,3
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,0,1
TRIGAL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,1,0,2
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,12,8,4,2,26
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,1,0,0,0,1
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-05-01,0,1,0,0,1
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,6,8,16
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,9,7,9,9,34
ACHOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,0,1
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,4,5,10
ALALAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,3,1,5
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,12,3,5,31
ANCORAIMES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,10,7,0,0,17
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,0,5,5,13
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,3,4,10
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,4,1,1,6
ARAMPAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,5,10,10,30
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,4,0,0,6
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,7,7,1,2,17
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,22,16,0,0,38
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,2,0,5
AUCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,0,0,1
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,2,2,5,13
AYO AYO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,1,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,0,4,4,12
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,0,1,1
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,2,0,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,1,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,2,1,1,6
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,9,11,44,34,98
BOLIVAR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,5,9,14
BOYUIBE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,2,0,3
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,5,8
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,7,5,1,0,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,5,0,2,11
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,4,13,18
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,3,2,7
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,1,0,0,4
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,0,0,1
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,4,6,12
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,9,0,0,20
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,2,3,4,14
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,5,4,1,10
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,22,17,14,11,64
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,3,12,9,25
CARIPUYO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,2,1,5
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,0,0,0,2
CATACORA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,4,0,0,8
CHACARILLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,1,4
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,4,1,4,4,13
CHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,18,17,4,7,46
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,12,15,27
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,11,6,18
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,1,2
CHOQUE COTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,2,0,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,5,1,1,9
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,1,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,4,1,5
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,5,3,3,22
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,22,30,4,1,57
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,123,114,4,4,245
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,17,18,2,0,37
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,0,2
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,13,11,0,0,24
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,3,0,0,4
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,2,9,13
COMANCHE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,0,0,3
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,11,1,4,27
COMBAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,1,4,6
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,2,1,4
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,2,2,4
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,2,1,5
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,4,3,7
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,1,3,2,8
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,2,3
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,37,22,20,26,105
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,26,26,0,0,52
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,12,11,0,1,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,0,2,2
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,0,1,1
CULPINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,4,0,0,7
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,1,2
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,5,2,7
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,5,2,0,0,7
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,180,219,38,54,491
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,4,7,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,4,0,4
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,11,11,0,0,22
EL VILLAR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,2,4,7
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,10,13,0,0,23
ESCOMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,3,0,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,1,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,3,4,0,0,7
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,0,3,0,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,6,7
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,2,0,3
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,2,1,2,7
GUAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,0,0,2
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,2,1,3
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,11,8,10,35
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,3,6
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,6,5,1,6,18
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,4,0,0,5
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,2,5,2,9
ICLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,2,8,8,20
INQUISIVI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,0,3,6,9
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,1,6,7,15
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,1,2,0,0,3
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,2,4,1,2,9
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,16,5,9,8,38
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,9,23,0,2,34
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,158,161,1,4,324
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-06-01,0,1,0,0,1
