,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,1,0,2
BERMEJO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,24,18,2,1,45
BETANZOS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,20,24,8,4,56
BOLIVAR,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,3,2,13
BOLPEBRA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,5,0,0,13
BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,9,2,4,25
CABEZAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,30,24,8,3,65
CAIROMA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,12,3,4,22
"CAIZA ""D""",vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,3,0,2,14
CAJUATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,6,0,2,16
CALACOTO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,3,2,3,8
CALAMARCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,8,6,1,18
CAMARGO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,9,3,0,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,38,33,3,3,77
CAPINOTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,8,0,0,22
CAQUIAVIRI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,4,0,0,12
CARACOLLO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,18,1,0,35
CARANAVI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,40,38,8,5,91
CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
CARAPARI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,11,1,3,25
CARIPUYO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,3,10,4,23
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,3,4,4,13
CATACORA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,2,0,0,3
CHACARILLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,43,23,5,6,77
CHAQUI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,1,2,11
CHARAGUA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,23,18,8,11,60
CHARAÑA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,9,3,4,24
CHIMORE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,13,0,1,30
CHIPAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,4,0,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,1,4,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,16,1,3,30
CHUMA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,6,9,6,26
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,5,1,1,9
CKOCHAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,2,0,1,10
CLIZA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,22,15,6,1,44
COBIJA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,56,68,2,2,128
COCAPATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,6,2,7,20
COCHABAMBA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,788,717,6,2,1513
COLCAPIRHUA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,43,47,0,0,90
"COLCHA ""K""",vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,8,1,1,24
COLLANA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,7,0,0,10
COLOMI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,21,15,0,0,36
COLPA BELGICA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,4,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,15,14,13,54
COLQUENCHA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,3,1,0,14
COLQUIRI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,15,10,5,10,40
COMANCHE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,1,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,19,1,2,33
COMBAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,22,19,8,7,56
COPACABANA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,7,4,4,24
CORIPATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,21,12,0,0,33
CORO CORO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,1,2,11
COROICO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,21,17,0,0,38
CORQUE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,0,1,1,5
COTAGAITA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,7,3,3,22
COTOCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,87,88,3,1,179
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,25,23,11,11,70
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,2,0,1,3
CUEVO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,5,2,2,12
CULPINA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,13,7,5,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,1,0,9
CURVA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,0,3,3,8
DESAGUADERO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,7,1,2,20
EL ALTO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,883,862,77,55,1877
EL CHORO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,3,1,2,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,7,1,0,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,7,2,0,17
EL TORNO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,60,57,0,1,118
EL VILLAR,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,2,1,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,12,7,7,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,17,0,0,33
ESCOMA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,3,2,2,10
EUCALIPTUS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,1,0,0,8
EXALTACION,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,1,0,1,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,7,1,1,18
FILADELFIA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,1,1,3,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,16,3,1,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,11,2,0,16
GUANAY,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,11,7,7,31
GUAQUI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,1,4,5,15
GUAYARAMERIN,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,52,53,0,0,105
GUTIERREZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,18,11,12,4,45
HUACARETA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,5,6,3,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,2,1,0,4
HUACHACALLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,33,25,1,1,60
HUARACAJE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,2,2,1,8
HUATAJATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,1,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,2,4,2,12
ICHOCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,3,0,2,8
ICLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,2,2,1,8
INCAHUASI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,8,3,4,18
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,2,0,1,3
INQUISIVI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,4,5,2,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,8,2,2,18
IXIAMAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,7,1,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,3,0,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,43,52,11,7,113
LA GUARDIA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,95,82,11,2,190
LA PAZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,784,690,14,17,1505
LAGUNILLAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,8,1,5,17
LAJA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,12,1,1,26
LAS CARRERAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,3,0,1,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,1,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,32,28,16,18,94
LLICA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,1,0,0,4
LORETO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,3,4
LURIBAY,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,7,3,2,15
MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,2,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,3,1,0,6
MAGDALENA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,8,1,1,26
MAIRANA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,13,1,0,28
MALLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,0,2,2,6
MAPIRI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,12,2,2,30
MECAPACA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,6,3,2,16
MINEROS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,4,0,0,9
MIZQUE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,23,27,6,7,63
MOCOMOCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,8,6,9,31
MOJINETE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,0,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,6,3,0,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,20,19,5,3,47
MONTERO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,128,137,2,1,268
MORO MORO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,3,0,1,7
MOROCHATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,5,4,4,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,1,3,2,8
OCURI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,7,2,11,27
OKINAWA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,13,14,1,0,28
OMEREQUE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,4,4,2,13
ORURO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,326,324,2,1,653
PADCAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,8,1,0,18
PADILLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,5,1,0,12
PAILON,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,35,28,3,4,70
PALCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,14,5,5,40
PALOS BLANCOS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,27,22,2,4,55
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,5,2,0,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,5,0,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,3,2,2,7
PASORAPA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,18,14,4,2,38
PAZÑA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,3,0,1,10
PELECHUCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,5,0,0,9
POCOATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,5,10,10,28
POCONA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,4,2,2,12
POJO (CBBA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,11,0,2,24
POOPO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,4,0,0,4
PORCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,13,0,4,27
POROMA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,8,2,4,17
PORONGO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,6,7,3,23
PORTACHUELO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,27,18,0,0,45
PORVENIR,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,8,0,0,14
POSTRER VALLE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,245,252,7,20,524
PRESTO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,1,8,2,16
PUCARA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,2,0,0,4
PUCARANI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,13,12,15,13,53
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,3,2,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,3,10,6,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,2,1,5,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,1,6,1,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,17,12,1,1,31
PUERTO RICO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,4,0,0,8
PUERTO SILES,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,21,0,0,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,58,46,4,2,110
PUNA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,13,9,7,2,31
PUNATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,27,30,0,1,58
QUIABAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,2,0,1,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,128,127,34,43,332
QUIME,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,5,0,0,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,2,0,0,5
RAVELO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,9,5,4,23
REYES,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,8,0,1,17
RIBERALTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,140,146,2,13,301
ROBORE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,22,7,0,0,29
RURRENABAQUE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,22,20,1,1,44
SABAYA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,2,0,0,6
SACABA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,128,117,5,5,255
SACABAMBA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,2,2,0,7
SACACA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,17,6,2,35
SAIPINA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,1,0,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,3,3,2,5,13
SAMAIPATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,7,2,2,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,5,3,1,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,0,2,1,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,2,0,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,2,2,1,7
SAN BENITO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,6,1,0,13
SAN BORJA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,61,40,5,4,110
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,8,0,1,19
SAN CARLOS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,26,23,2,0,51
SAN IGNACIO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,22,18,1,2,43
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,61,53,2,4,120
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,2,2,0,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,14,0,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,7,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,13,13,0,0,26
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,11,3,1,22
SAN JULIAN,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,44,46,13,11,114
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,0,1,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,13,13,4,1,31
SAN LUCAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,11,6,9,38
SAN MATIAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,13,0,1,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,18,14,1,0,33
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,3,0,0,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,15,5,12,46
