,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,1,0,2
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,26,27,0,4,57
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,14,2,5,36
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,0,5,3,10
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,3,0,9
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,8,1,0,11
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,21,24,2,1,48
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,10,1,2,22
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,1,0,1,6
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,10,0,0,17
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,4,5
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,5,2,2,13
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,7,1,0,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,39,35,7,6,87
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,22,2,5,46
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,3,0,0,11
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,15,2,1,30
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,46,41,7,3,97
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,13,4,3,28
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,3,5,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,2,4,3,14
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,0,0,0,2
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,14,22,5,4,45
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,5,1,1,11
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,21,14,4,5,44
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,8,4,9,26
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,6,0,0,17
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,1,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,19,6,5,3,33
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,3,0,1,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,3,0,1,15
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,12,5,6,29
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,16,4,2,39
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,93,58,4,2,157
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,6,4,4,18
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,718,780,0,4,1502
COIPASA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,28,30,1,0,59
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,8,2,0,20
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,2,0,5
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,21,13,1,0,35
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,4,0,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,22,19,13,7,61
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,5,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,8,3,5,17
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,18,12,5,2,37
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,14,3,3,37
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,3,3,7,21
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,19,16,0,0,35
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,4,0,4,16
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,16,15,1,0,32
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,0,0,5
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,7,7,2,25
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,43,29,0,0,72
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,10,4,5,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,2,1,8
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,10,6,7,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,1,0,1,4
CURVA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,1,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,0,0,6
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,669,701,63,77,1510
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,4,3,7,18
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,6,0,4,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,4,2,2,20
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,57,49,1,0,107
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,3,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,12,9,9,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,0,0,3
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,2,1,0,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,2,0,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,8,11,1,29
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,3,0,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,9,0,0,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,1,1,3,10
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,11,6,9,31
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,1,2,0,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,37,43,1,0,81
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,15,9,3,34
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,2,2,2,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,2,2,7
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,28,22,0,3,53
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,3,0,1,4
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,1,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,3,1,1,6
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,1,3,9
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,0,0,0,3
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,2,2,7
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,5,2,2,14
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,2,3,6,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,16,8,2,3,29
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,8,0,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,8,0,0,19
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,42,32,12,12,98
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,79,68,10,6,163
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,674,642,7,17,1340
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,5,1,2,12
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,13,13,0,1,27
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,0,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,1,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,24,31,22,20,97
LLICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,4,0,0,8
LORETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,3,4,8
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,6,0,2,11
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,6,0,0,8
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,7,0,0,12
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,7,0,0,10
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,11,0,2,20
MALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,1,1,3
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,16,9,2,3,30
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,5,10,3,28
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,0,2,9
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,23,1,2,43
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,6,2,4,18
MOJINETE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,1,1,4
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,3,3,0,9
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,22,17,3,2,44
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,116,90,3,1,210
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,5,7,3,18
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,0,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,8,9,10,35
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,15,4,1,31
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,1,7,4,15
ORURO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,328,306,3,0,637
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,13,11,1,0,25
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,4,0,0,13
PAILON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,7,1,2,25
PALCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,21,7,1,40
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,18,28,5,5,56
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,4,0,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,7,0,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,0,0,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,22,23,1,2,48
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,4,0,2,12
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,0,0,6
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,5,10,7,24
POCONA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,7,3,1,17
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,7,1,0,14
POOPO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,1,0,0,5
PORCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,8,1,2,26
POROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,5,10,5,22
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,4,7,8,25
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,27,25,0,1,53
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,5,0,0,9
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,222,222,9,11,464
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,2,2,7
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,17,11,6,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,1,8,7,19
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,1,3,9
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,3,4,1,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,1,4,1,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,19,0,1,31
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,9,0,0,11
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,7,0,0,13
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,10,0,0,21
PUNA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,6,4,6,24
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,21,28,3,1,53
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,3,2,2,7
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,84,100,45,44,273
QUIME,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,8,2,4,25
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,1,0,0,4
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,4,6,15
REYES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,3,1,1,8
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,109,106,2,2,219
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,0,0,3
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,12,1,0,24
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,2,3,0,7
SACABA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,135,108,4,3,250
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,1,1,7
SACACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,19,10,1,4,34
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,1,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,3,3,5,15
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,10,0,0,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,8,0,1,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,2,1,1,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,4,2,2,9
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,6,0,2,20
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,16,22,6,2,46
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,7,0,0,16
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,7,15,3,2,27
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,24,1,1,43
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,43,56,6,11,116
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,2,4
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,9,0,0,17
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,15,20,0,0,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,6,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,34,47,10,8,99
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,3,0,1,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,5,2,6,23
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,18,14,10,9,51
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,0,0,2
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,9,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,7,0,0,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,12,1,4,28
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,2,0,4
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,0,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,1,1,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,5,2,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,1,0,3
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,12,9,1,1,23
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,12,0,0,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1243,1146,36,11,2436
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,14,1,1,24
