,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,2,0,3
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,25,24,0,4,53
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,14,2,5,36
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,0,5,3,10
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,3,0,9
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,13,0,1,24
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,16,20,3,2,41
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,8,1,0,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,1,0,1,8
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,10,0,0,17
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,1,3,5
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,6,1,2,13
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,7,1,0,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,36,34,7,6,83
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,21,2,5,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,4,0,0,8
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,14,2,0,25
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,43,43,6,3,95
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,12,2,3,24
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,3,5,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,4,4,4,16
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,19,4,5,43
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,5,1,1,11
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,19,16,9,6,50
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,2,0,0,4
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,8,5,7,25
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,16,10,0,1,27
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,1,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,19,6,5,3,33
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,3,0,2,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,3,1,1,15
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,11,4,7,28
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,18,12,4,1,35
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,70,53,2,4,129
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,6,6,4,20
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,688,718,2,9,1417
COIPASA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,28,26,1,0,55
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,9,2,0,23
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,2,0,3
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,20,14,1,0,35
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,4,0,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,21,18,14,9,62
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,5,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,6,4,4,22
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,18,11,5,2,36
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,21,14,7,4,46
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,3,3,7,21
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,17,18,0,0,35
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,6,1,1,14
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,13,1,0,28
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,1,0,5
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,7,7,4,27
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,65,50,6,1,122
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,17,18,6,6,47
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,2,1,7
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,11,4,7,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,1,3
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,0,0,3
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,0,0,6
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,731,703,50,74,1558
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,4,3,7,18
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,6,0,2,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,4,1,1,17
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,51,58,0,0,109
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,3,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,7,6,12,37
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,14,0,0,28
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,2,2,0,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,2,0,1,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,13,7,4,37
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,3,0,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,6,2,1,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,1,2,2,10
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,12,6,9,31
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,1,3,1,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,28,39,0,0,67
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,15,9,3,34
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,2,2,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,1,2,4
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,27,21,0,3,51
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,3,0,1,4
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,1,0,4
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,1,3,8
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,0,2,0,5
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,2,2,6
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,5,2,1,13
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,2,3,6,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,16,7,2,3,28
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,7,0,0,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,7,0,0,17
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,39,34,13,12,98
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,71,71,2,2,146
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,703,679,12,27,1421
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,5,1,2,12
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,13,0,1,27
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,3,0,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,1,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,23,31,23,19,96
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,3,0,0,6
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,4,5,10
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,5,0,2,10
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,5,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,7,0,0,11
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,8,0,2,17
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,13,0,1,23
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,1,1,3
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,10,3,3,29
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,5,10,3,30
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,5,3,0,10
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,17,18,3,2,40
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,6,2,4,18
MOJINETE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,1,1,4
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,3,3,0,9
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,24,17,3,2,46
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,109,92,2,4,207
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,5,7,3,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,0,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,9,8,10,35
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,14,1,0,28
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,7,4,15
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,287,263,1,0,551
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,11,1,0,27
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,3,0,0,11
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,30,23,8,9,70
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,19,7,0,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,26,2,3,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,2,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,8,0,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,0,0,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,18,24,1,2,45
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,4,0,2,12
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,5,8,6,21
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,7,3,3,19
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,4,1,1,10
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,1,0,0,5
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,8,1,2,25
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,5,10,5,22
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,6,7,8,25
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,20,27,0,1,48
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,5,0,0,9
POSTRER VALLE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,228,222,9,10,469
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,2,2,7
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,18,9,7,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,8,6,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,3,4,13
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,3,3,1,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,1,5,1,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,19,0,1,31
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,10,0,0,12
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,8,0,0,19
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,36,23,1,2,62
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,8,4,6,27
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,21,26,3,1,51
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,1,2,7
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,94,115,45,50,304
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,7,2,4,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,1,0,0,4
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,2,4,7,17
REYES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,4,1,1,9
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,88,95,1,3,187
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,14,0,0,26
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,13,0,0,28
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,2,1,0,5
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,118,89,5,2,214
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,3,1,1,7
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,19,9,4,4,36
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,5,1,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,4,4,5,17
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,15,0,1,25
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,8,0,1,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,1,1,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,4,2,2,9
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,12,7,0,2,21
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,31,39,5,2,77
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,7,0,0,16
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,21,2,1,38
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,22,15,0,1,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,40,48,8,11,107
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,2,2,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,4,0,0,12
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,8,2,0,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,14,0,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,6,0,0,12
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,34,48,17,8,107
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,3,0,0,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,9,2,4,24
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,15,14,9,9,47
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,8,10,2,1,21
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,9,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,9,0,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,12,4,5,32
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,2,2,0,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,0,0,0,2
