,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,2,1,4
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,1,1,3
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,22,18,2,1,43
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,20,24,7,4,55
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,3,2,13
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,5,0,0,13
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,14,2,1,22
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,24,23,8,3,58
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,11,3,4,21
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,2,0,2,13
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,5,0,1,14
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,3,2,3,8
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,8,6,1,18
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,9,3,0,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,36,28,3,3,70
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,8,0,0,20
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,4,0,0,12
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,18,1,0,34
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,40,36,8,5,89
CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,0,1
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,10,1,3,26
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,3,10,5,24
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,3,4,4,13
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,2,0,0,3
CHACARILLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,37,22,3,5,67
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,1,2,11
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,23,17,4,10,54
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,9,2,4,23
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,11,0,1,26
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,4,0,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,1,4,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,17,1,1,28
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,7,9,5,26
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,5,1,1,9
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,2,0,1,10
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,22,16,6,1,45
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,57,65,2,2,126
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,4,3,6,16
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,775,703,5,6,1489
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,43,47,0,0,90
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,13,8,1,1,23
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,7,0,0,10
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,21,15,0,0,36
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,4,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,14,13,13,52
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,3,1,0,14
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,11,5,10,41
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,1,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,19,1,2,33
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,1,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,22,19,8,7,56
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,7,4,3,23
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,11,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,2,1,2,10
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,21,15,0,0,36
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,0,1,1,5
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,6,3,3,21
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,83,76,3,1,163
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,23,23,8,10,64
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,2,0,1,3
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,5,2,2,11
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,13,7,4,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,1,0,9
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,1,2,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,6,1,1,18
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,852,790,65,51,1758
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,3,1,2,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,5,1,0,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,7,2,0,17
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,59,59,0,1,119
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,2,1,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,12,7,7,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,15,0,0,29
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,3,1,2,8
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,2,0,0,9
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,0,1,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,5,1,1,16
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,1,1,3,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,16,15,2,1,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,11,2,0,16
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,10,7,7,31
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,1,3,4,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,39,32,0,0,71
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,11,12,4,45
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,5,6,3,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,2,1,0,4
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,31,24,1,1,57
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,2,2,1,8
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,3,2,9
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,3,0,2,8
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,2,2,1,8
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,7,3,4,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,2,0,1,3
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,3,5,1,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,8,1,2,17
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,6,1,0,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,3,0,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,40,52,10,7,109
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,94,83,11,2,190
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,790,695,12,17,1514
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,8,1,5,17
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,12,1,1,25
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,3,0,1,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,32,28,16,18,94
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,2,0,0,5
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,2,3
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,7,3,2,15
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,2,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,3,0,0,5
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,9,1,1,26
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,13,13,1,0,27
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,0,2,2,6
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,12,2,2,30
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,6,3,2,16
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,3,0,0,7
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,21,31,4,7,63
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,8,5,9,30
MOJINETE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,6,3,0,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,20,20,4,4,48
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,123,133,3,2,261
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,3,0,1,7
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,6,4,4,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,1,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,3,2,8
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,7,2,11,27
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,13,11,1,0,25
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,4,3,3,13
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,302,315,2,0,619
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,8,1,0,19
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,5,1,0,12
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,26,22,7,7,62
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,14,5,5,39
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,25,21,1,4,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,5,2,0,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,5,0,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,3,2,2,7
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,17,13,4,2,36
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,0,1,9
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,4,0,0,6
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,4,11,10,28
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,4,2,2,12
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,7,0,2,14
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,4,0,0,4
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,13,0,4,26
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,8,2,4,17
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,6,7,3,23
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,27,18,0,0,45
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,8,0,0,14
POSTRER VALLE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,240,242,7,19,508
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,1,8,2,16
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,0,0,4
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,11,15,13,51
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,2,3,2,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,3,10,6,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,2,1,5,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,1,6,1,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,17,12,1,1,31
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,4,0,0,9
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,16,21,0,0,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,35,29,3,0,67
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,10,7,2,31
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,27,31,0,1,59
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,2,0,1,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,119,131,32,39,321
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,5,0,0,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,1,0,0,4
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,9,5,4,23
REYES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,8,0,1,17
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,93,113,2,1,209
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,17,10,0,1,28
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,21,18,0,1,40
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,2,0,0,6
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,110,106,4,5,225
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,2,2,0,7
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,16,6,2,34
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,1,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,3,3,2,5,13
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,7,2,2,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,5,3,1,15
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,0,2,1,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,2,0,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,2,1,7
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,6,1,0,13
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,60,36,5,3,104
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,8,0,1,18
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,25,24,2,0,51
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,16,1,2,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,61,53,2,4,120
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,2,0,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,10,1,0,20
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,8,0,0,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,15,0,0,29
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,11,0,1,19
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,44,46,12,11,113
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,0,1,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,13,13,4,1,31
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,12,9,6,6,33
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,16,13,0,1,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,18,14,1,0,33
