,group,variable,month,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,0,3,4,7
BERMEJO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,16,24,5,5,50
BETANZOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,19,5,5,33
BOLIVAR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,0,2,0,3
BOLPEBRA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,3,1,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,8,6,3,26
CABEZAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,24,24,2,1,51
CAIROMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,4,4,4,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,5,1,0,10
CAJUATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,6,1,0,12
CALACOTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,2,3,7
CALAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,7,2,4,15
CAMARGO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,9,3,2,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,2,0,0,4
CAMIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,41,33,3,2,79
CAPINOTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,21,0,2,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,3,0,0,10
CARACOLLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,17,10,2,3,32
CARANAVI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,32,29,6,4,71
CARAPARI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,8,7,6,32
CARIPUYO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,5,5,6,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,6,7,9,26
CATACORA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,20,23,6,6,55
CHAQUI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,4,2,4,16
CHARAGUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,21,17,17,16,71
CHARAÑA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,6,4,5,20
CHIMORE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,15,21,3,1,40
CHIPAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,0,0,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,17,10,7,3,37
CHUMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,4,1,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,5,2,4,15
CKOCHAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,5,4,2,15
CLIZA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,23,14,2,4,43
COBIJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,74,57,4,3,138
COCAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,4,3,4,18
COCHABAMBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,652,630,4,1,1287
COLCAPIRHUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,37,30,0,1,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,9,0,0,21
COLLANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,2,0,3
COLOMI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,16,17,3,1,37
COLPA BELGICA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,6,1,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,13,10,19,11,53
COLQUENCHA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,6,0,1,12
COLQUIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,8,7,4,25
COMANCHE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,2,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,23,7,3,1,34
COMBAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,2,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,20,9,5,12,46
COPACABANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,5,8,6,25
CORIPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,16,11,0,0,27
CORO CORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,6,0,3,13
COROICO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,18,10,0,0,28
CORQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,4,0,1,6
COTAGAITA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,10,1,4,19
COTOCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,72,51,4,2,129
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,16,21,9,4,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
CULPINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,10,5,8,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,3,0,0,4
CURVA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,1,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,2,1,1,9
EL ALTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,675,699,78,73,1525
EL CHORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,5,3,1,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,8,0,0,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,9,1,1,15
EL TORNO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,42,52,2,0,96
EL VILLAR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,0,1,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,11,4,7,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,26,21,1,1,49
ESCOMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,1,1,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,3,0,0,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,0,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,2,0,0,7
FILADELFIA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,3,0,2,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,6,3,1,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,4,4,2,14
GUANAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,9,6,5,28
GUAQUI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,2,1,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,50,40,1,0,91
GUTIERREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,5,5,3,15
HUACARETA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,4,3,1,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,4,1,0,6
HUACHACALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,17,23,1,0,41
HUARACAJE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,2,0,1,6
HUATAJATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,4,0,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,0,2,5
HUMANATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,2,3,8
ICHOCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,2,2,7
ICLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,3,0,2,7
INCAHUASI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,9,3,9,22
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,0,3,0,3
INQUISIVI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,7,6,4,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,10,1,3,26
IXIAMAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,8,1,1,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,9,0,0,18
LA ASUNTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,43,28,7,3,81
LA GUARDIA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,76,73,2,2,153
LA PAZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,645,578,10,12,1245
LAGUNILLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,5,1,2,11
LAJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,8,0,3,23
LAS CARRERAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,1,0,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,0,3,1,6
LLALLAGUA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,24,14,10,16,64
LLICA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1
LORETO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,0,7,5,12
LURIBAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,5,2,4,15
MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,3,0,0,5
MACHARETI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,4,2,0,10
MAGDALENA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,10,2,1,21
MAIRANA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,15,0,1,23
MALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,2,0,0,2
MAPIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,16,0,1,29
MECAPACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,6,2,3,20
MINEROS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,2,0,2,6
MIZQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,24,22,4,4,54
MOCOMOCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,4,2,7,23
MOJOCOYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,6,1,4,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,26,21,3,1,51
MONTERO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,128,120,3,3,254
MORO MORO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,2,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,4,5,4,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,0,0,0,3
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,1,0,2,6
OCURI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,4,6,8,26
OKINAWA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,15,10,3,1,29
OMEREQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,6,1,10
ORURO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,275,259,0,1,535
PADCAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,12,5,5,34
PADILLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,4,0,0,6
PAILON,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,24,20,8,10,62
PALCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,20,7,2,1,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,25,11,5,7,48
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,4,0,2,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,10,0,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,2,1,0,7
PASORAPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,0,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,17,3,0,31
PAZÑA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,5,1,4,11
PELECHUCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,2,1,0,7
POCOATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,2,3,4,11
POCONA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,12,2,0,17
POJO (CBBA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,7,0,3,15
POOPO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,4,0,0,12
PORCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,4,1,1,15
POROMA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,2,4,6,14
PORONGO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,6,6,7,26
PORTACHUELO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,27,19,0,0,46
PORVENIR,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,4,0,0,7
POTOSI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,244,186,16,6,452
PRESTO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,4,0,7
PUCARA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,21,9,7,11,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,2,9,2,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,2,2,5,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,4,3,0,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,0,3,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,18,1,2,31
PUERTO RICO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,5,0,0,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,13,11,0,0,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,51,49,1,1,102
PUNA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,6,5,1,21
PUNATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,14,22,1,2,39
QUIABAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,0,0,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,87,89,49,49,274
QUIME,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,8,1,0,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,4,5,4,16
REYES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,4,0,1,14
RIBERALTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,109,86,4,7,206
ROBORE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,15,0,0,27
RURRENABAQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,19,11,0,3,33
SABAYA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,4,0,0,6
SACABA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,104,124,5,4,237
SACABAMBA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,6,0,2,9
SACACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,16,3,3,33
SAIPINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,2,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,5,4,5,20
SAMAIPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,14,8,0,0,22
SAN AGUSTIN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,6,2,1,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,5,2,10
SAN BENITO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,15,9,0,0,24
SAN BORJA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,55,40,4,5,104
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,8,0,0,16
SAN CARLOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,17,15,4,3,39
SAN IGNACIO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,16,21,0,5,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,37,64,7,10,118
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,1,2,1,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,14,9,0,0,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,5,0,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,27,22,0,0,49
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,5,1,1,19
SAN JULIAN,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,38,34,5,11,88
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,2,0,1,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,11,9,1,3,24
SAN LUCAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,12,5,9,38
SAN MATIAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,10,0,2,20
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,8,6,1,1,16
SAN PEDRO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,13,0,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,15,14,2,5,36
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,4,1,0,6
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,1,0,4
SAN RAFAEL,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,6,1,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,1,0,1,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,11,2,1,17
