,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
CALACOTO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,1,4,6
CALAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,4,10,19
CAMARGO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,14,3,1,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,1,1
CAMIRI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,43,36,3,4,86
CAPINOTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,11,4,1,25
CAQUIAVIRI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,7,5,13
CARACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,11,0,3,19
CARANAVI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,44,33,3,5,85
CARAPARI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,1,2,2,11
CARIPUYO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,4,7,10,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,2,4,8
CATACORA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,29,38,3,4,74
CHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,4,3,2,14
CHARAGUA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,25,26,16,15,82
CHARAÑA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,0,0,5
CHAYANTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,7,7,18
CHIMORE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,3,4,1,16
CHIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total bcg,2015-01-01,20,20,1,1,42
CHUMA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,4,9,7,23
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,5,2,4,12
CKOCHAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,4,3,4,13
CLIZA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,24,20,1,1,46
COBIJA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,83,77,0,0,160
COCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,3,4,12
COCHABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,893,835,2,2,1732
COLCAPIRHUA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,36,20,0,0,56
"COLCHA ""K""",vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,5,3,1,13
COLLANA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,4,1,1,11
COLOMI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,14,6,3,32
COLPA BELGICA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,3,2,7
COLQUECHACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,13,19,23,18,73
COLQUENCHA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,2,3,7
COLQUIRI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,15,26,43
COMARAPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,16,14,1,1,32
COMBAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,0,1,3
CONCEPCION,vacunaciones en menores de 1 ano,total bcg,2015-01-01,15,12,7,7,41
COPACABANA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,10,2,2,18
CORIPATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,3,4,0,15
CORO CORO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,4,4,9
COROICO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,15,25,2,0,42
CORQUE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,1,1,4
COTAGAITA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,5,6,5,18
COTOCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,52,47,1,3,103
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,19,12,11,8,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
CUEVO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,3,0,1,5
CULPINA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,8,8,4,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,0,1,0,5
EL ALTO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,787,780,41,35,1643
EL CHORO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,3,2,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,3,0,0,7
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,6,6,13
EL TORNO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,66,59,0,0,125
EL VILLAR,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,2,1,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,14,2,5,26
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,14,9,0,0,23
ESCOMA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,6,0,0,9
EUCALIPTUS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,8,0,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,1,2,6
EXALTACION,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,2,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,10,7,0,8,25
FILADELFIA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,7,1,1,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,9,1,1,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,7,6,1,18
GUANAY,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,9,4,1,22
GUAQUI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,3,2,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,total bcg,2015-01-01,33,25,0,0,58
GUTIERREZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,1,4,6,17
HUACARETA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,0,0,5
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,1,2,6
HUANUNI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,23,15,1,0,39
HUARACAJE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,2,0,2
HUARINA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,2,4,7
HUATAJATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,1,0,3
HUMANATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,1,3,7
ICHOCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,2,3,7
ICLA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,3,4,0,10
INCAHUASI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,10,3,3,19
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,0,0,1,4
INQUISIVI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,5,1,5,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,3,2,5,15
IXIAMAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,9,0,2,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,1,4,0,9
LA ASUNTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,43,36,3,6,88
LA GUARDIA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,37,31,14,14,96
LA PAZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1017,971,11,13,2012
LAGUNILLAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,3,1,1,9
LAJA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,11,3,4,21
LAS CARRERAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,1,3,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,2,2
LLALLAGUA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,20,10,36,32,98
LLICA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,1,1,8
LORETO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,3,0,4
LURIBAY,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,0,1,6
MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,0,0,2
MACHARETI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,4,0,0,6
MAGDALENA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,6,5,1,19
MAIRANA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,22,18,0,1,41
MALLA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,0,0,1
MAPIRI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,7,2,1,18
MECAPACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,6,2,2,16
MINEROS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,1,1
MIZQUE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,28,33,14,9,84
MOCOMOCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,4,10,6,21
MOJOCOYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,2,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,22,17,0,2,41
MONTERO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,179,166,0,0,345
MORO MORO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
MOROCHATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,7,5,14
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,1,0,0,3
OCURI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,3,7,7,22
OKINAWA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,11,8,2,1,22
OMEREQUE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,1,0,2
ORURO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,430,440,0,0,870
PADCAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,1,0,0,8
PADILLA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,7,0,0,16
PAILON,vacunaciones en menores de 1 ano,total bcg,2015-01-01,38,35,1,2,76
PALCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,6,5,7,21
PALOS BLANCOS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,12,16,2,1,31
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,0,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,9,0,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,1,1,4
PASORAPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,20,29,1,0,50
PAZÑA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,2,1,3
PELECHUCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,1,4,7
POCOATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,4,10,12,28
POCONA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,4,1,3,9
POJO (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,8,1,0,16
POOPO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,0,1,5
PORCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,16,14,1,1,32
POROMA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,4,8,2,18
PORONGO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,7,5,18
PORTACHUELO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,18,28,0,0,46
PORVENIR,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,3,0,0,4
POSTRER VALLE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,263,269,13,8,553
PRESTO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,2,4,5,13
PUCARANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,11,7,12,11,41
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,1,7,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,2,4,6,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,4,1,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,5,3,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,17,1,1,27
PUERTO RICO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,5,0,0,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,20,12,0,0,32
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total bcg,2015-01-01,67,52,0,0,119
PUNA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,7,4,6,18
PUNATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,39,32,1,1,73
QUIABAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,1,4,6
QUILLACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,133,127,12,11,283
QUIME,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,9,3,14
QUIRUSILLAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,6,5,2,18
REYES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,12,7,0,1,20
RIBERALTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,139,113,0,0,252
ROBORE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,12,10,0,3,25
RURRENABAQUE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,11,25,3,2,41
SABAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,2,1,5
SACABA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,120,116,2,2,240
SACABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,1,0,5
SACACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,13,18,5,2,38
SAIPINA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,0,1,0,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,4,2,12
SAMAIPATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,3,0,0,6
SAN AGUSTIN,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,0,2,4
SAN ANDRES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,0,2,5
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,4,1,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,1,2,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,0,4,9
SAN BENITO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,3,0,0,8
SAN BORJA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,50,31,2,6,89
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,6,1,2,17
SAN CARLOS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,10,14,3,7,34
SAN IGNACIO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,18,3,1,28
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,44,67,4,4,119
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,2,0,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total bcg,2015-01-01,23,16,0,1,40
SAN JOAQUIN,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,1,2,5
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,27,8,0,0,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,3,0,1,10
SAN JULIAN,vacunaciones en menores de 1 ano,total bcg,2015-01-01,43,32,10,5,90
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,3,0,0,6
SAN LUCAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,15,24,8,5,52
SAN MATIAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,13,15,1,3,32
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,7,0,0,13
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,8,0,1,16
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,21,20,4,6,51
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,3,1,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,1,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,1,1,0,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,1,0,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,7,0,1,17
SANTA ANA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,17,13,0,2,32
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1804,1596,108,79,3587
SANTA ROSA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,11,4,3,1,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,4,4,0,16
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,0,1,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,4,3,4,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,5,3,13
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,1,2,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,2,4,7
SAPAHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,3,4,10
SENA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,2,2,0,5
SHINAOTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,16,20,0,2,38
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,6,9,12,29
SICAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,2,1,4
SIPE SIPE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,35,38,0,0,73
SOPACHUY,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,1,5,2,10
SORACACHI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,5,5,2,13
SORATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,4,8,8,26
SUCRE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,270,237,4,4,515
TACACHI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,1,1,3
TACACOMA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,0,0,2,5
TACOBAMBA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,6,2,9
TACOPAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,1,6,4,13
TAHUA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,4,4,9,25
TARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,14,10,4,2,30
TARACO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,7,2,10
TARATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,7,0,0,9
TARIJA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,252,264,1,1,518
TARVITA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,4,2,8,22
TEOPONTE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,4,0,0,11
TIAWANACU,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,9,1,0,17
TINGUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,10,10,0,6,26
TIPUANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,3,1,3,11
TIQUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,66,65,2,3,136
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,8,3,6,25
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,1,0,2
TOCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,1,0,3
TOLATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,2,0,1,8
TOLEDO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,4,7,11
TOMAVE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,4,7,1,19
TOMINA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,2,5,11
TORO TORO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,8,7,20
TOTORA(CBBA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,11,4,0,22
TOTORA(ORR),vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,0,1,3
TRIGAL,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total bcg,2015-01-01,173,155,0,0,328
TUPIZA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,53,57,1,4,115
TURCO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,2,1,0,3
UMALA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,2,6,4,15
UNCIA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,23,23,1,5,52
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,3,2,0,9
URUBICHA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,3,1,1,5
UYUNI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,29,27,2,1,59
VACAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,6,7,15
VALLEGRANDE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,16,21,0,0,37
VIACHA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,46,46,2,3,97
