,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,3,4,9
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,17,33,8,3,61
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,20,5,5,33
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,2,0,3
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,3,1,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,4,5,1,15
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,22,24,4,3,53
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,5,4,2,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,1,0,5
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,6,1,0,12
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,3,1,5
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,6,2,4,14
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,9,4,3,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,0,0,4
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,42,33,4,3,82
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,21,0,1,28
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,4,0,0,9
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,17,10,2,3,32
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,35,31,6,4,76
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,13,8,4,36
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,5,5,6,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,5,4,6,16
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,19,26,5,7,57
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,4,2,4,16
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,20,10,12,12,54
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,5,5,4,22
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,9,1,0,16
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,0,0,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,16,10,7,4,37
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,4,1,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,5,2,4,15
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,6,4,2,16
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,27,16,1,4,48
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,87,56,3,6,152
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,3,4,4,17
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,707,639,4,1,1351
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,34,28,0,1,63
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,9,0,0,21
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,2,0,3
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,15,2,0,31
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,6,1,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,12,19,11,55
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,6,0,1,12
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,6,7,2,16
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,22,7,3,1,33
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,18,9,2,7,36
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,5,6,3,20
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,18,11,0,0,29
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,5,0,1,6
COROICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,16,10,2,0,28
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,4,0,1,5
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,11,1,3,19
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,32,40,0,1,73
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,15,3,0,26
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,9,2,6,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,0,0,4
CURVA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,1,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,4,1,1,11
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,645,634,63,63,1405
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,5,3,1,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,8,0,0,13
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,12,0,0,18
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,42,52,2,0,96
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,0,1,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,12,5,5,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,0,0,4
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,1,1,5
ESMERALDA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,3,0,0,10
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,0,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,0,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,4,16,0,25
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,0,0,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,7,0,0,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,4,2,2,12
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,4,6,7,25
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,2,1,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,54,42,1,0,97
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,5,5,3,15
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,4,3,1,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,3,0,0,5
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,16,28,1,0,45
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,2,0,1,6
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,4,0,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,0,2,5
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,2,3,8
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,2,2,8
ICLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,0,2,6
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,9,3,9,22
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,0,3,0,3
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,6,6,4,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,10,1,3,26
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,8,1,1,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,11,0,0,20
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,45,32,7,4,88
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,67,74,2,2,145
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,615,553,9,6,1183
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,5,1,2,11
LAJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,8,0,3,24
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,0,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,3,1,6
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,24,15,10,16,65
LLICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,0,0,1
LORETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,0,5,6,11
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,5,2,5,16
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,0,0,4
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,4,2,0,9
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,6,0,0,11
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,5,0,1,8
MALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,0,0,2
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,17,16,0,1,34
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,5,2,3,19
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,0,1,4
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,25,22,4,4,55
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,4,2,7,23
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,6,1,4,11
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,25,20,3,1,49
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,125,114,2,3,244
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,4,5,5,20
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,0,0,3
OCURI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,3,6,7,24
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,9,1,0,25
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,6,1,10
ORURO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,280,278,1,1,560
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,11,3,2,27
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,4,0,0,6
PAILON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,4,1,2,15
PALCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,18,7,2,1,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,23,9,5,7,44
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,4,0,2,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,10,0,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,1,0,7
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,19,3,0,34
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,5,1,4,12
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,2,0,0,7
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,6,5,15
POCONA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,12,2,0,17
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,5,0,1,10
POOPO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,4,0,0,12
PORCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,4,2,1,16
POROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,2,4,6,14
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,7,5,6,23
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,18,17,0,0,35
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,4,0,0,6
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,204,187,16,5,412
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,4,0,7
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,21,11,6,11,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,2,9,2,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,1,2,4,13
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,4,1,0,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,3,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,18,1,2,31
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,7,0,0,11
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,15,0,1,26
PUNA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,5,5,1,24
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,23,1,2,41
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,0,0,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,64,68,40,38,210
QUIME,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,8,1,0,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,1,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,5,4,5,17
REYES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,5,0,1,17
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,99,87,0,3,189
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,0,0,4
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,11,0,4,30
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,6,0,0,9
SACABA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,113,118,4,4,239
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,6,0,2,9
SACACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,15,3,3,32
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,5,1,0,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,4,4,7,21
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,9,0,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,6,2,1,15
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,5,2,10
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,13,9,0,0,22
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,17,19,3,5,44
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,8,0,0,13
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,13,4,3,29
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,24,18,0,4,46
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,38,66,7,8,119
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,2,1,6
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,5,0,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,26,21,0,0,47
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,5,1,1,21
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,39,36,7,11,93
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,0,2,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,14,2,1,31
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,12,4,10,37
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,0,0,3
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,8,6,1,1,16
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,13,0,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,15,12,2,4,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,2,1,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,2,0,5
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,6,1,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,1,0,1,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,11,2,1,24
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,19,23,0,0,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1222,1121,26,13,2382
