,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,25,24,0,4,53
BETANZOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,15,14,2,5,36
BOLIVAR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,0,5,3,10
BOLPEBRA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,3,0,9
BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,11,0,2,21
CABEZAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,24,3,2,47
CAIROMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,10,1,0,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,2,0,1,6
CAJUATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,11,0,0,18
CALACOTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,1,3,5
CALAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,6,1,2,13
CAMARGO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,7,1,0,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,1,2
CAMIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,40,39,7,5,91
CAPINOTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,24,3,5,48
CAQUIAVIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,4,0,0,8
CARACOLLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,15,2,1,30
CARANAVI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,45,43,8,3,99
CARAPARI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,12,4,3,26
CARIPUYO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,3,5,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,4,4,4,17
CATACORA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,15,22,4,4,45
CHAQUI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,5,1,1,11
CHARAGUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,21,12,11,7,51
CHARAÑA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,0,0,3
CHAYANTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,8,5,7,25
CHIMORE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,10,0,1,27
CHIPAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,1,2
CHUA COCANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,19,6,5,3,33
CHUMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,4,0,1,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,3,0,1,15
CKOCHAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,11,4,8,29
CLIZA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,13,4,1,36
COBIJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,71,54,3,4,132
COCAPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,6,5,4,19
COCHABAMBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,705,741,0,5,1451
COIPASA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,30,31,1,0,62
"COLCHA ""K""",vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,9,2,0,23
COLLANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,2,0,3
COLOMI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,20,16,1,0,37
COLPA BELGICA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,4,0,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,22,19,14,8,63
COLQUENCHA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,5,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,8,4,4,24
COMANCHE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,11,5,2,36
COMBAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,21,14,7,5,47
COPACABANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,3,3,8,22
CORIPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,19,16,0,0,35
CORO CORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,5,1,1,14
COROICO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,15,13,1,0,29
CORQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,3,1,0,5
COTAGAITA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,7,8,2,26
COTOCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,75,70,6,1,152
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,20,22,5,10,57
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
CUEVO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,2,1,8
CULPINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,11,3,7,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,1,0,1,4
CURVA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,1,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,0,0,6
EL ALTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,759,730,59,84,1632
EL CHORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,4,3,7,18
EL PUENTE(STC),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,6,0,2,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,4,1,1,17
EL TORNO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,58,53,1,0,112
EL VILLAR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,3,0,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,8,6,11,37
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,23,15,0,0,38
ESCOMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,2,2,0,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,2,0,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
EXALTACION,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,13,7,4,37
FILADELFIA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,3,0,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,10,8,0,1,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,1,2,3,11
GUANAY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,11,6,9,31
GUAQUI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,1,2,0,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,38,54,0,0,92
GUTIERREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,15,9,3,34
HUACARETA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,2,2,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,2,3
HUACHACALLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,27,22,0,3,52
HUARACAJE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
HUARINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,3,0,1,4
HUATAJATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,1,0,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,3,1,1,6
HUMANATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,2,1,3,9
ICHOCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,0,0,0,3
ICLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,2,2,6
INCAHUASI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,5,2,2,14
INQUISIVI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,2,3,6,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,8,2,3,29
IXIAMAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,8,0,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,7,0,0,18
LA ASUNTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,41,25,12,12,90
LA GUARDIA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,88,74,5,8,175
LA PAZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,698,672,10,24,1404
LAGUNILLAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,5,1,2,12
LAJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,13,0,1,27
LAS CARRERAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,0,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,1,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,24,31,22,20,97
LLICA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,4,0,0,8
LORETO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,3,3,7
LURIBAY,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,6,0,2,11
MACHACAMARCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,5,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,7,0,0,11
MAGDALENA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,7,7,0,2,16
MAIRANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,13,0,1,23
MALLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,1,1,3
MAPIRI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,17,10,3,3,33
MECAPACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,5,10,3,30
MINEROS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,9,3,0,15
MIZQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,22,1,2,43
MOCOMOCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,6,2,4,18
MOJINETE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,1,1,4
MOJOCOYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,3,3,0,9
MONTEAGUDO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,24,18,3,2,47
MONTERO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,117,99,2,4,222
MORO MORO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,5,7,3,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,0,0,0,2
OCURI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,9,10,9,36
OKINAWA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,14,1,0,28
OMEREQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,1,7,4,15
ORURO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,317,278,2,0,597
PADCAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,13,1,0,30
PADILLA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,3,0,0,12
PAILON,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,30,23,9,10,72
PALCA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,21,7,1,40
PALOS BLANCOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,27,4,4,53
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,4,0,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,9,0,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,0,0,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,22,23,1,2,48
PAZÑA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,4,0,2,12
PELECHUCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,2,0,0,5
POCOATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,5,9,5,21
POCONA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,7,3,3,19
POJO (CBBA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,6,1,1,16
POOPO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,1,0,0,5
PORCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,15,8,2,2,27
POROMA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,5,10,5,22
PORONGO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,5,7,7,24
PORTACHUELO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,20,24,0,1,45
PORVENIR,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,6,0,0,10
POSTRER VALLE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
POTOSI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,230,232,9,11,482
PRESTO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,2,2,7
PUCARA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,17,10,8,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,1,8,7,19
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,3,5,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,3,1,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,1,4,1,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,19,0,1,31
PUERTO RICO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,10,0,0,13
PUERTO SILES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,9,0,0,20
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,58,34,2,2,96
PUNA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,7,4,6,26
PUNATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,21,28,3,1,53
QUIABAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,2,2,9
QUILLACOLLO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,92,118,45,51,306
QUIME,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,8,2,4,25
QUIRUSILLAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,1,0,0,4
RAVELO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,2,4,7,17
REYES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,3,4,1,1,9
RIBERALTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,99,105,4,5,213
ROBORE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,13,20,0,0,33
RURRENABAQUE,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,18,12,1,0,31
SABAYA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,2,1,0,5
SACABA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,131,105,5,3,244
SACABAMBA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,3,1,1,7
SACACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,19,9,4,4,36
SAIPINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,5,1,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,4,4,4,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,15,0,1,25
SAN AGUSTIN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,8,0,1,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,1,1,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,4,2,2,9
SAN BENITO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,12,6,0,2,20
SAN BORJA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,30,42,5,3,80
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,8,0,0,17
SAN CARLOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,14,22,2,1,39
SAN IGNACIO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,26,15,1,1,43
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,43,52,7,11,113
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,0,2,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,9,12,1,0,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,6,2,0,16
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,14,20,0,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,6,0,0,17
SAN JULIAN,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,34,48,17,8,107
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,3,0,1,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,9,3,3,23
SAN LUCAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,16,14,9,10,49
SAN MATIAS,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,8,12,2,1,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,6,9,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,10,8,0,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,11,12,4,5,32
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,2,0,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,2,0,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,2,0,2,5
SAN RAFAEL,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,5,5,2,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,1,1,1,0,3
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,10,9,1,1,21
SANTA ANA,vacunaciones en menores de 1 ano,total pentavalente 2da dosis,2015-01-01,15,11,0,0,26
