,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,1,1,1,2,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,0,1,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,4,1,2,2,6,3
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,3,1,3,0,6,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,0,3,1,5,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,1,1,1,3,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,3,1,3,0,6,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,0,0,0,2,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,18,6,1,2,19,8
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,0,0,0,1,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,1,0,1,0,2
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,3,2,1,0,4,2
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,1,1,0,1,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,1,0,2,0,3,0
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,0,1,0,1,0,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,2,2,0,0,2,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-01-01,13,4,18,4,31,8
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,2,0,0,0,2,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,1,1,0,2,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,1,0,0,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,0,1,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,2,1,1,4,3,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,2,2,2,2,4,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,3,2,3,1,6,3
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,1,1,1,1
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,3,0,4,0,7,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,4,1,5,1,9,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,1,0,0,0,1
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,1,1,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,1,2,2,2,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,6,2,8,3,14,5
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,1,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,1,3,1,4,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,4,0,4,0,8,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,4,0,1,0,5,0
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,1,0,1,0
SAN ANDRES,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,3,0,2,1,5,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,2,1,3,0,5,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,9,3,0,1,9,4
SENA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,1,3,3,4,4
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,0,0,1,0,1
SUCRE,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,1,1,0,0,1,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,3,1,0,0,3,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,11,6,10,4,21,10
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2023-02-01,0,2,0,2,0,4
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,3,4,3,1,6,5
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,2,1,3,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,1,0,0,1,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,3,1,1,0,4,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,7,2,3,1,10,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,8,1,4,1,12,2
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,2,0,1,1,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,4,0,4,0,8,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,3,0,2,1,5,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,1,0,2,0
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,1,0,0,1,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,4,2,6,3,10,5
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,4,0,2,0,6,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,8,0,4,1,12,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,3,1,3,1,6,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,4,5,3,3,7,8
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,1,2,1,3,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,1,1,2,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,11,0,3,0,14,0
SAN JULIAN,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,1,0,2,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,0,0,1,0,1,0
TIRAQUE (CBBA),leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,8,7,11,7,19,14
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2023-03-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,5,2,2,1,7,3
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,2,2,1,1,3,3
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,1,0,0,1,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,4,0,1,0,5,0
CAPINOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,3,1,1,1,4,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,1,4,1,5,2
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,9,2,10,2,19,4
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,1,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,1,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,1,1,2,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,3,0,1,0,4,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,8,3,2,0,10,3
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,1,0,1,1,2
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,1,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,2,0,2,0,4,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,1,4,2,4,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,2,0,3,0,5,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,2,1,1,0,3,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,4,2,3,0,7,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,2,0,0,0,2,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,1,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,3,1,5,0,8,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,3,2,0,1,3,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,7,3,6,3,13,6
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,4,1,3,4,7,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,2,0,3,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,3,0,2,0,5,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,2,1,0,2,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,5,4,5,4,10,8
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,1,0,1,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,4,0,0,0,4,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,2,0,0,0,2
TIRAQUE (CBBA),leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,28,6,10,7,38,13
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2023-04-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,5,1,5,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,1,1,2,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,1,1,2,1
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,0,0,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,2,2,1,4,3
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,4,0,5,1,9,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,16,3,13,2,29,5
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,0,1,0,3,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,0,5,0,7,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,3,1,10,4,13,5
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,1,0,2,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,2,2,1,4,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,2,3,5,2,7,5
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,2,1,3,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,3,0,1,2,4,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,3,0,3,0,6,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,6,4,4,3,10,7
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,3,1,3,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,5,4,5,4,10,8
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,4,0,4,0
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,4,0,3,0,7,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,1,1,2,2,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,5,5,1,1,6,6
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,1,0,0,0,1
SENA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,1,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,5,2,4,0,9,2
SUCRE,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,1,0,0,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,1,0,1,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,9,3,33,8,42,11
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2023-05-01,0,0,1,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,2,0,0,3,2
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,1,2,1,5,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,1,0,0,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,2,2,0,3,2
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,0,1,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,2,2,0,3,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,2,0,4,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,17,5,13,5,30,10
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,1,1,1,3,2
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,0,1,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,1,0,1,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,1,0,3,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,5,4,6,4,11,8
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,2,2,1,3,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,0,0,1,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,2,0,4,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,1,0,2,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,1,2,2,5,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,5,0,2,2,7
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,0,0,2,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,0,4,0,7,0
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,1,3,1,4,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,3,0,5,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,0,1,0,4,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,1,4,2,5,3
RAQAYPAMPA(ETA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,7,2,7,2,14,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,7,0,1,0,8,0
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,3,0,2,0,5,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,0,3,0,5,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,6,0,1,0,7,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,0,0,1,0,1
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,5,2,6,2
SUCRE,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,1,0,0,0,1,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,2,1,0,0,2,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,0,1,0,1,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-06-01,9,4,4,2,13,6
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,3,2,3,2,6,4
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,1,0,1,0
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,4,2,5,0,9,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,2,2,3,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,6,2,2,4,8,6
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,1,1,0,2,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,4,13,1,15,5
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,1,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,0,0,2,0
EL ALTO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,4,0,2,0,6,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,4,2,4,1,8,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,3,3,1,3,4,6
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,1,0,3,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,0,0,2,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,1,0,2,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,2,1,3,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,5,4,3,3,8,7
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,1,0,3,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,1,4,1,6,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,1,2,1,3,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,2,1,3,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,1,0,3,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,3,1,5,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
RAQAYPAMPA(ETA),leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,1,0,1,0
REYES,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,1,0,0,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,6,5,5,5,11,10
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,1,6,1,7,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,1,0,0,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,2,1,2,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,4,2,3,2,7,4
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,0,2,1,2,1
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,2,0,1,0,3,0
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,3,0,0,0,3,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,8,5,11,6,19,11
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2023-07-01,0,1,0,0,0,1
