,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,1,0,1,0,2,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,1,1,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,0,1,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2023-02-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,0,1,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,2,0,0,0,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,1,0,0,1,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,1,0,0,0,1,0
SUCRE,leishmaniasis,tratamientos de leishmania mucosa,2023-03-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,1,1,0,1,1,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,0,1,0,0,0,1
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,1,0,0,0,1,0
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,0,0,2,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,0,2,0,0,0,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,0,0,1,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2023-04-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-05-01,3,1,0,1,3,2
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2023-05-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-05-01,0,0,1,0,1,0
MINEROS,leishmaniasis,tratamientos de leishmania mucosa,2023-05-01,0,0,116,0,116,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2023-05-01,0,0,0,2,0,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,0,1,0,1,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,1,1,3,1,4,2
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,0,1,0,1,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,0,1,0,0,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,3,0,3,0,6,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2023-06-01,1,0,0,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,2,1,1,1,3,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,1,1,0,2,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,3,0,3,0,6,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2023-07-01,1,0,1,0,2,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,0,0,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,1,0,0,0,1,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,0,1,0,1,0
CKOCHAS,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,2,1,2,2
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,0,1,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,0,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,2,0,2,1,4,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,3,0,3,0,6,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2023-08-01,0,1,0,0,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,1,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,2,0,0,0,2,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,3,1,1,1,4,2
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,0,1,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,2,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,1,0,0,0,1,0
TARATA,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2023-09-01,3,0,0,0,3,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,1,2,0,2,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,3,2,2,2,5
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,5,1,0,1,5,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,3,0,3,0,6,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,0,1,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,1,0,0,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,1,1,0,1,1,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2023-10-01,0,0,3,1,3,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,2,0,0,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,0,0,1,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,2,0,2,1,4
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,0,1,5,1,5,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,3,0,0,1,3,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,2,1,2,1,4,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,0,0,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2023-11-01,1,0,1,0,2,0
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,2,0,0,0,2,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,1,1,2,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,0,0,3,0,3,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,2,1,2,1,4,2
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2023-12-01,1,0,0,0,1,0
