municipality,group,variable,month,Total 3.13 Nº de actividades de educación en Salud Oral,TOTAL
COMARAPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
CONCEPCION,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,13.0,13.0
COTAGAITA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
CUATRO CAÑADAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,36.0,36.0
CUEVO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
CULPINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
CURAHUARA DE CARANGAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
CURVA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
DESAGUADERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
EL ALTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,84.0,84.0
EL PUENTE(STC),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,33.0,33.0
EL PUENTE(TJA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
EL TORNO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,16.0,16.0
ENTRE RIOS TRJ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,29.0,29.0
ENTRE RIOS CBBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,42.0,42.0
ESCOMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
EUCALIPTUS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
FILADELFIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
GENERAL SAAVEDRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,20.0,20.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
GUAQUI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
GUAYARAMERIN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,21.0,21.0
GUTIERREZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,75.0,75.0
HUACARETA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
HUANUNI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
HUARINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
HUATAJATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
HUAYLLAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,16.0,16.0
HUMANATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
ICHOCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,21.0,21.0
ICLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
INGAVI (HUMAITA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
INQUISIVI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
JESUS DE MACHACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
LA GUARDIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
LA PAZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,80.0,80.0
LAGUNILLAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
LAJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
LLALLAGUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
LURIBAY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
MACHACAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
MAGDALENA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,30.0,30.0
MAPIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
MECAPACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
MIZQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
MOCOMOCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
MONTEAGUDO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
MONTERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,18.0,18.0
MORO MORO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
MOROCHATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,49.0,49.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
OCURI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
OMEREQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
ORURO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,34.0,34.0
PADCAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
PAILON,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PALCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PALOS BLANCOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
PAMPA AULLAGAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
PAPEL PAMPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PASORAPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
PATACAMAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PAZÑA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
PELECHUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
POCOATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
POCONA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
POOPO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
POROMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
PORONGO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
PORTACHUELO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,89.0,89.0
PORVENIR,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,17.0,17.0
POSTRER VALLE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,25.0,25.0
POTOSI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
PRESTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PUCARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
PUCARANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
PUERTO ACOSTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
PUERTO CARABUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
PUERTO GONZALO MORENO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
PUERTO PEREZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
PUERTO RICO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
PUERTO VILLARROEL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,20.0,20.0
PUNATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,28.0,28.0
QUIABAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
QUILLACOLLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,23.0,23.0
QUIME,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
RAVELO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
RIBERALTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
ROBORE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,100.0,100.0
RURRENABAQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
SABAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
SACABA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,37.0,37.0
SACACA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
SAIPINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,35.0,35.0
SAN ANDRES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SAN ANTONIO DE LOMERIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SAN BENITO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
SAN BUENA VENTURA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
SAN IGNACIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,41.0,41.0
SAN IGNACIO DE VELASCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
SAN JAVIER(STC),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,17.0,17.0
SAN JOSE DE CHIQUITOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,46.0,46.0
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
SAN JULIAN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,22.0,22.0
SAN LORENZO(TJA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,31.0,31.0
SAN LUCAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
SAN MIGUEL DE VELASCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,100.0,100.0
SAN PABLO DE LIPEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
SAN RAFAEL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SANTA ANA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,41.0,41.0
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1317.0,1317.0
SANTA ROSA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SANTIAGO DE HUARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
SANTIVAÑES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
SAPAHAQUI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
SENA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SHINAOTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,4.0,4.0
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
SICAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
SIPE SIPE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
SORACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
SORATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
SUCRE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,35.0,35.0
TACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
TACOPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
TAHUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
TAPACARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,37.0,37.0
TARABUCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
TARACO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
TARIJA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,297.0,297.0
TARVITA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
TEOPONTE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
TIAWANACU,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
TINGUIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
TIPUANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
TIQUIPAYA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,60.0,60.0
TIRAQUE (CBBA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
TOCO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
TOLEDO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
TOMAVE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,7.0,7.0
TORO TORO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,5.0,5.0
TOTORA(CBBA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
TRIGAL,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
TRINIDAD,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,239.0,239.0
UNCIA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,3.0,3.0
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,18.0,18.0
UYUNI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,22.0,22.0
VACAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
VALLEGRANDE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,41.0,41.0
VIACHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
VILA VILA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,2.0,2.0
VILLA CHARCAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,9.0,9.0
VILLA MONTES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,8.0,8.0
VILLA RIVERO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,47.0,47.0
VILLA TUNARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,47.0,47.0
VINTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,10.0,10.0
WALDO BALLIVIAN,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
WARNES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,63.0,63.0
YACUIBA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,118.0,118.0
YAMPARAEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,11.0,11.0
YAPACANI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,1.0,1.0
YOCALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,16.0,16.0
YUNCHARA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,56.0,56.0
ZUDAÑEZ,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-01-01,6.0,6.0
ACACIO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
ACHACACHI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,10.0,10.0
ACHOCALLA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,12.0,12.0
AIQUILE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,23.0,23.0
ALTO BENI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,1.0,1.0
ANCORAIMES,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,15.0,15.0
ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,6.0,6.0
ANTEQUERA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,4.0,4.0
APOLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,5.0,5.0
ARAMPAMPA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,10.0,10.0
ARQUE,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,4.0,4.0
ATOCHA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,12.0,12.0
AUCAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,5.0,5.0
AYATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,7.0,7.0
AYO AYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,6.0,6.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,22.0,22.0
AZURDUY,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
BATALLAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,3.0,3.0
BELEN DE ANDAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,4.0,4.0
BERMEJO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,114.0,114.0
BETANZOS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,15.0,15.0
BOLIVAR,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,4.0,4.0
BOLPEBRA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,7.0,7.0
BUENA VISTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
CABEZAS,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,10.0,10.0
CAIROMA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,18.0,18.0
"CAIZA ""D""",atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
CAJUATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,3.0,3.0
CALACOTO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
CALAMARCA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,7.0,7.0
CAMARGO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,8.0,8.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,5.0,5.0
CAMIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,11.0,11.0
CAPINOTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,29.0,29.0
CAQUIAVIRI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,9.0,9.0
CARACOLLO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,17.0,17.0
CARANAVI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,2.0,2.0
CARAPARI,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,8.0,8.0
CARIPUYO,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,1.0,1.0
CATACORA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,1.0,1.0
CHALLAPATA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,70.0,70.0
CHARAGUA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,6.0,6.0
CHAYANTA,atencion odontologica no de actividades,      no de actividades de educacion en salud oral,2014-02-01,3.0,3.0
