municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
GUANAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
GUAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,71,71
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,27,27
HUACARETA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,34,34
HUARACAJE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
ICHOCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
ICLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
INCAHUASI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
INQUISIVI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
IXIAMAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,29,29
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,91,91
LA PAZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,918,918
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
LAJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,34,34
LLICA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
LORETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
LURIBAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
MACHARETI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
MAGDALENA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
MAIRANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
MALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
MECAPACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
MINEROS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
MIZQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
MOJINETE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,42,42
MONTERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,217,217
MORO MORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
MOROCHATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,25,25
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
OCURI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
OKINAWA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
OMEREQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
ORURO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,507,507
PADCAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,11,11
PADILLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
PAILON,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
PALCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,38,38
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
PASORAPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
PAZÑA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
PELECHUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
POCOATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,25,25
POCONA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
POOPO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
PORCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
POROMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
PORONGO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,11,11
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,64,64
PORVENIR,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
POTOSI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,199,199
PRESTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
PUCARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,35,35
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,45,45
PUNA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,28,28
PUNATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,51,51
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,216,216
RAVELO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
REYES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
RIBERALTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,197,197
ROBORE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,25,25
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,26,26
SABAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SACABA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,188,188
SACABAMBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SACACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
SAIPINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,15,15
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
SAN BENITO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,19,19
SAN BORJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,55,55
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,27,27
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,40,40
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,84,84
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,24,24
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,24,24
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,78,78
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,46,46
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,17,17
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,37,37
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
SAN RAMON,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
SAN RAMON,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
SANTA ANA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,44,44
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1552,1552
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SENA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
SICAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
SOPACHUY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,11,11
SORACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
SORATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,33,33
SUCRE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,561,561
TACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
TACACOMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
TACOPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
TAHUA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
TAPACARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,25,25
TARABUCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,31,31
TARACO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
TARATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
TARIJA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,242,242
TARVITA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,23,23
TEOPONTE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
TIAWANACU,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
TIPUANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,48,48
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,40,40
TOLATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
TOLEDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
TOMAVE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
TOMINA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
TORO TORO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,9,9
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,2,2
TRIGAL,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
TRINIDAD,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,135,135
TUPIZA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,74,74
TURCO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,5,5
UNCIA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,37,37
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
URUBICHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,10,10
UYUNI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
VACAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,13,13
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,21,21
VIACHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,52,52
VILA VILA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,75,75
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,7,7
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,20,20
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,62,62
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,4,4
VILLAZON,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,41,41
VINTO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,23,23
VITICHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,12,12
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
WARNES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,58,58
YACO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,1,1
YACUIBA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,161,161
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,8,8
YANACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
YAPACANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,69,69
YOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,6,6
YOTALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,14,14
YUNCHARA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,3,3
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-01-01,16,16
ACACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,7,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,27,27
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,10,10
AIQUILE,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,14,14
ALALAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,1,1
ALCALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,2,2
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,5,5
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,1,1
ANZALDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,7,7
APOLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,12,12
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,8,8
ARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,6,6
ARBIETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2005-02-01,2,2
