municipality,group,variable,month,Repetidas,TOTAL
TURCO,consultas prenatales,repetidas,2005-01-01,15,15
UMALA,consultas prenatales,repetidas,2005-01-01,1,1
UNCIA,consultas prenatales,repetidas,2005-01-01,135,135
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2005-01-01,63,63
URUBICHA,consultas prenatales,repetidas,2005-01-01,62,62
UYUNI,consultas prenatales,repetidas,2005-01-01,92,92
VACAS,consultas prenatales,repetidas,2005-01-01,72,72
VALLEGRANDE,consultas prenatales,repetidas,2005-01-01,73,73
VIACHA,consultas prenatales,repetidas,2005-01-01,170,170
VILA VILA,consultas prenatales,repetidas,2005-01-01,5,5
VILLA MONTES,consultas prenatales,repetidas,2005-01-01,235,235
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2005-01-01,1,1
VILLA RIVERO,consultas prenatales,repetidas,2005-01-01,15,15
VILLA SERRANO,consultas prenatales,repetidas,2005-01-01,71,71
VILLA TUNARI,consultas prenatales,repetidas,2005-01-01,345,345
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2005-01-01,51,51
VILLAZON,consultas prenatales,repetidas,2005-01-01,254,254
VINTO,consultas prenatales,repetidas,2005-01-01,185,185
VITICHI,consultas prenatales,repetidas,2005-01-01,51,51
WALDO BALLIVIAN,consultas prenatales,repetidas,2005-01-01,1,1
WARNES,consultas prenatales,repetidas,2005-01-01,316,316
YACO,consultas prenatales,repetidas,2005-01-01,5,5
YACUIBA,consultas prenatales,repetidas,2005-01-01,461,461
YAMPARAEZ,consultas prenatales,repetidas,2005-01-01,52,52
YANACACHI,consultas prenatales,repetidas,2005-01-01,10,10
YAPACANI,consultas prenatales,repetidas,2005-01-01,346,346
YOCALLA,consultas prenatales,repetidas,2005-01-01,16,16
YOTALA,consultas prenatales,repetidas,2005-01-01,60,60
YUNCHARA,consultas prenatales,repetidas,2005-01-01,14,14
ZUDAÑEZ,consultas prenatales,repetidas,2005-01-01,64,64
ACACIO,consultas prenatales,repetidas,2005-02-01,39,39
ACHACACHI,consultas prenatales,repetidas,2005-02-01,128,128
ACHOCALLA,consultas prenatales,repetidas,2005-02-01,48,48
AIQUILE,consultas prenatales,repetidas,2005-02-01,112,112
ALALAY,consultas prenatales,repetidas,2005-02-01,1,1
ALCALA,consultas prenatales,repetidas,2005-02-01,29,29
ANCORAIMES,consultas prenatales,repetidas,2005-02-01,43,43
ANDAMARCA,consultas prenatales,repetidas,2005-02-01,4,4
ANTEQUERA,consultas prenatales,repetidas,2005-02-01,1,1
ANZALDO,consultas prenatales,repetidas,2005-02-01,17,17
APOLO,consultas prenatales,repetidas,2005-02-01,56,56
ARAMPAMPA,consultas prenatales,repetidas,2005-02-01,25,25
ARANI,consultas prenatales,repetidas,2005-02-01,34,34
ARBIETO,consultas prenatales,repetidas,2005-02-01,12,12
ARQUE,consultas prenatales,repetidas,2005-02-01,19,19
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2005-02-01,67,67
ATOCHA,consultas prenatales,repetidas,2005-02-01,61,61
AUCAPATA,consultas prenatales,repetidas,2005-02-01,7,7
AYATA,consultas prenatales,repetidas,2005-02-01,13,13
AYO AYO,consultas prenatales,repetidas,2005-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2005-02-01,122,122
AZURDUY,consultas prenatales,repetidas,2005-02-01,79,79
BATALLAS,consultas prenatales,repetidas,2005-02-01,14,14
BAURES,consultas prenatales,repetidas,2005-02-01,19,19
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2005-02-01,2,2
BELEN DE URMIRI,consultas prenatales,repetidas,2005-02-01,8,8
BELLA FLOR,consultas prenatales,repetidas,2005-02-01,16,16
BERMEJO,consultas prenatales,repetidas,2005-02-01,175,175
BETANZOS,consultas prenatales,repetidas,2005-02-01,134,134
BOLIVAR,consultas prenatales,repetidas,2005-02-01,21,21
BOLPEBRA,consultas prenatales,repetidas,2005-02-01,4,4
BOYUIBE,consultas prenatales,repetidas,2005-02-01,20,20
BUENA VISTA,consultas prenatales,repetidas,2005-02-01,75,75
CABEZAS,consultas prenatales,repetidas,2005-02-01,57,57
CAIROMA,consultas prenatales,repetidas,2005-02-01,28,28
"CAIZA ""D""",consultas prenatales,repetidas,2005-02-01,29,29
CAJUATA,consultas prenatales,repetidas,2005-02-01,51,51
CALACOTO,consultas prenatales,repetidas,2005-02-01,4,4
CALAMARCA,consultas prenatales,repetidas,2005-02-01,21,21
CAMARGO,consultas prenatales,repetidas,2005-02-01,149,149
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2005-02-01,11,11
CAMIRI,consultas prenatales,repetidas,2005-02-01,186,186
CAPINOTA,consultas prenatales,repetidas,2005-02-01,97,97
CAQUIAVIRI,consultas prenatales,repetidas,2005-02-01,22,22
CARACOLLO,consultas prenatales,repetidas,2005-02-01,95,95
CARANAVI,consultas prenatales,repetidas,2005-02-01,223,223
CARAPARI,consultas prenatales,repetidas,2005-02-01,37,37
CARIPUYO,consultas prenatales,repetidas,2005-02-01,28,28
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2005-02-01,7,7
CATACORA,consultas prenatales,repetidas,2005-02-01,1,1
CHALLAPATA,consultas prenatales,repetidas,2005-02-01,105,105
CHAQUI,consultas prenatales,repetidas,2005-02-01,35,35
CHARAGUA,consultas prenatales,repetidas,2005-02-01,104,104
CHARAÑA,consultas prenatales,repetidas,2005-02-01,10,10
CHAYANTA,consultas prenatales,repetidas,2005-02-01,66,66
CHIMORE,consultas prenatales,repetidas,2005-02-01,93,93
CHIPAYA,consultas prenatales,repetidas,2005-02-01,12,12
CHOQUE COTA,consultas prenatales,repetidas,2005-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2005-02-01,98,98
CHUMA,consultas prenatales,repetidas,2005-02-01,29,29
CLIZA,consultas prenatales,repetidas,2005-02-01,103,103
COBIJA,consultas prenatales,repetidas,2005-02-01,280,280
COCHABAMBA,consultas prenatales,repetidas,2005-02-01,4179,4179
COIPASA,consultas prenatales,repetidas,2005-02-01,2,2
COLCAPIRHUA,consultas prenatales,repetidas,2005-02-01,267,267
"COLCHA ""K""",consultas prenatales,repetidas,2005-02-01,28,28
COLLANA,consultas prenatales,repetidas,2005-02-01,7,7
COLOMI,consultas prenatales,repetidas,2005-02-01,109,109
COLPA BELGICA,consultas prenatales,repetidas,2005-02-01,38,38
COLQUECHACA,consultas prenatales,repetidas,2005-02-01,108,108
COLQUENCHA,consultas prenatales,repetidas,2005-02-01,18,18
COLQUIRI,consultas prenatales,repetidas,2005-02-01,65,65
COMANCHE,consultas prenatales,repetidas,2005-02-01,5,5
COMARAPA,consultas prenatales,repetidas,2005-02-01,115,115
COMBAYA,consultas prenatales,repetidas,2005-02-01,4,4
CONCEPCION,consultas prenatales,repetidas,2005-02-01,106,106
COPACABANA,consultas prenatales,repetidas,2005-02-01,34,34
CORIPATA,consultas prenatales,repetidas,2005-02-01,46,46
CORO CORO,consultas prenatales,repetidas,2005-02-01,16,16
COROICO,consultas prenatales,repetidas,2005-02-01,101,101
CORQUE,consultas prenatales,repetidas,2005-02-01,13,13
COTAGAITA,consultas prenatales,repetidas,2005-02-01,111,111
COTOCA,consultas prenatales,repetidas,2005-02-01,88,88
CUATRO CAÑADAS,consultas prenatales,repetidas,2005-02-01,87,87
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2005-02-01,8,8
CUEVO,consultas prenatales,repetidas,2005-02-01,3,3
CULPINA,consultas prenatales,repetidas,2005-02-01,122,122
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2005-02-01,11,11
CURVA,consultas prenatales,repetidas,2005-02-01,9,9
DESAGUADERO,consultas prenatales,repetidas,2005-02-01,18,18
EL ALTO,consultas prenatales,repetidas,2005-02-01,4291,4291
EL CHORO,consultas prenatales,repetidas,2005-02-01,8,8
EL PUENTE(STC),consultas prenatales,repetidas,2005-02-01,49,49
EL PUENTE(TJA),consultas prenatales,repetidas,2005-02-01,50,50
EL TORNO,consultas prenatales,repetidas,2005-02-01,316,316
EL VILLAR,consultas prenatales,repetidas,2005-02-01,36,36
ENTRE RIOS,consultas prenatales,repetidas,2005-02-01,64,64
ENTRE RIOS,consultas prenatales,repetidas,2005-02-01,130,130
EUCALIPTUS,consultas prenatales,repetidas,2005-02-01,28,28
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2005-02-01,2,2
EXALTACION,consultas prenatales,repetidas,2005-02-01,19,19
FERNANDEZ ALONSO,consultas prenatales,repetidas,2005-02-01,116,116
FILADELFIA,consultas prenatales,repetidas,2005-02-01,9,9
GENERAL SAAVEDRA,consultas prenatales,repetidas,2005-02-01,70,70
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2005-02-01,16,16
