,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,0,24,22,1,47
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-03-01,0,1,8,7,0,16
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,23,11,0,34
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,2,7,2,11
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,4,0,0,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,8,13,2,23
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-04-01,0,0,4,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,0,8,8,4,20
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,0,5,1,0,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,1,0,76,60,1,138
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,1,12,5,0,18
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,0,11,13,1,25
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,0,3,3,0,6
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-05-01,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,0,0,0,0
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,4,15,1,20
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,7,7,0,14
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,1,0,27,36,1,65
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,7,8,2,17
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,4,2,0,6
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,19,26,2,47
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-06-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,0,7,2,1,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,0,5,5,0,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,0,0,11,0,11
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,1,43,49,2,95
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,0,6,2,1,9
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-07-01,0,3,23,0,0,26
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,1,11,11,0,23
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,0,3,5,0,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,0,14,13,1,28
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,2,1,0,0,3
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,1,19,9,3,32
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-08-01,0,1,9,7,1,18
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,0,6,6,0,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,16,13,0,0,29
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,0,60,71,1,132
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,0,2,3,0,5
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,0,2,2,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,2,113,115,12,242
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-09-01,0,0,4,1,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,6,9,0,15
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,1,95,26,0,122
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,24,134,4,162
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,1,3,1,0,5
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,4,0,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,9,5,0,14
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,4,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,1,26,18,1,46
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,33,15,2,50
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-10-01,0,0,21,18,0,39
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,13,10,1,24
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,6,0,0,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,1,51,13,0,65
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,0,124,0,124
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,5,3,0,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,5,1,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,85,119,33,237
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-11-01,0,0,4,9,0,13
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,7,12,0,19
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,3,1,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,44,58,3,105
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,9,7,1,17
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,38,31,1,70
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,8,2,0,10
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2023-12-01,0,0,0,1,0,1
