,group,variable,month,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < 15,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 - 19,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 - 34,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 - 49,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,TOTALES
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,0,6,1,0,8
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,32,27,0,0,0,59
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,7,7,0,1,0,15
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,2,3,0,0,5
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,0,0,3
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,1,1,5
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,1,2
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,7,4,0,12
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,1,0,3
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,1,0,2
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,1,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,24,7,0,0,31
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,2,14,153,92,1,262
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,2,0,3
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,0,3,2,0,6
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,2,4,0,0,6
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,7,5,3,0,16
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,43,52,0,0,0,95
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,2,14,121,51,21,209
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,1,2
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,9,12,1,1,0,23
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,0,0,3
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,1,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,24,132,43,23,223
HUACARAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,0,0,3
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,11,5,1,0,0,17
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,18,11,0,0,0,29
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,25,14,1,0,0,40
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,23,18,1,0,0,42
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,11,74,21,4,110
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,22,33,0,0,0,55
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,3,14,35,16,2,70
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,19,10,2,0,0,31
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,29,20,0,0,0,49
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,57,35,6,1,0,99
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,0,1,1
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,30,64,9,1,104
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,2,4,8
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,20,21,0,0,0,41
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,3,4,0,0,8
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,34,16,0,0,0,50
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,4,1,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,14,28,34,0,77
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,27,26,0,0,0,53
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,16,49,42,31,2,140
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,7,83,16,8,114
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,1,0,4
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,2,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,28,94,102,36,9,269
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,3,0,0,4
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,1,0,3
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,3,0,0,4
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,5,1,0,6
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,14,7,20,2,0,43
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,0,1,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,2,1,4
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,4,1,6,0,11
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,2,3,6
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,13,18,1,4,0,36
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,2,1,0,0,3
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,0,1,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,0,0,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,55,415,107,14,592
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,12,11,2,0,0,25
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,211,342,67,33,9,662
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,32,24,0,1,0,57
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,1,2,23,34,8,68
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,29,34,3,1,0,67
TINGUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
TOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,44,31,0,1,0,76
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,3,2,6
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,2,5,17,7,1,32
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,5,0,0,0,5
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,2,0,2
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,1,0,3
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,36,21,0,0,0,57
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,16,20,0,0,0,36
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,2,1,15,4,4,26
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,11,5,6,8,12,42
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,2,1,0,4
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,2,7,1,0,10
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,4,17,20,2,43
YACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,1,0,0,1,2
YAMPARAEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,17,17,1,0,0,35
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,28,20,1,0,0,49
YUNCHARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,3,0,6
ZUDAÑEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-01-01,22,23,0,0,0,45
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,1,2,2,1,6
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,2,0,0,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,1,0,0,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,4,4,0,1,0,9
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,1,1,0,2
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,2,1,1,4
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,17,8,3,2,0,30
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,3,5,1,0,9
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,1,1,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,4,8,0,12
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,0,2,0,2
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,1,0,0,1
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,3,0,0,3
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,2,0,12,2,0,16
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,1,0,0,1
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,0,0,0,1,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de varones que recibieron orientacion en anticoncepcion,2023-02-01,40,34,2,0,0,76
