,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < 15,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 - 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 - 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 - 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,TOTALES
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,0,0,1,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,4,0,1,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,2,4,11,17
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,0,1,1,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,2,12,26,40
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,1,4,5,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,0,4,1,5
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,1,3,1,5
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,0,3,5,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,0,13,18,31
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-03-01,0,0,1,0,0,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,2,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,1,2,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,3,41,22,0,66
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,1,2,6,0,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,5,19,20,9,53
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,5,3,8
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-04-01,0,1,0,1,0,2
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,0,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,0,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,0,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,2,3,1,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,2,6,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,1,0,3,4
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,20,39,5,1,0,65
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-05-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,0,1,1,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,7,4,2,13
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,1,2,1,4
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,0,1,1,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,1,1,1,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,0,0,1,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,2,4,4,10
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,0,3,1,4
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,0,1,0,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-06-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,0,7,4,11
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,2,1,1,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,0,0,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,5,2,18,25
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,1,1,0,2
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,14,21,14,4,53
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,0,0,1,1
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-07-01,0,0,0,1,0,1
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,0,2,1,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,4,61,21,2,88
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,0,1,3,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,3,2,23,28
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,2,6,8,16
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,0,0,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-08-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,0,0,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,0,2,1,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,0,0,2,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,2,8,13,23
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,5,4,10
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,0,1,1,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,0,0,1
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-09-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,0,1,1,2
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,1,0,3,1,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,0,6,3,9
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,2,7,12,21
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,1,2,3,6
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,4,3,0,7
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,0,1,1,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-10-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,1,0,3,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,5,3,0,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,0,3,2,5
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,0,0,2,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,2,3,0,0,5
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,1,5,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,2,4,6,12
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,1,3,0,4
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-11-01,0,0,2,3,1,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,3,2,5
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,2,0,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,4,2,0,0,0,6
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,5,5,1,11
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,1,12,4,1,18
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,2,2,20,10,0,34
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,0,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,2,4,9,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,0,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,1,2,4,7
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,1,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,0,0,0,2,0,2
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2023-12-01,1,0,0,0,0,1
